gen_id,segment_id,p_max_segment_mw,marginal_cost,notes
1,1,20.0,1109,C_i from Nasri 2016 Table II; units USD per p.u.
2,1,20.0,1109,C_i from Nasri 2016 Table II; units USD per p.u.
3,1,76.0,1246,C_i from Nasri 2016 Table II; units USD per p.u.
4,1,76.0,1246,C_i from Nasri 2016 Table II; units USD per p.u.
5,1,20.0,1109,C_i from Nasri 2016 Table II; units USD per p.u.
6,1,20.0,1109,C_i from Nasri 2016 Table II; units USD per p.u.
7,1,76.0,1246,C_i from Nasri 2016 Table II; units USD per p.u.
8,1,76.0,1246,C_i from Nasri 2016 Table II; units USD per p.u.
9,1,350.0,1720,C_i from Nasri 2016 Table II; units USD per p.u.
10,1,100.0,1660,C_i from Nasri 2016 Table II; units USD per p.u.
11,1,100.0,1660,C_i from Nasri 2016 Table II; units USD per p.u.
12,1,197.0,1408,C_i from Nasri 2016 Table II; units USD per p.u.
13,1,197.0,1408,C_i from Nasri 2016 Table II; units USD per p.u.
14,1,197.0,1408,C_i from Nasri 2016 Table II; units USD per p.u.
15,1,12.0,2141,C_i from Nasri 2016 Table II; units USD per p.u.
16,1,12.0,2141,C_i from Nasri 2016 Table II; units USD per p.u.
17,1,12.0,2141,C_i from Nasri 2016 Table II; units USD per p.u.
18,1,12.0,2141,C_i from Nasri 2016 Table II; units USD per p.u.
19,1,12.0,2141,C_i from Nasri 2016 Table II; units USD per p.u.
20,1,155.0,1592,C_i from Nasri 2016 Table II; units USD per p.u.
21,1,155.0,1592,C_i from Nasri 2016 Table II; units USD per p.u.
22,1,400.0,1917,C_i from Nasri 2016 Table II; units USD per p.u.
23,1,400.0,1917,C_i from Nasri 2016 Table II; units USD per p.u.
24,1,50.0,0,C_i from Nasri 2016 Table II; units USD per p.u.
25,1,50.0,0,C_i from Nasri 2016 Table II; units USD per p.u.
26,1,50.0,0,C_i from Nasri 2016 Table II; units USD per p.u.
27,1,50.0,0,C_i from Nasri 2016 Table II; units USD per p.u.
28,1,50.0,0,C_i from Nasri 2016 Table II; units USD per p.u.
29,1,50.0,0,C_i from Nasri 2016 Table II; units USD per p.u.
30,1,155.0,1592,C_i from Nasri 2016 Table II; units USD per p.u.
31,1,155.0,1592,C_i from Nasri 2016 Table II; units USD per p.u.
32,1,350.0,1720,C_i from Nasri 2016 Table II; units USD per p.u.
