gen_id,bus_id,p_min_mw,p_max_mw,startup_cost,shutdown_cost,fixed_cost,ramp_up_mw,ramp_down_mw,min_up_h,min_down_h,initial_status,initial_p_mw,q_min_mvar,q_max_mvar,reserve_up_mw,reserve_down_mw,initial_reserve_mw,paper_cost_usd_per_pu,notes
1,1,10.0,20.0,300,,,0.0,0.0,,,1,20.0,0.0,10.0,10.0,10.0,0.0,1109,transcribed from Nasri 2016 Table II
2,1,10.0,20.0,300,,,0.0,0.0,,,1,20.0,0.0,10.0,10.0,10.0,0.0,1109,transcribed from Nasri 2016 Table II
3,1,15.2,76.0,400,,,10.0,10.0,,,1,76.0,-25.0,30.0,50.0,50.0,0.0,1246,transcribed from Nasri 2016 Table II
4,1,15.2,76.0,400,,,10.0,10.0,,,1,76.0,-25.0,30.0,50.0,50.0,0.0,1246,transcribed from Nasri 2016 Table II
5,2,10.0,20.0,300,,,0.0,0.0,,,1,20.0,0.0,10.0,10.0,10.0,0.0,1109,transcribed from Nasri 2016 Table II
6,2,10.0,20.0,300,,,0.0,0.0,,,1,20.0,0.0,10.0,10.0,10.0,0.0,1109,transcribed from Nasri 2016 Table II
7,2,15.2,76.0,400,,,10.0,10.0,,,1,76.0,-25.0,30.0,50.0,50.0,0.0,1246,transcribed from Nasri 2016 Table II
8,2,15.2,76.0,400,,,10.0,10.0,,,1,76.0,-25.0,30.0,50.0,50.0,0.0,1246,transcribed from Nasri 2016 Table II
9,7,80.0,350.0,100,,,100.0,100.0,,,0,0.0,-25.0,150.0,250.0,250.0,0.0,1720,transcribed from Nasri 2016 Table II
10,7,15.0,100.0,275,,,55.00000000000001,55.00000000000001,,,1,55.00000000000001,0.0,60.0,85.0,85.0,45.0,1660,transcribed from Nasri 2016 Table II
11,7,15.0,100.0,275,,,55.00000000000001,55.00000000000001,,,1,55.00000000000001,0.0,60.0,85.0,85.0,45.0,1660,transcribed from Nasri 2016 Table II
12,13,62.0,197.0,300,,,45.0,45.0,,,1,197.0,0.0,80.0,114.99999999999999,114.99999999999999,0.0,1408,transcribed from Nasri 2016 Table II
13,13,62.0,197.0,300,,,45.0,45.0,,,1,197.0,0.0,80.0,114.99999999999999,114.99999999999999,0.0,1408,transcribed from Nasri 2016 Table II
14,13,62.0,197.0,300,,,45.0,45.0,,,1,197.0,0.0,80.0,114.99999999999999,114.99999999999999,0.0,1408,transcribed from Nasri 2016 Table II
15,15,2.4,12.0,400,,,9.6,9.6,,,0,0.0,0.0,6.0,9.6,9.6,0.0,2141,transcribed from Nasri 2016 Table II
16,15,2.4,12.0,400,,,9.6,9.6,,,0,0.0,0.0,6.0,9.6,9.6,0.0,2141,transcribed from Nasri 2016 Table II
17,15,2.4,12.0,400,,,9.6,9.6,,,0,0.0,0.0,6.0,9.6,9.6,0.0,2141,transcribed from Nasri 2016 Table II
18,15,2.4,12.0,400,,,9.6,9.6,,,0,0.0,0.0,6.0,9.6,9.6,0.0,2141,transcribed from Nasri 2016 Table II
19,15,2.4,12.0,400,,,9.6,9.6,,,0,0.0,0.0,6.0,9.6,9.6,0.0,2141,transcribed from Nasri 2016 Table II
20,15,50.0,155.0,200,,,45.0,45.0,,,1,110.00000000000001,-50.0,80.0,100.0,100.0,45.0,1592,transcribed from Nasri 2016 Table II
21,16,50.0,155.0,200,,,45.0,45.0,,,1,110.00000000000001,-50.0,80.0,100.0,100.0,45.0,1592,transcribed from Nasri 2016 Table II
22,18,100.0,400.0,250,,,150.0,150.0,,,0,0.0,-50.0,200.0,280.0,280.0,0.0,1917,transcribed from Nasri 2016 Table II
23,21,100.0,400.0,250,,,150.0,150.0,,,0,0.0,-50.0,200.0,280.0,280.0,0.0,1917,transcribed from Nasri 2016 Table II
24,22,0.0,50.0,100,,,15.0,15.0,,,1,50.0,-10.0,16.0,50.0,50.0,0.0,0,transcribed from Nasri 2016 Table II
25,22,0.0,50.0,100,,,15.0,15.0,,,1,50.0,-10.0,16.0,50.0,50.0,0.0,0,transcribed from Nasri 2016 Table II
26,22,0.0,50.0,100,,,15.0,15.0,,,1,50.0,-10.0,16.0,50.0,50.0,0.0,0,transcribed from Nasri 2016 Table II
27,22,0.0,50.0,100,,,15.0,15.0,,,1,50.0,-10.0,16.0,50.0,50.0,0.0,0,transcribed from Nasri 2016 Table II
28,22,0.0,50.0,100,,,15.0,15.0,,,1,50.0,-10.0,16.0,50.0,50.0,0.0,0,transcribed from Nasri 2016 Table II
29,22,0.0,50.0,100,,,15.0,15.0,,,1,50.0,-10.0,16.0,50.0,50.0,0.0,0,transcribed from Nasri 2016 Table II
30,23,50.0,155.0,200,,,45.0,45.0,,,1,110.00000000000001,-50.0,80.0,100.0,100.0,45.0,1592,transcribed from Nasri 2016 Table II
31,23,50.0,155.0,200,,,45.0,45.0,,,1,110.00000000000001,-50.0,80.0,100.0,100.0,45.0,1592,transcribed from Nasri 2016 Table II
32,23,80.0,350.0,100,,,100.0,100.0,,,0,0.0,-25.0,150.0,250.0,250.0,0.0,1720,transcribed from Nasri 2016 Table II
