hour,load_factor,source,notes
1,0.75,Nasri 2016 Table III,
2,0.7,Nasri 2016 Table III,
3,0.65,Nasri 2016 Table III,
4,0.6,Nasri 2016 Table III,
5,0.62,Nasri 2016 Table III,
6,0.63,Nasri 2016 Table III,
7,0.65,Nasri 2016 Table III,
8,0.68,Nasri 2016 Table III,
9,0.7,Nasri 2016 Table III,
10,0.72,Nasri 2016 Table III,
11,0.75,Nasri 2016 Table III,
12,0.78,Nasri 2016 Table III,
13,0.8,Nasri 2016 Table III,
14,0.85,Nasri 2016 Table III,
15,0.85,Nasri 2016 Table III,
16,0.9,Nasri 2016 Table III,
17,0.92,Nasri 2016 Table III,
18,0.95,Nasri 2016 Table III,
19,0.98,Nasri 2016 Table III,
20,1.0,Nasri 2016 Table III,
21,0.97,Nasri 2016 Table III,
22,0.93,Nasri 2016 Table III,
23,0.91,Nasri 2016 Table III,
24,0.92,Nasri 2016 Table III,
