scenario_id,probability,source,notes
1,0.01,Nasri 2016 Table IV,
2,0.01,Nasri 2016 Table IV,
3,0.01,Nasri 2016 Table IV,
4,0.02,Nasri 2016 Table IV,
5,0.02,Nasri 2016 Table IV,
6,0.03,Nasri 2016 Table IV,
7,0.03,Nasri 2016 Table IV,
8,0.03,Nasri 2016 Table IV,
9,0.04,Nasri 2016 Table IV,
10,0.04,Nasri 2016 Table IV,
11,0.05,Nasri 2016 Table IV,
12,0.05,Nasri 2016 Table IV,
13,0.01,Nasri 2016 Table IV,
14,0.01,Nasri 2016 Table IV,
15,0.01,Nasri 2016 Table IV,
16,0.01,Nasri 2016 Table IV,
17,0.01,Nasri 2016 Table IV,
18,0.02,Nasri 2016 Table IV,
19,0.02,Nasri 2016 Table IV,
20,0.03,Nasri 2016 Table IV,
21,0.03,Nasri 2016 Table IV,
22,0.04,Nasri 2016 Table IV,
23,0.04,Nasri 2016 Table IV,
24,0.05,Nasri 2016 Table IV,
25,0.05,Nasri 2016 Table IV,
26,0.01,Nasri 2016 Table IV,
27,0.01,Nasri 2016 Table IV,
28,0.01,Nasri 2016 Table IV,
29,0.01,Nasri 2016 Table IV,
30,0.01,Nasri 2016 Table IV,
31,0.02,Nasri 2016 Table IV,
32,0.02,Nasri 2016 Table IV,
33,0.02,Nasri 2016 Table IV,
34,0.02,Nasri 2016 Table IV,
35,0.02,Nasri 2016 Table IV,
36,0.03,Nasri 2016 Table IV,
37,0.03,Nasri 2016 Table IV,
38,0.04,Nasri 2016 Table IV,
39,0.04,Nasri 2016 Table IV,
40,0.04,Nasri 2016 Table IV,
