scenario_id,probability,scenario_total_mwh,scenario_average_mw,scenario_capacity_factor
1,0.01,3597.6404921794365,149.90168717414318,0.25800634625497965
2,0.01,4395.355747055353,183.13982279397305,0.3152148412977161
3,0.01,4511.866557118083,187.99443987992012,0.3235704645093289
4,0.02,4503.222691268265,187.6342788028444,0.32295056592572186
5,0.02,3195.627599754923,133.15114998978845,0.22917581753836222
6,0.03,5872.730891838672,244.697120493278,0.4211654397474664
7,0.03,3435.6897707695884,143.15374044873286,0.24639198011830096
8,0.03,5342.05769278211,222.5857371992546,0.38310798141007674
9,0.04,4033.3845460270677,168.05768941779448,0.2892559198240869
10,0.04,4584.882044902637,191.03675187094322,0.32880680184327576
11,0.05,3840.976912671191,160.04070469463295,0.2754573230544457
12,0.05,3279.277066724437,136.63654444685156,0.2351747752957858
13,0.01,3950.898025811172,164.6207510754655,0.28334036329684253
14,0.01,3636.6830163316104,151.5284590138171,0.2608062977862601
15,0.01,4263.380106938329,177.64083778909705,0.3057501510999949
16,0.01,5574.076573484865,232.25319056186936,0.39974731594125534
17,0.01,5826.277503865151,242.76156266104795,0.41783401490713934
18,0.02,3331.3563946760123,138.80651644483385,0.23890966685857806
19,0.02,3807.0725816287595,158.62802423453164,0.27302585926769646
20,0.03,4638.336863581605,193.26403598256687,0.3326403373193922
21,0.03,2795.1958488943055,116.4664937039294,0.2004586810738888
22,0.04,4467.150372758994,186.13126553162476,0.3203636239787001
23,0.04,3247.1320594010645,135.297169141711,0.23286948217161965
24,0.05,3503.1872550120215,145.9661356255009,0.2512325914380394
25,0.05,3832.510201137012,159.6879250473755,0.274850129169321
26,0.01,2667.563098068845,111.14846241953522,0.19130544306288333
27,0.01,3927.345718910406,163.63940495460025,0.2816512994055082
28,0.01,6112.746059386084,254.69775247442018,0.438378231453391
29,0.01,4282.882965076322,178.45345687818008,0.3071488070192428
30,0.01,4359.301707964878,181.63757116520324,0.31262921026713125
31,0.02,5790.098020901171,241.25408420421547,0.4152393876148287
32,0.02,4888.931779174315,203.7054907989298,0.35061186023912183
33,0.02,3156.503762647413,131.52099011030887,0.2263700346132683
34,0.02,3913.761198189267,163.07338325788612,0.28067707961770416
35,0.02,4491.706530846966,187.15443878529027,0.3221246794927543
36,0.03,4468.984565024958,186.20769020937325,0.32049516387155463
37,0.03,3219.2672682895,134.13613617872917,0.230871146607107
38,0.04,4301.399981010865,179.22499920878604,0.30847676283784176
39,0.04,4721.021147660555,196.70921448585645,0.33857007656773913
40,0.04,4615.848705331263,192.32702938880263,0.33102758930947096
