hour,load_mw,spinning_reserve_mw,operating_reserve_mw,source_type_cn,construction_rule_cn,needs_user_confirm,source_note
1,2137.5,64.125,106.875,合理构造/待确认假设,演示候选：旋转备用=3%负荷，运行备用=5%负荷；正式复现需按论文或用户确认改写。,是,由阶段二多轮对话根据 load_profile.csv 自动生成，不覆盖 data/reserves.csv。
2,1995.0,59.85,99.75,合理构造/待确认假设,演示候选：旋转备用=3%负荷，运行备用=5%负荷；正式复现需按论文或用户确认改写。,是,由阶段二多轮对话根据 load_profile.csv 自动生成，不覆盖 data/reserves.csv。
3,1852.5,55.575,92.625,合理构造/待确认假设,演示候选：旋转备用=3%负荷，运行备用=5%负荷；正式复现需按论文或用户确认改写。,是,由阶段二多轮对话根据 load_profile.csv 自动生成，不覆盖 data/reserves.csv。
4,1710.0,51.3,85.5,合理构造/待确认假设,演示候选：旋转备用=3%负荷，运行备用=5%负荷；正式复现需按论文或用户确认改写。,是,由阶段二多轮对话根据 load_profile.csv 自动生成，不覆盖 data/reserves.csv。
5,1767.0,53.01,88.35,合理构造/待确认假设,演示候选：旋转备用=3%负荷，运行备用=5%负荷；正式复现需按论文或用户确认改写。,是,由阶段二多轮对话根据 load_profile.csv 自动生成，不覆盖 data/reserves.csv。
6,1795.5,53.865,89.775,合理构造/待确认假设,演示候选：旋转备用=3%负荷，运行备用=5%负荷；正式复现需按论文或用户确认改写。,是,由阶段二多轮对话根据 load_profile.csv 自动生成，不覆盖 data/reserves.csv。
7,1852.5,55.575,92.625,合理构造/待确认假设,演示候选：旋转备用=3%负荷，运行备用=5%负荷；正式复现需按论文或用户确认改写。,是,由阶段二多轮对话根据 load_profile.csv 自动生成，不覆盖 data/reserves.csv。
8,1938.0,58.14,96.9,合理构造/待确认假设,演示候选：旋转备用=3%负荷，运行备用=5%负荷；正式复现需按论文或用户确认改写。,是,由阶段二多轮对话根据 load_profile.csv 自动生成，不覆盖 data/reserves.csv。
9,1995.0,59.85,99.75,合理构造/待确认假设,演示候选：旋转备用=3%负荷，运行备用=5%负荷；正式复现需按论文或用户确认改写。,是,由阶段二多轮对话根据 load_profile.csv 自动生成，不覆盖 data/reserves.csv。
10,2052.0,61.56,102.6,合理构造/待确认假设,演示候选：旋转备用=3%负荷，运行备用=5%负荷；正式复现需按论文或用户确认改写。,是,由阶段二多轮对话根据 load_profile.csv 自动生成，不覆盖 data/reserves.csv。
11,2137.5,64.125,106.875,合理构造/待确认假设,演示候选：旋转备用=3%负荷，运行备用=5%负荷；正式复现需按论文或用户确认改写。,是,由阶段二多轮对话根据 load_profile.csv 自动生成，不覆盖 data/reserves.csv。
12,2223.0,66.69,111.15,合理构造/待确认假设,演示候选：旋转备用=3%负荷，运行备用=5%负荷；正式复现需按论文或用户确认改写。,是,由阶段二多轮对话根据 load_profile.csv 自动生成，不覆盖 data/reserves.csv。
13,2280.0,68.4,114.0,合理构造/待确认假设,演示候选：旋转备用=3%负荷，运行备用=5%负荷；正式复现需按论文或用户确认改写。,是,由阶段二多轮对话根据 load_profile.csv 自动生成，不覆盖 data/reserves.csv。
14,2422.5,72.675,121.125,合理构造/待确认假设,演示候选：旋转备用=3%负荷，运行备用=5%负荷；正式复现需按论文或用户确认改写。,是,由阶段二多轮对话根据 load_profile.csv 自动生成，不覆盖 data/reserves.csv。
15,2422.5,72.675,121.125,合理构造/待确认假设,演示候选：旋转备用=3%负荷，运行备用=5%负荷；正式复现需按论文或用户确认改写。,是,由阶段二多轮对话根据 load_profile.csv 自动生成，不覆盖 data/reserves.csv。
16,2565.0,76.95,128.25,合理构造/待确认假设,演示候选：旋转备用=3%负荷，运行备用=5%负荷；正式复现需按论文或用户确认改写。,是,由阶段二多轮对话根据 load_profile.csv 自动生成，不覆盖 data/reserves.csv。
