constraint_type,component_id,value,lower,upper
p_balance_eq,1,-7.843460776363136e-13,0.0,0.0
p_balance_eq,2,-9.49382066017801e-13,0.0,0.0
p_balance_eq,3,6.30000568315088e-13,0.0,0.0
p_balance_eq,4,3.802765860113299e-13,0.0,0.0
p_balance_eq,5,3.6228873938652043e-13,0.0,0.0
p_balance_eq,6,9.381138325604806e-13,0.0,0.0
p_balance_eq,7,-1.110977603926218e-13,0.0,0.0
p_balance_eq,8,1.5609910257368483e-12,0.0,0.0
p_balance_eq,9,2.640103881226905e-13,0.0,0.0
p_balance_eq,10,2.336680907766937e-13,0.0,0.0
p_balance_eq,11,-1.1501400163884583e-12,0.0,0.0
p_balance_eq,12,-1.4011936667776516e-12,0.0,0.0
p_balance_eq,13,3.3287960553301946e-13,0.0,0.0
p_balance_eq,14,1.6917774486543448e-13,0.0,0.0
p_balance_eq,15,1.6565848814101758e-13,0.0,0.0
p_balance_eq,16,-3.052403190707191e-13,0.0,0.0
p_balance_eq,17,-6.366344507368867e-13,0.0,0.0
p_balance_eq,18,5.497005235439827e-13,0.0,0.0
p_balance_eq,19,-6.4801213779165125e-15,0.0,0.0
p_balance_eq,20,-5.34366654759619e-13,0.0,0.0
p_balance_eq,21,-1.020181438580862e-12,0.0,0.0
p_balance_eq,22,9.997578945061141e-13,0.0,0.0
p_balance_eq,23,4.56725363400716e-13,0.0,0.0
p_balance_eq,24,-1.755692937021225e-13,0.0,0.0
q_balance_eq,1,2.909332784695534e-10,0.0,0.0
q_balance_eq,2,2.8918765088010155e-10,0.0,0.0
q_balance_eq,3,1.1194434464958328e-10,0.0,0.0
q_balance_eq,4,7.331367250718241e-11,0.0,0.0
q_balance_eq,5,9.244205381593427e-11,0.0,0.0
q_balance_eq,6,9.77817409163469e-11,0.0,0.0
q_balance_eq,7,9.780898295198024e-11,0.0,0.0
q_balance_eq,8,1.5874611691815476e-10,0.0,0.0
q_balance_eq,9,2.1898524581421094e-10,0.0,0.0
q_balance_eq,10,2.6369761271710564e-10,0.0,0.0
q_balance_eq,11,2.924181466002748e-10,0.0,0.0
q_balance_eq,12,2.2818055901438695e-10,0.0,0.0
q_balance_eq,13,2.0707197427629058e-10,0.0,0.0
q_balance_eq,14,2.1586548231312676e-10,0.0,0.0
q_balance_eq,15,5.22364967551819e-10,0.0,0.0
q_balance_eq,16,7.210085657195672e-10,0.0,0.0
q_balance_eq,17,5.177177359480016e-10,0.0,0.0
q_balance_eq,18,6.591677579077731e-10,0.0,0.0
q_balance_eq,19,3.9686348471394846e-10,0.0,0.0
q_balance_eq,20,5.739582969225513e-10,0.0,0.0
q_balance_eq,21,5.868710577015379e-10,0.0,0.0
q_balance_eq,22,9.62995940136468e-11,0.0,0.0
q_balance_eq,23,4.5025466930383786e-10,0.0,0.0
q_balance_eq,24,1.4072262764243913e-10,0.0,0.0
line_mva_ineq,1,-3.0618674972060234,-1e+19,0.0
line_mva_ineq,2,-5.126468065630387,-1e+19,0.0
line_mva_ineq,3,-2.3892502615939897,-1e+19,0.0
line_mva_ineq,4,-2.684721582171692,-1e+19,0.0
line_mva_ineq,5,-2.6686159190731935,-1e+19,0.0
line_mva_ineq,6,-2.556248619626168,-1e+19,0.0
line_mva_ineq,7,-15.757999912623037,-1e+19,0.0
line_mva_ineq,8,-3.0593927527122147,-1e+19,0.0
line_mva_ineq,9,-2.9916863743730113,-1e+19,0.0
line_mva_ineq,10,-6.060625457097836,-1e+19,0.0
line_mva_ineq,11,-2.8882263240352106,-1e+19,0.0
line_mva_ineq,12,-2.633214926631508,-1e+19,0.0
line_mva_ineq,13,-2.720794641571772,-1e+19,0.0
line_mva_ineq,14,-15.234544654180915,-1e+19,0.0
line_mva_ineq,15,-14.798752578119855,-1e+19,0.0
line_mva_ineq,16,-7.974892595184519,-1e+19,0.0
line_mva_ineq,17,-14.479602316190496,-1e+19,0.0
line_mva_ineq,18,-20.550219207104124,-1e+19,0.0
line_mva_ineq,19,-5.228496668435528,-1e+19,0.0
line_mva_ineq,20,-22.0227340134981,-1e+19,0.0
line_mva_ineq,21,-24.579631701146283,-1e+19,0.0
line_mva_ineq,22,-24.946398369463274,-1e+19,0.0
line_mva_ineq,23,-4.275800330929342,-1e+19,0.0
line_mva_ineq,24,-24.308140631967305,-1e+19,0.0
line_mva_ineq,25,-24.911873961994473,-1e+19,0.0
line_mva_ineq,26,-24.911873961994473,-1e+19,0.0
line_mva_ineq,27,-24.75265231346101,-1e+19,0.0
line_mva_ineq,28,-24.861604038621458,-1e+19,0.0
line_mva_ineq,29,-24.79785527724488,-1e+19,0.0
line_mva_ineq,30,-23.469050571181956,-1e+19,0.0
line_mva_ineq,31,-23.618401174231753,-1e+19,0.0
line_mva_ineq,32,-24.564427717244417,-1e+19,0.0
line_mva_ineq,33,-24.564427717244417,-1e+19,0.0
line_mva_ineq,34,-24.184898559360402,-1e+19,0.0
line_mva_ineq,35,-24.184898559360402,-1e+19,0.0
line_mva_ineq,36,-23.041122101865213,-1e+19,0.0
line_mva_ineq,37,-23.041122101865213,-1e+19,0.0
line_mva_ineq,38,-21.666068457229844,-1e+19,0.0
