component_type,component_id,value,unit
bus_voltage,1,1.023212751763103,p.u.
bus_voltage,2,1.023114953688476,p.u.
bus_voltage,3,0.9872540729162133,p.u.
bus_voltage,4,0.9997988419251637,p.u.
bus_voltage,5,1.0032151941020497,p.u.
bus_voltage,6,0.989385911762894,p.u.
bus_voltage,7,1.0255232843568294,p.u.
bus_voltage,8,1.0007200400548455,p.u.
bus_voltage,9,0.9945356511572135,p.u.
bus_voltage,10,0.9939740250404113,p.u.
bus_voltage,11,1.0060446683343598,p.u.
bus_voltage,12,1.013308193388881,p.u.
bus_voltage,13,1.0363308424245925,p.u.
bus_voltage,14,0.9982547517550775,p.u.
bus_voltage,15,0.998102395194788,p.u.
bus_voltage,16,1.0025175988186688,p.u.
bus_voltage,17,0.9929197938497032,p.u.
bus_voltage,18,0.9883661072981449,p.u.
bus_voltage,19,1.008655172754823,p.u.
bus_voltage,20,1.0199524257616719,p.u.
bus_voltage,21,0.9912373937554928,p.u.
bus_voltage,22,0.996126804332588,p.u.
bus_voltage,23,1.0288728439081738,p.u.
bus_voltage,24,0.9934263606709689,p.u.
bus_angle,13,0.0,rad
bus_angle,1,-0.09233688993793322,rad
bus_angle,2,-0.09201693054344078,rad
bus_angle,3,-0.16730141815529964,rad
bus_angle,4,-0.16367226341454102,rad
bus_angle,5,-0.1562493351176499,rad
bus_angle,6,-0.20423479273880132,rad
bus_angle,7,-0.27125680996227924,rad
bus_angle,8,-0.27430059204044294,rad
bus_angle,9,-0.1660722598183832,rad
bus_angle,10,-0.17780221503451216,rad
bus_angle,11,-0.09317121647945031,rad
bus_angle,12,-0.0758563394349731,rad
bus_angle,14,-0.09990150961713411,rad
bus_angle,15,-0.10000305628047253,rad
bus_angle,16,-0.0862827125387515,rad
bus_angle,17,-0.08678773887651986,rad
bus_angle,18,-0.10430894504447362,rad
bus_angle,19,-0.07798302301497992,rad
bus_angle,20,-0.04485806187194173,rad
bus_angle,21,-0.0870783456429116,rad
bus_angle,22,0.03859320176810003,rad
bus_angle,23,-0.017264765305339956,rad
bus_angle,24,-0.12554680834040735,rad
reactive_generation,1,7.819458133000312,Mvar
reactive_generation,2,7.819898732294459,Mvar
reactive_generation,3,23.520344153568463,Mvar
reactive_generation,4,23.52037740850414,Mvar
reactive_generation,5,3.933125431548911,Mvar
reactive_generation,6,3.9332052572851484,Mvar
reactive_generation,7,24.301653615722614,Mvar
reactive_generation,8,24.301685330367466,Mvar
reactive_generation,10,30.476524539175916,Mvar
reactive_generation,11,29.70842417831227,Mvar
reactive_generation,12,60.4389746984849,Mvar
reactive_generation,13,60.4389746984849,Mvar
reactive_generation,14,60.64742384412249,Mvar
reactive_generation,20,60.991789211873375,Mvar
reactive_generation,21,63.019936749095514,Mvar
reactive_generation,24,4.895774554334262,Mvar
reactive_generation,25,4.884242945600058,Mvar
reactive_generation,26,4.586592013305184,Mvar
reactive_generation,27,5.025766138906554,Mvar
reactive_generation,28,4.769986162421373,Mvar
reactive_generation,29,4.913470542841285,Mvar
reactive_generation,30,48.49182668361008,Mvar
reactive_generation,31,49.93078424761975,Mvar
p_balance_slack,1,9.989416911855894e-06,MW
p_balance_slack,2,9.989205722657182e-06,MW
p_balance_slack,3,9.989191376517966e-06,MW
p_balance_slack,4,9.989191341767014e-06,MW
p_balance_slack,5,9.989192330283778e-06,MW
p_balance_slack,6,9.989191312693544e-06,MW
p_balance_slack,7,9.989192530214328e-06,MW
p_balance_slack,8,9.989192707496762e-06,MW
p_balance_slack,9,9.989191615554697e-06,MW
p_balance_slack,10,9.989191479033183e-06,MW
p_balance_slack,11,9.98919216701416e-06,MW
p_balance_slack,12,9.989192259335536e-06,MW
p_balance_slack,13,9.989194086875395e-06,MW
p_balance_slack,14,9.989192081003293e-06,MW
p_balance_slack,15,9.989191803881787e-06,MW
