hour,committed_units,startups,expected_thermal_mw,expected_wind_used_mw,expected_wind_curtailed_mw,total_load_shed_mw,max_abs_line_loading_percent,mean_scenario_dispatch_mw,used_mw,curtailed_mw
1,23,0,1983.678803106407,153.8211968935904,0.0,0.0,57.96443974205195,61.9337501465244,77.80999765560854,0.0
2,23,0,1836.7633671107533,158.23663288924556,0.0,0.0,53.44013742680228,57.251034480205774,81.48344831670684,0.0
3,23,0,1693.7494990978853,158.75050090211246,0.0,0.0,51.67316697341522,52.83992106259949,80.81126299840732,0.0
4,23,0,1548.838783470395,161.16121652960345,0.0,0.0,52.10371758675052,48.24323751123505,83.10819982023835,0.0
5,23,0,1600.9956802427712,166.00431975722694,0.0,0.0,51.56695821614145,49.93948514536297,84.4682376741917,0.0
6,23,0,1620.0133779686366,175.48662203136175,0.0,0.0,52.020281535877096,50.50527310345318,89.6656303447483,0.0
7,23,0,1664.1728245528882,188.32717544711036,0.0,0.0,52.09470525326689,51.84968983006686,96.65496271892948,0.0
8,23,0,1728.873832423263,209.12616757673536,0.0,0.0,53.07570165942781,53.94444317450514,105.88890920791705,0.0
9,23,0,1775.6966061607968,219.30339383920213,0.0,0.0,54.24931544296376,55.39598030273381,111.16431515625816,0.0
10,23,0,1819.5037614282544,232.4962385717436,0.0,0.0,56.136709002833825,56.73324839083782,118.26802574659393,0.0
11,23,0,1897.2576451327764,240.24235486722176,0.0,0.0,59.06249733052679,59.146012399042014,122.41380161532675,0.0
12,23,0,1990.5224180062248,232.47758199377344,0.0,0.0,61.77927941632545,62.08959406178525,118.06649501143504,0.0
13,24,1,2050.921830949481,229.07816905051675,0.0,0.0,63.72219073092988,64.00698403972568,115.88825536438779,0.0
14,24,0,2212.38225172508,210.1177482749174,0.0,0.0,53.571428571428584,69.0259072796853,106.83548352503422,0.0
15,24,0,2238.9409363410273,183.55906365897016,0.0,0.0,53.571428571428584,69.82202823299517,94.09754827207611,0.0
16,25,1,2403.604686081379,161.39531391861777,0.0,0.0,100.0,75.04811709076027,81.73012654783425,0.0
17,25,0,2479.937452109178,142.06254789081922,0.0,0.0,100.0,77.39813630092947,72.6298191851275,0.0
18,26,1,2582.7333348515754,124.76666514842252,0.0,0.0,100.0,80.58421492374148,64.40256122013525,0.0
19,26,0,2674.323238701944,118.67676129805356,0.0,0.0,100.0,83.5018330248697,60.47067160208361,0.0
20,26,0,2731.72274488836,118.27725511163698,0.0,0.0,100.0,85.25312512309584,60.949998030465096,0.0
21,26,0,2642.256290739993,122.24370926000368,0.0,0.0,100.0,82.49063009706295,62.39991844699161,0.0
22,26,0,2520.7145800705425,129.78541992945512,0.0,0.0,100.0,78.64953484808373,66.85744243065896,0.0
23,25,0,2450.5284237341352,142.971576265863,0.0,0.0,100.0,76.50592210250204,72.65524635996628,0.0
24,25,0,2472.9436311062013,149.05636889379696,0.0,0.0,100.0,77.18304473046423,76.0712843125713,0.0
