cut_id,case_id,scenario_id,hour,variable_name,component_type,component_id,coefficient,xbar,source_constraint,notes
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g1,generator,1,-1.1165565056103324e-10,20.000000000000018,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g2,generator,2,-1.1165565056103324e-10,20.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g3,generator,3,-1.1165565056103324e-10,76.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g4,generator,4,-1.1165565056103324e-10,76.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g5,generator,5,-1.0363760832288953e-10,20.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g6,generator,6,-1.0363760832288953e-10,20.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g7,generator,7,-1.0363760832288953e-10,76.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g8,generator,8,-1.0363760832288953e-10,75.99999999999999,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g9,generator,9,-4.6959549161525726e-11,79.99999999999999,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g10,generator,10,-4.6959549161525726e-11,100.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g11,generator,11,-4.6959549161525726e-11,100.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
