component_type,component_id,value,unit
bus_voltage,1,1.0168570710651526,p.u.
bus_voltage,2,1.0172101247175533,p.u.
bus_voltage,3,0.982750110771251,p.u.
bus_voltage,4,0.9945435578104219,p.u.
bus_voltage,5,0.9974863587244639,p.u.
bus_voltage,6,0.9825430188385563,p.u.
bus_voltage,7,0.9956210908999183,p.u.
bus_voltage,8,0.9789727231852781,p.u.
bus_voltage,9,0.9920414479552585,p.u.
bus_voltage,10,0.9900255142921844,p.u.
bus_voltage,11,1.0108282732870368,p.u.
bus_voltage,12,1.0224966876132122,p.u.
bus_voltage,13,1.0511668093132802,p.u.
bus_voltage,14,1.0039838750899222,p.u.
bus_voltage,15,1.0047604618865265,p.u.
bus_voltage,16,1.0119148953124353,p.u.
bus_voltage,17,1.000985699700495,p.u.
bus_voltage,18,0.9952276250638844,p.u.
bus_voltage,19,1.026114663721339,p.u.
bus_voltage,20,1.0479393901580316,p.u.
bus_voltage,21,0.9986137467139286,p.u.
bus_voltage,22,1.0082508795760576,p.u.
bus_voltage,23,1.064666142463373,p.u.
bus_voltage,24,0.9954128382492868,p.u.
bus_angle,13,0.0,rad
bus_angle,1,-0.14781241902762715,rad
bus_angle,2,-0.1468606198945364,rad
bus_angle,3,-0.2297962425318914,rad
bus_angle,4,-0.20487320630448255,rad
bus_angle,5,-0.19863138678103465,rad
bus_angle,6,-0.2418688682132759,rad
bus_angle,7,-0.07768958222168205,rad
bus_angle,8,-0.18181883579227104,rad
bus_angle,9,-0.18197425512067916,rad
bus_angle,10,-0.19474597724778236,rad
bus_angle,11,-0.10907900306621784,rad
bus_angle,12,-0.07023806100998041,rad
bus_angle,14,-0.13128253235863552,rad
bus_angle,15,-0.1403591963819077,rad
bus_angle,16,-0.11312757943140153,rad
bus_angle,17,-0.1253816130846672,rad
bus_angle,18,-0.1489169155413831,rad
bus_angle,19,-0.0703207335324161,rad
bus_angle,20,-0.0041911778809788115,rad
bus_angle,21,-0.1302103639062123,rad
bus_angle,22,-0.005229746581771838,rad
bus_angle,23,0.041963561500848096,rad
bus_angle,24,-0.1740668096712752,rad
reactive_generation,1,5.020137551306649,Mvar
reactive_generation,2,5.020137551307163,Mvar
reactive_generation,3,25.245474113964686,Mvar
reactive_generation,4,25.245473776088108,Mvar
reactive_generation,5,5.345673706761504,Mvar
reactive_generation,6,5.345673706761504,Mvar
reactive_generation,7,25.275450979320695,Mvar
reactive_generation,8,25.275450411658596,Mvar
reactive_generation,9,18.537637962412674,Mvar
reactive_generation,10,20.028334761883407,Mvar
reactive_generation,11,20.028334432639248,Mvar
reactive_generation,12,68.547569657579,Mvar
reactive_generation,13,68.54756904510126,Mvar
reactive_generation,14,68.54756986384403,Mvar
reactive_generation,20,64.11721023689859,Mvar
reactive_generation,21,68.3968892201681,Mvar
reactive_generation,24,6.630912893380567,Mvar
reactive_generation,25,6.628233491826784,Mvar
reactive_generation,26,6.6304256212138375,Mvar
reactive_generation,27,6.630754886899825,Mvar
reactive_generation,28,6.631095979396267,Mvar
reactive_generation,29,6.629468940063346,Mvar
reactive_generation,30,56.79008150903257,Mvar
reactive_generation,31,56.78927889651896,Mvar
reactive_generation,32,133.6318812431903,Mvar
p_balance_slack,1,9.989862827884128e-06,MW
p_balance_slack,2,9.989857977753465e-06,MW
p_balance_slack,3,9.989849042911422e-06,MW
p_balance_slack,4,9.989864785813662e-06,MW
p_balance_slack,5,9.989864812038292e-06,MW
p_balance_slack,6,9.98984714430629e-06,MW
p_balance_slack,7,9.988829387443323e-06,MW
p_balance_slack,8,9.989851812128298e-06,MW
p_balance_slack,9,9.989854668086183e-06,MW
p_balance_slack,10,9.989860563436247e-06,MW
p_balance_slack,11,9.989853890594431e-06,MW
p_balance_slack,12,9.98985445037523e-06,MW
p_balance_slack,13,9.98985842289748e-06,MW
p_balance_slack,14,9.989692732773995e-06,MW
p_balance_slack,15,9.989707090102926e-06,MW
p_balance_slack,16,9.989865086911003e-06,MW
p_balance_slack,17,9.9898519278288e-06,MW
p_balance_slack,18,9.989853775309798e-06,MW
p_balance_slack,19,9.989851550519586e-06,MW
