component_type,component_id,value,unit
bus_voltage,1,1.0975578105378143,p.u.
bus_voltage,2,1.0981170364082795,p.u.
bus_voltage,3,1.0519861354783075,p.u.
bus_voltage,4,1.0661687587684214,p.u.
bus_voltage,5,1.0707827104127583,p.u.
bus_voltage,6,1.052135552817447,p.u.
bus_voltage,7,1.0910702596880726,p.u.
bus_voltage,8,1.0624526139406283,p.u.
bus_voltage,9,1.0547737957245664,p.u.
bus_voltage,10,1.054524264485198,p.u.
bus_voltage,11,1.064244888276193,p.u.
bus_voltage,12,1.0689528636000547,p.u.
bus_voltage,13,1.0887203384815036,p.u.
bus_voltage,14,1.0599672597180907,p.u.
bus_voltage,15,1.06956442416979,p.u.
bus_voltage,16,1.0694909645054544,p.u.
bus_voltage,17,1.068288966893994,p.u.
bus_voltage,18,1.0645117029840054,p.u.
bus_voltage,19,1.06865568895738,p.u.
bus_voltage,20,1.076984978408359,p.u.
bus_voltage,21,1.0690711632762009,p.u.
bus_voltage,22,1.098744666119547,p.u.
bus_voltage,23,1.0860859137794607,p.u.
bus_voltage,24,1.0620764375177993,p.u.
bus_angle,13,0.0,rad
bus_angle,1,-0.13623206360900111,rad
bus_angle,2,-0.13542410917123845,rad
bus_angle,3,-0.20718099802824916,rad
bus_angle,4,-0.1854786387821685,rad
bus_angle,5,-0.18002885921818745,rad
bus_angle,6,-0.21780513981916502,rad
bus_angle,7,-0.0777619083569272,rad
bus_angle,8,-0.16527860042006953,rad
bus_angle,9,-0.16533460257030844,rad
bus_angle,10,-0.1765695208250702,rad
bus_angle,11,-0.10022759850923901,rad
bus_angle,12,-0.0648815305931276,rad
bus_angle,14,-0.12042167002382488,rad
bus_angle,15,-0.12853558882908228,rad
bus_angle,16,-0.10435274617247146,rad
bus_angle,17,-0.11528807703300367,rad
bus_angle,18,-0.13590455800527182,rad
bus_angle,19,-0.06554758519855655,rad
bus_angle,20,-0.0038367984988648533,rad
bus_angle,21,-0.11956621866443781,rad
bus_angle,22,-0.01232623542760073,rad
bus_angle,23,0.04015048753720989,rad
bus_angle,24,-0.15828096232250344,rad
reactive_generation,1,10.0,Mvar
reactive_generation,2,10.0,Mvar
reactive_generation,3,28.497097622966884,Mvar
reactive_generation,4,28.49709762296643,Mvar
reactive_generation,5,10.0,Mvar
reactive_generation,6,10.0,Mvar
reactive_generation,7,30.0,Mvar
reactive_generation,8,30.0,Mvar
reactive_generation,9,27.045340725509124,Mvar
reactive_generation,10,27.045340725509014,Mvar
reactive_generation,11,27.045340725509185,Mvar
reactive_generation,12,57.55259773713572,Mvar
reactive_generation,13,57.55259773713583,Mvar
reactive_generation,14,57.552597737135855,Mvar
reactive_generation,20,80.0,Mvar
reactive_generation,21,59.25499241198046,Mvar
reactive_generation,24,15.953238350706494,Mvar
reactive_generation,25,15.953238350706473,Mvar
reactive_generation,26,15.953238350706503,Mvar
reactive_generation,27,15.953238350706487,Mvar
reactive_generation,28,15.95323835070649,Mvar
reactive_generation,29,15.9532383507065,Mvar
reactive_generation,30,41.89485912403846,Mvar
reactive_generation,31,41.89485912403809,Mvar
reactive_generation,32,41.89485912403845,Mvar
