constraint_type,component_id,value,lower,upper,variable_name,master_value
p_balance_eq,1,1.199607870450061e-13,0.0,0.0,,
p_balance_eq,2,-9.683887128601396e-15,0.0,0.0,,
p_balance_eq,3,-9.015297257092443e-14,0.0,0.0,,
p_balance_eq,4,-1.8918982320429573e-14,0.0,0.0,,
p_balance_eq,5,-4.322280380830712e-15,0.0,0.0,,
p_balance_eq,6,-1.4905360745578328e-14,0.0,0.0,,
p_balance_eq,7,5.5636295267016966e-14,0.0,0.0,,
p_balance_eq,8,-1.6322097211134146e-13,0.0,0.0,,
p_balance_eq,9,-2.386719972049048e-14,0.0,0.0,,
p_balance_eq,10,-8.796752253492288e-14,0.0,0.0,,
p_balance_eq,11,9.531036983950747e-14,0.0,0.0,,
p_balance_eq,12,8.723019729499695e-14,0.0,0.0,,
p_balance_eq,13,3.217329966895624e-14,0.0,0.0,,
p_balance_eq,14,-6.074327374644764e-15,0.0,0.0,,
p_balance_eq,15,8.745869290284827e-14,0.0,0.0,,
p_balance_eq,16,-9.226873212415769e-14,0.0,0.0,,
p_balance_eq,17,6.499326155929609e-14,0.0,0.0,,
p_balance_eq,18,-1.6397426561638902e-13,0.0,0.0,,
p_balance_eq,19,-7.104234735211268e-17,0.0,0.0,,
p_balance_eq,20,-1.1456123999746201e-14,0.0,0.0,,
p_balance_eq,21,1.1216881576673297e-13,0.0,0.0,,
p_balance_eq,22,-5.3392366076336975e-14,0.0,0.0,,
p_balance_eq,23,-6.149638768051038e-15,0.0,0.0,,
p_balance_eq,24,-4.1258263353081276e-15,0.0,0.0,,
q_balance_eq,1,-1.7192142152987807e-11,0.0,0.0,,
q_balance_eq,2,-1.5812801751596134e-11,0.0,0.0,,
q_balance_eq,3,-4.979222580309226e-12,0.0,0.0,,
q_balance_eq,4,-3.4317269281803307e-12,0.0,0.0,,
q_balance_eq,5,-4.7734958143912966e-12,0.0,0.0,,
q_balance_eq,6,-4.983169794501013e-12,0.0,0.0,,
q_balance_eq,7,-4.7739620823118376e-12,0.0,0.0,,
q_balance_eq,8,-6.3314646900998126e-12,0.0,0.0,,
q_balance_eq,9,-1.0776482313392018e-11,0.0,0.0,,
q_balance_eq,10,-1.2626022995946683e-11,0.0,0.0,,
q_balance_eq,11,-1.3725619890604581e-11,0.0,0.0,,
q_balance_eq,12,-1.097716680059516e-11,0.0,0.0,,
q_balance_eq,13,-9.625782348933118e-12,0.0,0.0,,
q_balance_eq,14,-1.0769079814639156e-11,0.0,0.0,,
q_balance_eq,15,-2.3113304605209932e-11,0.0,0.0,,
q_balance_eq,16,-3.0455701267937795e-11,0.0,0.0,,
q_balance_eq,17,-2.150493521593192e-11,0.0,0.0,,
q_balance_eq,18,-3.20188562011217e-11,0.0,0.0,,
q_balance_eq,19,-1.6556780123614615e-11,0.0,0.0,,
q_balance_eq,20,-2.1958949300560342e-11,0.0,0.0,,
q_balance_eq,21,-2.4445571862065623e-11,0.0,0.0,,
q_balance_eq,22,-3.5692299742390125e-12,0.0,0.0,,
q_balance_eq,23,-2.18210191533846e-11,0.0,0.0,,
