constraint_type,component_id,multiplier,benders_coefficient,variable_name,master_value,notes
p_balance_eq,1,-1.9745949637896278e-05,,,,
p_balance_eq,2,-1.9746052865657575e-05,,,,
p_balance_eq,3,-1.9746618177624033e-05,,,,
p_balance_eq,4,-1.9746518617416878e-05,,,,
p_balance_eq,5,-1.9745957379254197e-05,,,,
p_balance_eq,6,-1.9745911094703586e-05,,,,
p_balance_eq,7,-1.974337076726234e-05,,,,
p_balance_eq,8,-1.9743402957444654e-05,,,,
p_balance_eq,9,-1.9746748371760582e-05,,,,
p_balance_eq,10,-1.9745772251106878e-05,,,,
p_balance_eq,11,-1.974597479477121e-05,,,,
p_balance_eq,12,-1.974583375862859e-05,,,,
p_balance_eq,13,-1.9745360757663304e-05,,,,
p_balance_eq,14,-1.9746013147431874e-05,,,,
p_balance_eq,15,-1.9746514082935662e-05,,,,
p_balance_eq,16,-1.974607268342584e-05,,,,
p_balance_eq,17,-1.97457317832591e-05,,,,
p_balance_eq,18,-1.9746387662011555e-05,,,,
p_balance_eq,19,-1.9746006369239534e-05,,,,
p_balance_eq,20,-1.9745767571429348e-05,,,,
p_balance_eq,21,-1.974659073488037e-05,,,,
p_balance_eq,22,-1.974925245494602e-05,,,,
p_balance_eq,23,-1.9745462877200746e-05,,,,
p_balance_eq,24,-1.9746589416556294e-05,,,,
q_balance_eq,1,-4.248427980752338e-11,,,,
q_balance_eq,2,-8.275946706559444e-11,,,,
q_balance_eq,3,-1.331545276205467e-10,,,,
q_balance_eq,4,-1.07486690767533e-10,,,,
q_balance_eq,5,-1.218861997906968e-10,,,,
q_balance_eq,6,-1.6471111661411353e-10,,,,
q_balance_eq,7,-4.4848164772659913e-10,,,,
q_balance_eq,8,-8.602172296391766e-10,,,,
q_balance_eq,9,-6.677860491218518e-11,,,,
q_balance_eq,10,-1.7189736862646614e-10,,,,
q_balance_eq,11,-8.126569686347808e-11,,,,
q_balance_eq,12,-6.23945869917049e-11,,,,
q_balance_eq,13,3.530782679464786e-11,,,,
q_balance_eq,14,-9.043745548706809e-11,,,,
q_balance_eq,15,-1.1799086924063144e-10,,,,
q_balance_eq,16,-1.1924008553380763e-10,,,,
q_balance_eq,17,-2.0643587301288182e-10,,,,
q_balance_eq,18,-2.30414104817212e-10,,,,
q_balance_eq,19,-9.726654553734575e-11,,,,
q_balance_eq,20,-4.414758521248838e-11,,,,
q_balance_eq,21,-1.6956529721212357e-10,,,,
q_balance_eq,22,-3.737069555377e-10,,,,
q_balance_eq,23,2.706640921151001e-11,,,,
q_balance_eq,24,-1.3553048279990713e-10,,,,
line_mva_ineq,1,-2.053920404876683e-07,,,,
line_mva_ineq,2,1.3134801391999586e-08,,,,
line_mva_ineq,3,1.5639049424006536e-08,,,,
line_mva_ineq,4,1.5554087206765103e-08,,,,
line_mva_ineq,5,1.471060604460861e-08,,,,
line_mva_ineq,6,1.558673670194984e-08,,,,
line_mva_ineq,7,1.530283977298197e-08,,,,
line_mva_ineq,8,1.3636914659370022e-08,,,,
line_mva_ineq,9,1.5555279280526717e-08,,,,
line_mva_ineq,10,2.0189182391424754e-09,,,,
line_mva_ineq,11,2.7538048065273762e-08,,,,
line_mva_ineq,12,-4.525793700260392e-07,,,,
line_mva_ineq,13,1.3266026168920513e-08,,,,
line_mva_ineq,14,1.5317462637151698e-08,,,,
line_mva_ineq,15,1.5301763909734972e-08,,,,
line_mva_ineq,16,1.2991722564293401e-08,,,,
line_mva_ineq,17,1.5330972811894068e-08,,,,
line_mva_ineq,18,1.5182688545739547e-08,,,,
line_mva_ineq,19,1.3314172062793383e-08,,,,
line_mva_ineq,20,1.5238364070413707e-08,,,,
line_mva_ineq,21,1.3808472628375462e-08,,,,
line_mva_ineq,22,1.0238754829123717e-08,,,,
line_mva_ineq,23,-9.656098052221507e-09,,,,
line_mva_ineq,24,1.4677092718914884e-08,,,,
line_mva_ineq,25,4.732835445309877e-08,,,,
line_mva_ineq,26,4.732835445318347e-08,,,,
line_mva_ineq,27,1.4970800635188122e-08,,,,
line_mva_ineq,28,1.38616763115192e-08,,,,
line_mva_ineq,29,1.3034662689325011e-08,,,,
line_mva_ineq,30,8.125771986033543e-09,,,,
line_mva_ineq,31,-3.553941639306918e-07,,,,
line_mva_ineq,32,1.5259660824915944e-08,,,,
line_mva_ineq,33,1.5259660824915944e-08,,,,
line_mva_ineq,34,1.522021785679186e-08,,,,
line_mva_ineq,35,1.5220217856876565e-08,,,,
line_mva_ineq,36,1.1935622596272013e-08,,,,
line_mva_ineq,37,1.1935622590545708e-08,,,,
line_mva_ineq,38,7.992491274819048e-09,,,,
fixed_master_dispatch_eq,1,9.882213168388492e-06,-9.882213168388492e-06,p_s1_t1_g1,20.000000000000018,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,2,9.882213169254766e-06,-9.882213169254766e-06,p_s1_t1_g2,20.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,3,9.909518701499444e-06,-9.909518701499444e-06,p_s1_t1_g3,76.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,4,9.909518701499317e-06,-9.909518701499317e-06,p_s1_t1_g4,76.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,5,9.882264747276146e-06,-9.882264747276146e-06,p_s1_t1_g5,20.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,6,9.88226474727606e-06,-9.88226474727606e-06,p_s1_t1_g6,20.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,7,9.909570100581939e-06,-9.909570100581939e-06,p_s1_t1_g7,76.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,8,9.909570096882479e-06,-9.909570096882479e-06,p_s1_t1_g8,76.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,10,1.9745820785749197e-05,-1.9745820785749197e-05,p_s1_t1_g10,83.83747907707327,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,11,1.9744778472824966e-05,-1.9744778472824966e-05,p_s1_t1_g11,15.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,12,9.968224282233366e-06,-9.968224282233366e-06,p_s1_t1_g12,197.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,13,9.968224282268078e-06,-9.968224282268078e-06,p_s1_t1_g13,197.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,14,9.968224282215523e-06,-9.968224282215523e-06,p_s1_t1_g14,197.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,20,9.948332573527418e-06,-9.948332573527418e-06,p_s1_t1_g20,155.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,21,9.948110144606279e-06,-9.948110144606279e-06,p_s1_t1_g21,155.0000000000002,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,24,9.898518254193355e-06,-9.898518254193355e-06,p_s1_t1_g24,50.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,25,9.898518254192546e-06,-9.898518254192546e-06,p_s1_t1_g25,50.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,26,9.898518254190423e-06,-9.898518254190423e-06,p_s1_t1_g26,50.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,27,9.898518254205095e-06,-9.898518254205095e-06,p_s1_t1_g27,50.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,28,9.898518254198785e-06,-9.898518254198785e-06,p_s1_t1_g28,50.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,29,9.89851825421937e-06,-9.89851825421937e-06,p_s1_t1_g29,50.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,30,9.947800861784742e-06,-9.947800861784742e-06,p_s1_t1_g30,155.00000000000006,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,31,9.947800864557344e-06,-9.947800864557344e-06,p_s1_t1_g31,155.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_wind_eq,W14,9.918484903596765e-06,-9.918484903596765e-06,wind_s1_t1_W14,94.2943223758374,Coefficient is -multiplier for constraint wind_ac - wind_master_bar = 0.
fixed_master_wind_eq,W3,9.89688906441666e-06,-9.89688906441666e-06,wind_s1_t1_W3,49.36819854708829,Coefficient is -multiplier for constraint wind_ac - wind_master_bar = 0.
