constraint_type,component_id,value,lower,upper,variable_name,master_value
p_balance_eq,1,2.501528795212501e-08,0.0,0.0,,
p_balance_eq,2,3.209769926517075e-08,0.0,0.0,,
p_balance_eq,3,-7.482729749651285e-08,0.0,0.0,,
p_balance_eq,4,-2.019137906292311e-08,0.0,0.0,,
p_balance_eq,5,-1.6361534093740264e-08,0.0,0.0,,
p_balance_eq,6,-6.439618884163979e-08,0.0,0.0,,
p_balance_eq,7,8.142199621886774e-09,0.0,0.0,,
p_balance_eq,8,-9.076841594793101e-08,0.0,0.0,,
p_balance_eq,9,-1.0017750846940581e-07,0.0,0.0,,
p_balance_eq,10,-1.1410367191204418e-07,0.0,0.0,,
p_balance_eq,11,2.9167738534483867e-08,0.0,0.0,,
p_balance_eq,12,3.276868324334826e-08,0.0,0.0,,
p_balance_eq,13,3.1074058566449183e-07,0.0,0.0,,
p_balance_eq,14,-4.9603956980956345e-08,0.0,0.0,,
p_balance_eq,15,-7.132174275364836e-08,0.0,0.0,,
p_balance_eq,16,7.014465107843255e-08,0.0,0.0,,
p_balance_eq,17,2.9299835247039926e-08,0.0,0.0,,
p_balance_eq,18,-1.9389679125429693e-07,0.0,0.0,,
p_balance_eq,19,-9.86057393595485e-08,0.0,0.0,,
p_balance_eq,20,-6.194011815385532e-08,0.0,0.0,,
p_balance_eq,21,3.2743545301408637e-08,0.0,0.0,,
p_balance_eq,22,1.0355763452785018e-07,0.0,0.0,,
p_balance_eq,23,2.610852025028388e-07,0.0,0.0,,
p_balance_eq,24,2.1981677113112235e-08,0.0,0.0,,
q_balance_eq,1,2.444370869978817e-07,0.0,0.0,,
q_balance_eq,2,2.366459594334877e-07,0.0,0.0,,
q_balance_eq,3,5.403865849565835e-08,0.0,0.0,,
q_balance_eq,4,4.1236561043318624e-08,0.0,0.0,,
q_balance_eq,5,5.615836443730081e-08,0.0,0.0,,
q_balance_eq,6,5.112612131937845e-08,0.0,0.0,,
q_balance_eq,7,6.383338381688768e-08,0.0,0.0,,
q_balance_eq,8,7.258172719765794e-08,0.0,0.0,,
q_balance_eq,9,1.1212878362474362e-07,0.0,0.0,,
q_balance_eq,10,1.3898332697356245e-07,0.0,0.0,,
q_balance_eq,11,1.587330384262317e-07,0.0,0.0,,
q_balance_eq,12,1.2493774341698974e-07,0.0,0.0,,
q_balance_eq,13,1.4459792529520395e-07,0.0,0.0,,
q_balance_eq,14,1.0400558242689307e-07,0.0,0.0,,
q_balance_eq,15,2.811532065749556e-07,0.0,0.0,,
q_balance_eq,16,3.8446940090521844e-07,0.0,0.0,,
q_balance_eq,17,2.6873544115647895e-07,0.0,0.0,,
q_balance_eq,18,3.2215225557444185e-07,0.0,0.0,,
q_balance_eq,19,1.9673317558133218e-07,0.0,0.0,,
q_balance_eq,20,2.9252934131008667e-07,0.0,0.0,,
q_balance_eq,21,3.056539658670052e-07,0.0,0.0,,
q_balance_eq,22,1.0149076774248946e-07,0.0,0.0,,
q_balance_eq,23,2.5565042930622995e-07,0.0,0.0,,
q_balance_eq,24,7.449292881855788e-08,0.0,0.0,,
line_mva_ineq,1,-3.061660752047165,-1e+19,0.0,,
line_mva_ineq,2,-5.113498351207169,-1e+19,0.0,,
line_mva_ineq,3,-2.3346312969010667,-1e+19,0.0,,
line_mva_ineq,4,-2.6517930489028787,-1e+19,0.0,,
line_mva_ineq,5,-2.636721178297949,-1e+19,0.0,,
line_mva_ineq,6,-2.559976138276413,-1e+19,0.0,,
line_mva_ineq,7,-15.746387814564283,-1e+19,0.0,,
line_mva_ineq,8,-3.0484563625842345,-1e+19,0.0,,
line_mva_ineq,9,-2.9664096714497825,-1e+19,0.0,,
line_mva_ineq,10,-6.066948253308518,-1e+19,0.0,,
line_mva_ineq,11,-2.766007267030253,-1e+19,0.0,,
line_mva_ineq,12,-2.6197015911762795,-1e+19,0.0,,
line_mva_ineq,13,-2.709731939830165,-1e+19,0.0,,
line_mva_ineq,14,-15.245587865974462,-1e+19,0.0,,
line_mva_ineq,15,-14.833468471413072,-1e+19,0.0,,
line_mva_ineq,16,-7.984272079717322,-1e+19,0.0,,
line_mva_ineq,17,-14.513398062757283,-1e+19,0.0,,
line_mva_ineq,18,-20.779328710662764,-1e+19,0.0,,
line_mva_ineq,19,-5.261143106442701,-1e+19,0.0,,
line_mva_ineq,20,-22.162251343649135,-1e+19,0.0,,
line_mva_ineq,21,-24.596528979277753,-1e+19,0.0,,
line_mva_ineq,22,-24.951282383813023,-1e+19,0.0,,
line_mva_ineq,23,-4.228456395248659,-1e+19,0.0,,
line_mva_ineq,24,-24.353156902144963,-1e+19,0.0,,
line_mva_ineq,25,-24.930572190813454,-1e+19,0.0,,
line_mva_ineq,26,-24.930572190813454,-1e+19,0.0,,
line_mva_ineq,27,-24.738883964576203,-1e+19,0.0,,
line_mva_ineq,28,-24.99914336557858,-1e+19,0.0,,
line_mva_ineq,29,-24.849617272830212,-1e+19,0.0,,
line_mva_ineq,30,-23.523931583941735,-1e+19,0.0,,
line_mva_ineq,31,-23.58546464859532,-1e+19,0.0,,
line_mva_ineq,32,-24.55163018608394,-1e+19,0.0,,
line_mva_ineq,33,-24.55163018608394,-1e+19,0.0,,
line_mva_ineq,34,-24.246862017414305,-1e+19,0.0,,
line_mva_ineq,35,-24.246862017414305,-1e+19,0.0,,
line_mva_ineq,36,-23.149968160709744,-1e+19,0.0,,
line_mva_ineq,37,-23.149968160709744,-1e+19,0.0,,
line_mva_ineq,38,-21.571423990416505,-1e+19,0.0,,
fixed_master_dispatch_eq,1,6.542834850298274e-14,0.0,0.0,p_s1_t1_g1,20.000000000000018
