constraint_type,component_id,multiplier,benders_coefficient,variable_name,master_value,notes
p_balance_eq,1,-0.00022216373697318085,,,,
p_balance_eq,2,-0.00022216369024088509,,,,
p_balance_eq,3,-0.000222166209264838,,,,
p_balance_eq,4,-0.00022216577531250782,,,,
p_balance_eq,5,-0.00022216543334150802,,,,
p_balance_eq,6,-0.00022216675999725058,,,,
p_balance_eq,7,-0.00022216910902389463,,,,
p_balance_eq,8,-0.000222169013990393,,,,
p_balance_eq,9,-0.00022216619298164798,,,,
p_balance_eq,10,-0.00022216618084207947,,,,
p_balance_eq,11,-0.0002221639258241766,,,,
p_balance_eq,12,-0.00022216352416520153,,,,
p_balance_eq,13,-0.00022216150504578464,,,,
p_balance_eq,14,-0.00022216447984028663,,,,
p_balance_eq,15,-0.00022216486568896258,,,,
p_balance_eq,16,-0.00022216443833898572,,,,
p_balance_eq,17,-0.0002221646620362985,,,,
p_balance_eq,18,-0.00022216508238423442,,,,
p_balance_eq,19,-0.00022216382434102325,,,,
p_balance_eq,20,-0.00022216278127120342,,,,
p_balance_eq,21,-0.0002221646732069849,,,,
p_balance_eq,22,-0.00022216188484904954,,,,
p_balance_eq,23,-0.00022216189124896316,,,,
p_balance_eq,24,-0.00022216535294639642,,,,
q_balance_eq,1,-1.2649707779604309e-08,,,,
q_balance_eq,2,-1.264687063116883e-08,,,,
q_balance_eq,3,-1.3753234578013742e-08,,,,
q_balance_eq,4,-1.3467229904268252e-08,,,,
q_balance_eq,5,-1.3434823034209549e-08,,,,
q_balance_eq,6,-1.4011000863854412e-08,,,,
q_balance_eq,7,-1.2375229258337886e-08,,,,
q_balance_eq,8,-1.3349720764306646e-08,,,,
q_balance_eq,9,-1.3903952857866811e-08,,,,
q_balance_eq,10,-1.4043982438710757e-08,,,,
q_balance_eq,11,-1.3880969028895831e-08,,,,
q_balance_eq,12,-1.3871247388435208e-08,,,,
q_balance_eq,13,-1.348964899992529e-08,,,,
q_balance_eq,14,-1.3780015702442989e-08,,,,
q_balance_eq,15,-1.3325707920424574e-08,,,,
q_balance_eq,16,-1.343016939414193e-08,,,,
q_balance_eq,17,-1.3402051670005016e-08,,,,
q_balance_eq,18,-1.347018292006105e-08,,,,
q_balance_eq,19,-1.3591793398108594e-08,,,,
q_balance_eq,20,-1.355707399147428e-08,,,,
q_balance_eq,21,-1.3366681479244221e-08,,,,
q_balance_eq,22,-1.2710875054447637e-08,,,,
q_balance_eq,23,-1.3465822223965011e-08,,,,
q_balance_eq,24,-1.3464506026834968e-08,,,,
line_mva_ineq,1,2.526716291417681e-09,,,,
line_mva_ineq,2,1.51279834302956e-09,,,,
line_mva_ineq,3,3.3149331118980476e-09,,,,
line_mva_ineq,4,2.9178583052264997e-09,,,,
line_mva_ineq,5,2.9344348108928934e-09,,,,
line_mva_ineq,6,3.0219501188933924e-09,,,,
line_mva_ineq,7,4.911763824783084e-10,,,,
line_mva_ineq,8,2.537624840650609e-09,,,,
line_mva_ineq,9,2.6079027716167756e-09,,,,
