component_type,component_id,value,unit
bus_voltage,1,1.037256056129272,p.u.
bus_voltage,2,1.0375059793066712,p.u.
bus_voltage,3,0.9943735973386331,p.u.
bus_voltage,4,1.0061377059903382,p.u.
bus_voltage,5,1.0104610738236253,p.u.
bus_voltage,6,0.9929091084584474,p.u.
bus_voltage,7,1.0423562004727531,p.u.
bus_voltage,8,1.0104261551264693,p.u.
bus_voltage,9,0.9941527066146866,p.u.
bus_voltage,10,0.9939920541487374,p.u.
bus_voltage,11,0.9998480595972197,p.u.
bus_voltage,12,1.0029038650757678,p.u.
bus_voltage,13,1.016999404609486,p.u.
bus_voltage,14,0.9977613178726358,p.u.
bus_voltage,15,1.008992945892269,p.u.
bus_voltage,16,1.0073369639265835,p.u.
bus_voltage,17,1.006856201876966,p.u.
bus_voltage,18,1.0038499755659207,p.u.
bus_voltage,19,1.0047290840290628,p.u.
bus_voltage,20,1.0085681214276792,p.u.
bus_voltage,21,1.0079969207964827,p.u.
bus_voltage,22,1.0352322007219092,p.u.
bus_voltage,23,1.0134713865563303,p.u.
bus_voltage,24,1.0028741897727427,p.u.
bus_angle,13,0.0,rad
bus_angle,1,-0.09656842221741077,rad
bus_angle,2,-0.09628014783078481,rad
bus_angle,3,-0.16946783356965858,rad
bus_angle,4,-0.16647305154012434,rad
bus_angle,5,-0.15921919805944693,rad
bus_angle,6,-0.20690051929101178,rad
bus_angle,7,-0.27319063368762475,rad
bus_angle,8,-0.2761566516978306,rad
bus_angle,9,-0.16884206417586006,rad
bus_angle,10,-0.1806805711388195,rad
bus_angle,11,-0.09552551094513917,rad
bus_angle,12,-0.07794689623636528,rad
bus_angle,14,-0.10232277964919963,rad
bus_angle,15,-0.1023619193813749,rad
bus_angle,16,-0.08878262238238423,rad
bus_angle,17,-0.08936119382640473,rad
bus_angle,18,-0.1063842414920534,rad
bus_angle,19,-0.08033160708815591,rad
bus_angle,20,-0.04656588149828595,rad
bus_angle,21,-0.08971149982967956,rad
bus_angle,22,0.029329160949436894,rad
bus_angle,23,-0.01816355986357695,rad
bus_angle,24,-0.12777443691383897,rad
reactive_generation,1,8.520196678288082,Mvar
reactive_generation,2,8.520196678288082,Mvar
reactive_generation,3,27.638791862292464,Mvar
reactive_generation,4,27.63879190561667,Mvar
reactive_generation,5,8.52328778409733,Mvar
reactive_generation,6,8.523287784097336,Mvar
reactive_generation,7,27.456320768890546,Mvar
reactive_generation,8,27.456320800683866,Mvar
reactive_generation,10,36.48176999470115,Mvar
reactive_generation,11,36.48176999470115,Mvar
reactive_generation,12,42.616840957772645,Mvar
reactive_generation,13,42.616840957772645,Mvar
reactive_generation,14,42.6168409329932,Mvar
reactive_generation,20,75.1590912407094,Mvar
reactive_generation,21,44.33210810053879,Mvar
reactive_generation,24,14.556472443773728,Mvar
reactive_generation,25,14.556472443773728,Mvar
reactive_generation,26,14.556472443255375,Mvar
reactive_generation,27,14.55647244324437,Mvar
reactive_generation,28,14.556472443333535,Mvar
reactive_generation,29,14.55647244501664,Mvar
reactive_generation,30,29.429457040002024,Mvar
reactive_generation,31,29.42945704000202,Mvar
real_time_active_generation,1,19.99891164395965,MW
real_time_active_generation,2,19.99891164395964,MW
real_time_active_generation,3,75.99890187503159,MW
real_time_active_generation,4,75.99890187503223,MW
real_time_active_generation,5,19.998911542266725,MW
real_time_active_generation,6,19.998911542266725,MW
real_time_active_generation,7,75.99890188940263,MW
real_time_active_generation,8,75.99890188940273,MW
real_time_active_generation,10,83.83697672219546,MW
real_time_active_generation,11,14.999999990465762,MW
real_time_active_generation,12,196.99901218965482,MW
real_time_active_generation,13,196.99901218965482,MW
real_time_active_generation,14,196.99901218965712,MW
real_time_active_generation,20,154.99889598133703,MW
real_time_active_generation,21,154.9988963618746,MW
real_time_active_generation,24,49.99901666447469,MW
real_time_active_generation,25,49.99901666447469,MW
real_time_active_generation,26,49.99901666447465,MW
real_time_active_generation,27,49.99901666447356,MW
real_time_active_generation,28,49.999016664474134,MW
real_time_active_generation,29,49.99901666447295,MW
real_time_active_generation,30,154.99890954698836,MW
real_time_active_generation,31,154.9989095469883,MW
real_time_wind_injection,W14,94.29323381770593,MW
real_time_wind_injection,W3,49.367097272280084,MW
reserve_up_deployment,1,0.0,MW
reserve_up_deployment,2,0.0,MW
reserve_up_deployment,3,0.0,MW
reserve_up_deployment,4,0.0,MW
reserve_up_deployment,5,0.0,MW
reserve_up_deployment,6,0.0,MW
reserve_up_deployment,7,0.0,MW
reserve_up_deployment,8,0.0,MW
reserve_up_deployment,10,0.0,MW
reserve_up_deployment,11,0.0,MW
reserve_up_deployment,12,0.0,MW
reserve_up_deployment,13,0.0,MW
reserve_up_deployment,14,0.0,MW
reserve_up_deployment,20,0.0,MW
reserve_up_deployment,21,0.0,MW
reserve_up_deployment,24,0.0,MW
reserve_up_deployment,25,0.0,MW
reserve_up_deployment,26,0.0,MW
reserve_up_deployment,27,0.0,MW
reserve_up_deployment,28,0.0,MW
reserve_up_deployment,29,0.0,MW
reserve_up_deployment,30,0.0,MW
reserve_up_deployment,31,0.0,MW
reserve_down_deployment,1,0.0010883560404317068,MW
reserve_down_deployment,2,0.0010883560404216846,MW
reserve_down_deployment,3,0.0010981249684366339,MW
reserve_down_deployment,4,0.0010981249677925215,MW
reserve_down_deployment,5,0.0010884577333068112,MW
reserve_down_deployment,6,0.0010884577333066746,MW
reserve_down_deployment,7,0.0010981105973649232,MW
reserve_down_deployment,8,0.0010981105972647847,MW
reserve_down_deployment,10,0.0005023453435144403,MW
reserve_down_deployment,11,0.0,MW
reserve_down_deployment,12,0.0009878103452258104,MW
reserve_down_deployment,13,0.0009878103452227018,MW
reserve_down_deployment,14,0.0009878103429256482,MW
reserve_down_deployment,20,0.0011040186630164115,MW
reserve_down_deployment,21,0.0011036381255702461,MW
reserve_down_deployment,24,0.0009833355253150286,MW
reserve_down_deployment,25,0.0009833355253150281,MW
reserve_down_deployment,26,0.0009833355253533857,MW
reserve_down_deployment,27,0.0009833355264450702,MW
reserve_down_deployment,28,0.000983335525872815,MW
reserve_down_deployment,29,0.000983335527052216,MW
reserve_down_deployment,30,0.0010904530116285823,MW
reserve_down_deployment,31,0.001090453011628293,MW
load_shedding,1,0.0,MW
load_shedding,2,0.0,MW
load_shedding,3,0.0,MW
load_shedding,4,0.0,MW
load_shedding,5,0.0,MW
load_shedding,6,0.0,MW
load_shedding,7,0.0,MW
load_shedding,8,0.0,MW
load_shedding,9,0.0,MW
load_shedding,10,0.0,MW
load_shedding,11,0.0,MW
load_shedding,12,0.0,MW
load_shedding,13,0.0,MW
load_shedding,14,0.0,MW
load_shedding,15,0.0,MW
load_shedding,16,0.0,MW
load_shedding,17,0.0,MW
load_shedding,18,0.0,MW
load_shedding,19,0.0,MW
load_shedding,20,0.0,MW
load_shedding,21,0.0,MW
load_shedding,22,0.0,MW
load_shedding,23,0.0,MW
load_shedding,24,0.0,MW
wind_spillage,W14,0.0010885581317701173,MW
wind_spillage,W3,0.0011012748074552068,MW
p_balance_slack,1,0.00148940899368107,MW
p_balance_slack,2,0.001464712041714206,MW
