constraint_type,component_id,value,lower,upper
p_balance_eq,1,5.450659205841759e-09,0.0,0.0
p_balance_eq,2,6.19949226395103e-09,0.0,0.0
p_balance_eq,3,-6.808817410625257e-09,0.0,0.0
p_balance_eq,4,-3.980863721772888e-09,0.0,0.0
p_balance_eq,5,-3.905044352224419e-09,0.0,0.0
p_balance_eq,6,-7.4859759413492e-09,0.0,0.0
p_balance_eq,7,8.329573070324072e-09,0.0,0.0
p_balance_eq,8,-7.90533961802187e-09,0.0,0.0
p_balance_eq,9,-7.711883725287164e-09,0.0,0.0
p_balance_eq,10,-8.617699186325383e-09,0.0,0.0
p_balance_eq,11,1.7956544475207923e-09,0.0,0.0
p_balance_eq,12,2.827754256443339e-09,0.0,0.0
p_balance_eq,13,1.481377462940185e-08,0.0,0.0
p_balance_eq,14,-5.054851465946025e-09,0.0,0.0
p_balance_eq,15,-5.134892258496778e-09,0.0,0.0
p_balance_eq,16,2.700407332163426e-09,0.0,0.0
p_balance_eq,17,7.508644958951355e-10,0.0,0.0
p_balance_eq,18,-1.1556769237306668e-08,0.0,0.0
p_balance_eq,19,-5.728791634377432e-09,0.0,0.0
p_balance_eq,20,-3.0043336010784636e-09,0.0,0.0
p_balance_eq,21,1.2638954683604032e-09,0.0,0.0
p_balance_eq,22,9.309704254007082e-09,0.0,0.0
p_balance_eq,23,2.2996724750175585e-08,0.0,0.0
p_balance_eq,24,4.5608361362737816e-10,0.0,0.0
q_balance_eq,1,-4.979895732852624e-08,0.0,0.0
q_balance_eq,2,-4.8618633428381817e-08,0.0,0.0
q_balance_eq,3,-1.4515462931805702e-08,0.0,0.0
q_balance_eq,4,-1.026187518320858e-08,0.0,0.0
q_balance_eq,5,-1.3570561168491376e-08,0.0,0.0
q_balance_eq,6,-1.3479375628081066e-08,0.0,0.0
q_balance_eq,7,-6.623689249655262e-09,0.0,0.0
q_balance_eq,8,-1.5611092509145902e-08,0.0,0.0
q_balance_eq,9,-2.6247342565345212e-08,0.0,0.0
q_balance_eq,10,-3.292598333990506e-08,0.0,0.0
q_balance_eq,11,-3.297861138087256e-08,0.0,0.0
q_balance_eq,12,-2.508074797864971e-08,0.0,0.0
q_balance_eq,13,-1.8130552272243756e-08,0.0,0.0
q_balance_eq,14,-2.3915645155237207e-08,0.0,0.0
q_balance_eq,15,-5.4729759089687806e-08,0.0,0.0
q_balance_eq,16,-7.366343453979287e-08,0.0,0.0
q_balance_eq,17,-5.1881539837245835e-08,0.0,0.0
q_balance_eq,18,-6.677061559441698e-08,0.0,0.0
q_balance_eq,19,-3.982132641613849e-08,0.0,0.0
q_balance_eq,20,-5.434111853367303e-08,0.0,0.0
q_balance_eq,21,-5.8785213030701356e-08,0.0,0.0
q_balance_eq,22,-3.5925516116509982e-09,0.0,0.0
q_balance_eq,23,-3.723203376667227e-08,0.0,0.0
q_balance_eq,24,-1.5801173291065762e-08,0.0,0.0
line_mva_ineq,1,-3.058764476141015,-1e+19,0.0
line_mva_ineq,2,-5.139730053856442,-1e+19,0.0
line_mva_ineq,3,-2.632971021874574,-1e+19,0.0
line_mva_ineq,4,-2.820430306005159,-1e+19,0.0
line_mva_ineq,5,-2.7804442236784968,-1e+19,0.0
line_mva_ineq,6,-2.4392964203614014,-1e+19,0.0
line_mva_ineq,7,-15.63132909931558,-1e+19,0.0
line_mva_ineq,8,-3.0166916575146914,-1e+19,0.0
line_mva_ineq,9,-3.0602638382998113,-1e+19,0.0
line_mva_ineq,10,-5.669424393436163,-1e+19,0.0
line_mva_ineq,11,-0.08825714221043485,-1e+19,0.0
line_mva_ineq,12,-3.062413472785825,-1e+19,0.0
line_mva_ineq,13,-3.055960961771039,-1e+19,0.0
line_mva_ineq,14,-15.27178791416496,-1e+19,0.0
line_mva_ineq,15,-14.153956437088473,-1e+19,0.0
line_mva_ineq,16,-7.961607515649254,-1e+19,0.0
line_mva_ineq,17,-13.681311987218267,-1e+19,0.0
line_mva_ineq,18,-18.549214847930877,-1e+19,0.0
line_mva_ineq,19,-4.891774610915652,-1e+19,0.0
line_mva_ineq,20,-22.268256350210972,-1e+19,0.0
line_mva_ineq,21,-23.25742798863543,-1e+19,0.0
line_mva_ineq,22,-24.663970748388554,-1e+19,0.0
line_mva_ineq,23,-4.051189288715917,-1e+19,0.0
line_mva_ineq,24,-22.461401326134865,-1e+19,0.0
line_mva_ineq,25,-24.941548980875496,-1e+19,0.0
line_mva_ineq,26,-24.941548980875496,-1e+19,0.0
line_mva_ineq,27,-24.612862836841863,-1e+19,0.0
line_mva_ineq,28,-24.59886999145152,-1e+19,0.0
line_mva_ineq,29,-20.839775104463467,-1e+19,0.0
line_mva_ineq,30,-22.21064893217556,-1e+19,0.0
line_mva_ineq,31,-23.676760043326055,-1e+19,0.0
line_mva_ineq,32,-24.461708689190775,-1e+19,0.0
line_mva_ineq,33,-24.461708689190775,-1e+19,0.0
line_mva_ineq,34,-21.466510212546012,-1e+19,0.0
line_mva_ineq,35,-21.466510212546012,-1e+19,0.0
line_mva_ineq,36,-18.665337240831377,-1e+19,0.0
line_mva_ineq,37,-18.665337240831377,-1e+19,0.0
line_mva_ineq,38,-21.57827185577554,-1e+19,0.0
