constraint_type,component_id,multiplier
p_balance_eq,1,-3.4049453520698654e-06
p_balance_eq,2,-3.404959706241286e-06
p_balance_eq,3,-3.4056871333591776e-06
p_balance_eq,4,-3.4056045775686183e-06
p_balance_eq,5,-3.4059112948723368e-06
p_balance_eq,6,-3.406035869126051e-06
p_balance_eq,7,7.832955002362566e-05
p_balance_eq,8,-3.4045532848592547e-06
p_balance_eq,9,-3.4054175620086592e-06
p_balance_eq,10,-3.405686446182278e-06
p_balance_eq,11,-3.4051667978336225e-06
p_balance_eq,12,-3.40508676680876e-06
p_balance_eq,13,-3.4050893672289643e-06
p_balance_eq,14,-3.405252949140206e-06
p_balance_eq,15,-3.405172806043359e-06
p_balance_eq,16,-3.4051477650016214e-06
p_balance_eq,17,-3.4050847518955337e-06
p_balance_eq,18,-3.405099254553768e-06
p_balance_eq,19,-3.4050553209310408e-06
p_balance_eq,20,-3.405113472538331e-06
p_balance_eq,21,-3.405177199855195e-06
p_balance_eq,22,-3.4047742633050465e-06
p_balance_eq,23,-3.4049528674174685e-06
p_balance_eq,24,-3.4052983360465573e-06
q_balance_eq,1,-4.811341706031669e-09
q_balance_eq,2,-4.832799547856387e-09
q_balance_eq,3,-4.737739259001628e-09
q_balance_eq,4,-5.096003503382308e-09
q_balance_eq,5,-5.2555509312491986e-09
q_balance_eq,6,-5.418376512182043e-09
q_balance_eq,7,2.4772190813199713e-09
q_balance_eq,8,-7.283522984736764e-09
q_balance_eq,9,-5.00350891783259e-09
q_balance_eq,10,-5.23816340632933e-09
q_balance_eq,11,-4.391002446089509e-09
q_balance_eq,12,-4.312524872627219e-09
q_balance_eq,13,-3.994566722265564e-09
q_balance_eq,14,-4.07233492069333e-09
q_balance_eq,15,-3.795414148573538e-09
q_balance_eq,16,-3.748021613309002e-09
q_balance_eq,17,-3.6906090803361227e-09
q_balance_eq,18,-3.7093161636230383e-09
q_balance_eq,19,-3.5431535569078134e-09
q_balance_eq,20,-3.4404103074134518e-09
q_balance_eq,21,-3.7431569474710206e-09
q_balance_eq,22,-3.602406658876851e-09
q_balance_eq,23,-3.387916250390717e-09
q_balance_eq,24,-4.125723858229735e-09
line_mva_ineq,1,-3.8330852767539254e-09
line_mva_ineq,2,-9.698511389246274e-09
line_mva_ineq,3,4.669169577333796e-08
line_mva_ineq,4,-2.565554134993949e-09
line_mva_ineq,5,-1.9149324668403522e-09
line_mva_ineq,6,-1.0675797101787545e-10
line_mva_ineq,7,-1.548753702466651e-08
line_mva_ineq,8,-3.6257365013647625e-09
line_mva_ineq,9,-3.816337985951352e-09
line_mva_ineq,10,-1.0505113574682086e-08
line_mva_ineq,11,0.002335201192593437
line_mva_ineq,12,-3.4491117541264153e-09
line_mva_ineq,13,-3.4434940054204175e-09
line_mva_ineq,14,-1.5397867925176062e-08
line_mva_ineq,15,-1.5186911575906658e-08
line_mva_ineq,16,-1.2686382878545845e-08
line_mva_ineq,17,-1.507184130287425e-08
line_mva_ineq,18,-1.548891500947486e-08
line_mva_ineq,19,-9.270521608939032e-09
line_mva_ineq,20,-1.6321717192456925e-08
line_mva_ineq,21,-1.6416269971304555e-08
line_mva_ineq,22,-1.653606754522195e-08
line_mva_ineq,23,-7.241774751805525e-09
line_mva_ineq,24,-6.741344959842509e-09
line_mva_ineq,25,-1.6559253539048748e-08
line_mva_ineq,26,-1.6559251732334244e-08
line_mva_ineq,27,-1.652032913411898e-08
line_mva_ineq,28,-1.6530877223279782e-08
line_mva_ineq,29,-7.530604703690512e-09
line_mva_ineq,30,-4.054069595269341e-09
line_mva_ineq,31,-1.6461061857211223e-08
line_mva_ineq,32,-1.6523036673176288e-08
line_mva_ineq,33,-1.6523096159446365e-08
line_mva_ineq,34,-1.624019607681353e-08
line_mva_ineq,35,-1.62402061945882e-08
line_mva_ineq,36,-3.863212991277563e-09
line_mva_ineq,37,-3.863921651128833e-09
line_mva_ineq,38,-1.6270598201971315e-08
