component_type,component_id,value,unit
bus_voltage,1,1.0036554521970875,p.u.
bus_voltage,2,1.0038236538314051,p.u.
bus_voltage,3,0.9791416119696676,p.u.
bus_voltage,4,0.9866057224810908,p.u.
bus_voltage,5,0.988313586407048,p.u.
bus_voltage,6,0.97556318846607,p.u.
bus_voltage,7,0.9940175999534608,p.u.
bus_voltage,8,0.976138960752114,p.u.
bus_voltage,9,0.9887370548001392,p.u.
bus_voltage,10,0.9852555454470021,p.u.
bus_voltage,11,1.0091536645762462,p.u.
bus_voltage,12,1.020930372995914,p.u.
bus_voltage,13,1.0503592218987183,p.u.
bus_voltage,14,1.003914009816515,p.u.
bus_voltage,15,1.0062214345872036,p.u.
bus_voltage,16,1.013478088580373,p.u.
bus_voltage,17,1.0041607847620435,p.u.
bus_voltage,18,0.9985110994836855,p.u.
bus_voltage,19,1.0279298331435123,p.u.
bus_voltage,20,1.0500185825224875,p.u.
bus_voltage,21,1.0019633295624062,p.u.
bus_voltage,22,1.017038472316395,p.u.
bus_voltage,23,1.0669124799775715,p.u.
bus_voltage,24,0.9950660986016574,p.u.
bus_angle,13,0.0,rad
bus_angle,1,-0.14446485189967337,rad
bus_angle,2,-0.14359936235138213,rad
bus_angle,3,-0.22398108572884295,rad
bus_angle,4,-0.2032403105221635,rad
bus_angle,5,-0.1972657682765812,rad
bus_angle,6,-0.241579643182699,rad
bus_angle,7,-0.07124415263277763,rad
bus_angle,8,-0.17791928524164433,rad
bus_angle,9,-0.18039548692882415,rad
bus_angle,10,-0.19421252990917315,rad
bus_angle,11,-0.11017993493144142,rad
bus_angle,12,-0.06958117787948151,rad
bus_angle,14,-0.13574425109514052,rad
bus_angle,15,-0.14090404936814555,rad
bus_angle,16,-0.11441852739062223,rad
bus_angle,17,-0.1264049336416385,rad
bus_angle,18,-0.14968262164097038,rad
bus_angle,19,-0.07094980375352598,rad
bus_angle,20,-0.004402538637881821,rad
bus_angle,21,-0.13100438351809252,rad
bus_angle,22,-0.00758401100836733,rad
bus_angle,23,0.041913063121571954,rad
bus_angle,24,-0.17211543078162878,rad
reactive_generation,1,6.0557477669755295,Mvar
reactive_generation,2,6.055747766974995,Mvar
reactive_generation,3,19.947353452230203,Mvar
reactive_generation,4,19.947352223714095,Mvar
reactive_generation,5,5.9935301640943885,Mvar
reactive_generation,6,5.993530164095848,Mvar
reactive_generation,7,19.941622130723683,Mvar
reactive_generation,8,19.941622706073733,Mvar
reactive_generation,9,23.58047270431249,Mvar
reactive_generation,10,18.673322366210737,Mvar
reactive_generation,11,18.673321934206747,Mvar
reactive_generation,12,68.5120030382797,Mvar
reactive_generation,13,68.51200303827927,Mvar
reactive_generation,14,68.5120046471795,Mvar
reactive_generation,20,58.997465733373744,Mvar
reactive_generation,21,66.08766843185265,Mvar
reactive_generation,24,8.88016988258664,Mvar
reactive_generation,25,8.895784329571862,Mvar
reactive_generation,26,8.893849211732407,Mvar
reactive_generation,27,8.882862970473493,Mvar
reactive_generation,28,8.878555196583754,Mvar
reactive_generation,29,8.891464566973639,Mvar
reactive_generation,30,61.47943391262343,Mvar
reactive_generation,31,61.488198784413385,Mvar
reactive_generation,32,134.38959127248617,Mvar
p_balance_slack,1,9.989465418067823e-06,MW
p_balance_slack,2,9.989684820351575e-06,MW
p_balance_slack,3,9.989493135105605e-06,MW
p_balance_slack,4,9.9895327820409e-06,MW
p_balance_slack,5,9.989493136376608e-06,MW
p_balance_slack,6,9.989522137106426e-06,MW
p_balance_slack,7,9.98758044507037e-06,MW
p_balance_slack,8,9.989710776911227e-06,MW
p_balance_slack,9,9.98972299284e-06,MW
p_balance_slack,10,9.989505068550248e-06,MW
p_balance_slack,11,9.989601655657499e-06,MW
p_balance_slack,12,9.989555570447881e-06,MW
