case_id,scenario_id,hour,coefficient_family,component_type,component_id,bus_id,coefficient,source_constraint,notes
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,1,1,-0.0003245417836161,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,2,1,-0.0003245417836161,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,3,1,-0.0003245417836161,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,4,1,-0.0003245417836161,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,5,2,-0.0003245328308756,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,6,2,-0.0003245328308756,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,7,2,-0.0003245328308756,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,8,2,-0.0003245328308756,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,9,7,0.0001201521715696,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,10,7,0.0001201521715696,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,11,7,0.0001201521715696,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,12,13,-0.0003234260504971,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,13,13,-0.0003234260504971,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,14,13,-0.0003234260504971,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,15,15,-0.0003245263244402,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,16,15,-0.0003245263244402,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,17,15,-0.0003245263244402,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,18,15,-0.0003245263244402,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,19,15,-0.0003245263244402,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,20,15,-0.0003245263244402,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,21,16,-0.0003242967650678,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,22,18,-0.0003245965536443,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,23,21,-0.0003244321006677,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,24,22,-0.0003233818227675,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,25,22,-0.0003233818227675,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,26,22,-0.0003233818227675,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,27,22,-0.0003233818227675,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,28,22,-0.0003233818227675,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,29,22,-0.0003233818227675,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,30,23,-0.0003229916600832,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,31,23,-0.0003229916600832,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,32,23,-0.0003229916600832,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_wind_active_power,wind_farm,W3,3,-0.000325340617954,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,fixed_wind_active_power,wind_farm,W14,14,-0.0003244820077044,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,26,17,reactive_balance_sensitivity,bus,1,1,-4.5206921584531155e-06,q_balance_eq,Diagnostic coefficient; no reactive master variable yet.
case_b_ac_uc_benders,26,17,reactive_balance_sensitivity,bus,2,2,-4.527808418535496e-06,q_balance_eq,Diagnostic coefficient; no reactive master variable yet.
case_b_ac_uc_benders,26,17,reactive_balance_sensitivity,bus,3,3,-4.724554481406814e-06,q_balance_eq,Diagnostic coefficient; no reactive master variable yet.
