constraint_type,component_id,value,lower,upper,variable_name,master_value
p_balance_eq,1,4.064279142591441e-14,0.0,0.0,,
p_balance_eq,2,-5.137581017485319e-14,0.0,0.0,,
p_balance_eq,3,-1.4828593302535723e-14,0.0,0.0,,
p_balance_eq,4,2.1656971429682894e-14,0.0,0.0,,
p_balance_eq,5,2.3910853257493123e-14,0.0,0.0,,
p_balance_eq,6,8.14722282558222e-15,0.0,0.0,,
p_balance_eq,7,1.176917805968897e-14,0.0,0.0,,
p_balance_eq,8,-2.4117651269367577e-14,0.0,0.0,,
p_balance_eq,9,4.860990285965837e-14,0.0,0.0,,
p_balance_eq,10,-5.909562102228384e-14,0.0,0.0,,
p_balance_eq,11,-6.379926528212159e-14,0.0,0.0,,
p_balance_eq,12,-2.6305963429697904e-15,0.0,0.0,,
p_balance_eq,13,-2.2054694056000256e-14,0.0,0.0,,
p_balance_eq,14,-3.009112073691688e-14,0.0,0.0,,
p_balance_eq,15,2.0074441986635792e-14,0.0,0.0,,
p_balance_eq,16,5.885949110647892e-14,0.0,0.0,,
p_balance_eq,17,-1.5131832198795594e-13,0.0,0.0,,
p_balance_eq,18,2.5960431416051973e-13,0.0,0.0,,
p_balance_eq,19,7.545580998268237e-14,0.0,0.0,,
p_balance_eq,20,-5.409793350997149e-14,0.0,0.0,,
p_balance_eq,21,-7.046795906398649e-14,0.0,0.0,,
p_balance_eq,22,-4.915748848423459e-14,0.0,0.0,,
p_balance_eq,23,5.8928082140481675e-18,0.0,0.0,,
p_balance_eq,24,-3.964906338362398e-14,0.0,0.0,,
q_balance_eq,1,2.881228215843997e-12,0.0,0.0,,
q_balance_eq,2,3.213780085694999e-13,0.0,0.0,,
q_balance_eq,3,3.064515736441939e-14,0.0,0.0,,
q_balance_eq,4,4.761324577743633e-14,0.0,0.0,,
q_balance_eq,5,1.2467511662547347e-13,0.0,0.0,,
q_balance_eq,6,3.835205239936042e-13,0.0,0.0,,
q_balance_eq,7,1.697827906640536e-14,0.0,0.0,,
q_balance_eq,8,-1.0796371222975953e-13,0.0,0.0,,
q_balance_eq,9,-2.29919286429505e-13,0.0,0.0,,
q_balance_eq,10,-5.957739981015493e-13,0.0,0.0,,
q_balance_eq,11,-2.405974699595044e-13,0.0,0.0,,
q_balance_eq,12,8.447729286727873e-13,0.0,0.0,,
q_balance_eq,13,1.0710595482895345e-12,0.0,0.0,,
q_balance_eq,14,-1.4603103560504324e-13,0.0,0.0,,
q_balance_eq,15,1.8276107988034434e-12,0.0,0.0,,
q_balance_eq,16,-3.4351651662033428e-12,0.0,0.0,,
q_balance_eq,17,4.905440643802623e-13,0.0,0.0,,
q_balance_eq,18,2.8105904817312278e-12,0.0,0.0,,
q_balance_eq,19,-2.033942533439994e-12,0.0,0.0,,
q_balance_eq,20,-4.27306838238819e-12,0.0,0.0,,
q_balance_eq,21,3.8930184064893706e-13,0.0,0.0,,
q_balance_eq,22,-4.1476157411861466e-13,0.0,0.0,,
q_balance_eq,23,-7.541967013614164e-13,0.0,0.0,,
q_balance_eq,24,-2.9735800410532476e-13,0.0,0.0,,
line_mva_ineq,1,-3.0586609624838927,-1e+19,0.0,,
line_mva_ineq,2,-5.11767896062661,-1e+19,0.0,,
line_mva_ineq,3,-2.5814301639305715,-1e+19,0.0,,
line_mva_ineq,4,-2.7881090733790335,-1e+19,0.0,,
line_mva_ineq,5,-2.7487228471550003,-1e+19,0.0,,
line_mva_ineq,6,-2.445292532451974,-1e+19,0.0,,
line_mva_ineq,7,-15.634289350619811,-1e+19,0.0,,
line_mva_ineq,8,-3.0121344162530197,-1e+19,0.0,,
line_mva_ineq,9,-3.04274808612141,-1e+19,0.0,,
line_mva_ineq,10,-5.685532905652387,-1e+19,0.0,,
line_mva_ineq,11,-0.03734633558182212,-1e+19,0.0,,
line_mva_ineq,12,-3.062144029537306,-1e+19,0.0,,
