cut_id,case_id,scenario_id,hour,variable_name,component_type,component_id,coefficient,xbar,source_constraint,notes
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g1,generator,1,5.000001378911446e-05,20.000000000000018,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g2,generator,2,5.0000009348221865e-05,20.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g3,generator,3,1.3157904041936614e-05,76.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g4,generator,4,1.3157904041936616e-05,76.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g5,generator,5,4.9999997075461136e-05,19.999999999999957,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g6,generator,6,5.000000773360012e-05,20.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g7,generator,7,1.3157902427314868e-05,76.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g8,generator,8,1.315790242731487e-05,76.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g9,generator,9,-1.6765280610633232e-10,80.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g10,generator,10,9.999832360072572e-06,100.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g11,generator,11,9.999832360072572e-06,100.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g12,generator,12,5.0757468968190455e-06,196.99999999999991,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g13,generator,13,5.075747116523559e-06,197.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g14,generator,14,5.07574711652356e-06,197.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g15,generator,15,-0.0009999998360541,1.9895196601282805e-13,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g16,generator,16,-0.0009999998360541,0.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g17,generator,17,-0.0009999998360541,0.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g18,generator,18,-0.0009999998360541,0.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g19,generator,19,-0.0009999998360541,0.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g20,generator,20,6.451775919912303e-06,155.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g21,generator,21,6.451696737494919e-06,154.99999999999983,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g22,generator,22,-0.0009999997439278,2.273736754432321e-13,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g23,generator,23,-0.0009999998435021,-1.0302869668521453e-13,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g24,generator,24,1.9999932247873867e-05,50.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g25,generator,25,1.9999932247873684e-05,50.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g26,generator,26,1.999993224787368e-05,50.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g27,generator,27,1.999993224787368e-05,50.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
