scenario_id,hour,line_id,from_bus,to_bus,flow_mw,rate_mw,loading_percent
1,1,1,1,2,-2.470230675440899,175.0,-1.411560385966228
1,1,2,1,3,35.91907074999367,229.99999999999997,15.616987282605946
1,1,3,1,5,77.55115992544735,175.0,44.31494852882706
1,1,4,2,4,57.75322817007966,175.0,33.00184466861695
1,1,5,2,6,59.026541154479,175.0,33.72945208827372
1,1,6,3,9,-0.5836149445455737,160.0,-0.36475934034098356
1,1,7,3,24,-49.12911575837281,400.0,-12.282278939593203
1,1,8,4,9,2.2532281700798067,175.0,1.287558954331318
1,1,9,5,10,24.30115992544756,175.0,13.886377100255748
1,1,10,6,10,-42.97345884552095,250.0,-17.189383538208382
1,1,11,7,8,5.087479077073506,175.0,2.9071309011848605
1,1,12,8,9,-65.16153869017185,175.0,-37.23516496581249
1,1,13,8,10,-58.000982232754644,175.0,-33.14341841871694
1,1,14,9,11,-86.85393420293549,400.0,-21.713483550733873
1,1,15,9,12,-107.88799126170197,400.0,-26.971997815425492
1,1,16,10,11,-100.94461204703062,300.0,-33.648204015676875
1,1,17,10,12,-121.9786691057971,400.0,-30.494667276449274
1,1,18,11,13,-203.93406608437652,500.0,-40.78681321687531
1,1,19,11,14,16.135519834410392,229.99999999999997,7.015443406265389
1,1,20,12,13,-166.85933105852553,500.0,-33.371866211705104
1,1,21,12,23,-63.007329308973404,500.0,-12.601465861794681
1,1,22,13,23,21.456602857098083,500.0,4.291320571419616
1,1,23,14,16,-35.0701577897529,210.0,-16.70007513797757
1,1,24,15,16,-79.4523553169488,500.0,-15.890471063389759
1,1,25,15,21,-26.21338022071173,500.0,-5.242676044142346
1,1,26,15,21,-26.21338022071173,500.0,-5.242676044142346
1,1,27,15,24,49.12911575837284,500.0,9.825823151674568
1,1,28,16,17,2.176760441423549,500.0,0.4353520882847098
1,1,29,16,19,-36.699273548125,500.0,-7.3398547096249995
1,1,30,17,18,119.48645414023657,500.0,23.897290828047318
1,1,31,17,22,-117.309693698813,500.0,-23.4619387397626
1,1,32,18,21,-65.13177292988175,500.0,-13.02635458597635
1,1,33,18,21,-65.13177292988175,500.0,-13.02635458597635
1,1,34,19,20,-86.2246367740624,500.0,-17.24492735481248
1,1,35,19,20,-86.2246367740624,500.0,-17.24492735481248
1,1,36,20,23,-134.22463677406236,500.0,-26.844927354812473
1,1,37,20,23,-134.22463677406236,500.0,-26.844927354812473
1,1,38,21,22,-182.69030630118704,500.0,-36.53806126023741
1,2,1,1,2,-3.322422335835416,175.0,-1.898527049048809
1,2,2,1,3,39.705840550897236,229.99999999999997,17.263408935172713
1,2,3,1,5,80.0165817849384,175.0,45.7237610199648
1,2,4,2,4,60.40475785067749,175.0,34.51700448610142
1,2,5,2,6,60.37281981348704,175.0,34.49875417913545
1,2,6,3,9,0.9541261678865484,160.0,0.5963288549290927
1,2,7,3,24,-40.189149211700276,400.0,-10.047287302925069
1,2,8,4,9,8.604757850677608,175.0,4.91700448610149
1,2,9,5,10,30.31658178493855,175.0,17.323761019964884
1,2,10,6,10,-34.827180186512905,250.0,-13.930872074605162
1,2,11,7,8,-57.49999999999995,175.0,-32.85714285714283
1,2,12,8,9,-91.44355176895633,175.0,-52.25345815368933
1,2,13,8,10,-85.7564482310437,175.0,-49.003684703453544
1,2,14,9,11,-92.11363603217083,400.0,-23.028409008042708
1,2,15,9,12,-112.27103171822118,400.0,-28.067757929555295
1,2,16,10,11,-103.30482547328376,300.0,-34.43494182442792
1,2,17,10,12,-123.4622211593341,400.0,-30.865555289833527
1,2,18,11,13,-208.21010141613428,500.0,-41.642020283226856
1,2,19,11,14,12.791639910679704,229.99999999999997,5.561582569860741
1,2,20,12,13,-172.68057414597413,500.0,-34.53611482919483
1,2,21,12,23,-63.05267873158115,500.0,-12.61053574631623
1,2,22,13,23,24.609324437891676,500.0,4.9218648875783355
1,2,23,14,16,-12.976939263955979,210.0,-6.179494887598085
1,2,24,15,16,-122.96063440885614,500.0,-24.592126881771225
1,2,25,15,21,-35.60953601674986,500.0,-7.121907203349972
1,2,26,15,21,-35.60953601674986,500.0,-7.121907203349972
1,2,27,15,24,40.189149211700304,500.0,8.037829842340061
1,2,28,16,17,4.319072033499876,500.0,0.8638144066999751
1,2,29,16,19,-55.256645706310856,500.0,-11.05132914126217
1,2,30,17,18,120.26079505611781,500.0,24.052159011223566
1,2,31,17,22,-115.94172302261805,500.0,-23.188344604523607
1,2,32,18,21,-56.419602471941126,500.0,-11.283920494388225
1,2,33,18,21,-56.419602471941126,500.0,-11.283920494388225
1,2,34,19,20,-90.97832285315536,500.0,-18.195664570631074
1,2,35,19,20,-90.97832285315536,500.0,-18.195664570631074
1,2,36,20,23,-135.77832285315532,500.0,-27.155664570631064
1,2,37,20,23,-135.77832285315532,500.0,-27.155664570631064
1,2,38,21,22,-184.05827697738204,500.0,-36.81165539547641
1,3,1,1,2,-4.78220620950834,175.0,-2.7326892625761943
1,3,2,1,3,44.75560742767798,229.99999999999997,19.45895975116434
1,3,3,1,5,81.8265987818305,175.0,46.758056446760285
1,3,4,2,4,62.86377820311551,175.0,35.92215897320886
1,3,5,2,6,61.3040155873762,175.0,35.03086604992926
