constraint_type,component_id,value,lower,upper,variable_name,master_value
p_balance_eq,1,-8.834607341751208e-14,0.0,0.0,,
p_balance_eq,2,1.253695438817857e-13,0.0,0.0,,
p_balance_eq,3,-3.318590553454213e-14,0.0,0.0,,
p_balance_eq,4,-2.7193214348320786e-14,0.0,0.0,,
p_balance_eq,5,-3.804789667463844e-14,0.0,0.0,,
p_balance_eq,6,-3.029856334086419e-15,0.0,0.0,,
p_balance_eq,7,4.9470476475607476e-14,0.0,0.0,,
p_balance_eq,8,-3.0913289879037475e-14,0.0,0.0,,
p_balance_eq,9,-5.189431631131723e-14,0.0,0.0,,
p_balance_eq,10,2.849842266333799e-14,0.0,0.0,,
p_balance_eq,11,-1.3054909699117007e-14,0.0,0.0,,
p_balance_eq,12,1.1733499930807788e-13,0.0,0.0,,
p_balance_eq,13,1.710857729764854e-14,0.0,0.0,,
p_balance_eq,14,3.064004467354976e-14,0.0,0.0,,
p_balance_eq,15,1.2183336852128034e-13,0.0,0.0,,
p_balance_eq,16,-7.94324628045507e-14,0.0,0.0,,
p_balance_eq,17,8.178293518746813e-14,0.0,0.0,,
p_balance_eq,18,-1.5867253054546206e-14,0.0,0.0,,
p_balance_eq,19,-2.2106910249066695e-14,0.0,0.0,,
p_balance_eq,20,-3.642049057901286e-14,0.0,0.0,,
p_balance_eq,21,-3.420899512691618e-14,0.0,0.0,,
p_balance_eq,22,-6.024018530368953e-14,0.0,0.0,,
p_balance_eq,23,5.303596679938436e-14,0.0,0.0,,
p_balance_eq,24,8.359896705011777e-15,0.0,0.0,,
q_balance_eq,1,-2.155245128246635e-12,0.0,0.0,,
q_balance_eq,2,-1.3905051087881141e-13,0.0,0.0,,
q_balance_eq,3,-1.4808702681945235e-13,0.0,0.0,,
q_balance_eq,4,-2.302026003156367e-13,0.0,0.0,,
q_balance_eq,5,1.6907879617060213e-14,0.0,0.0,,
q_balance_eq,6,-3.958564263873126e-13,0.0,0.0,,
q_balance_eq,7,1.7186424368885716e-13,0.0,0.0,,
q_balance_eq,8,1.4478632661828368e-13,0.0,0.0,,
q_balance_eq,9,-2.1436636052542127e-13,0.0,0.0,,
q_balance_eq,10,-4.95304108328893e-13,0.0,0.0,,
q_balance_eq,11,-3.148414697150986e-13,0.0,0.0,,
q_balance_eq,12,1.343064394304671e-13,0.0,0.0,,
q_balance_eq,13,-1.2672136348815407e-12,0.0,0.0,,
q_balance_eq,14,-6.387795091597655e-13,0.0,0.0,,
q_balance_eq,15,-5.28726641834613e-13,0.0,0.0,,
q_balance_eq,16,2.493540094085291e-12,0.0,0.0,,
q_balance_eq,17,-5.08636610206583e-14,0.0,0.0,,
q_balance_eq,18,-4.159557948595202e-13,0.0,0.0,,
q_balance_eq,19,-5.605839863557821e-13,0.0,0.0,,
q_balance_eq,20,-4.962377856315746e-12,0.0,0.0,,
q_balance_eq,21,1.3016677723548206e-12,0.0,0.0,,
q_balance_eq,22,-4.384289867189351e-13,0.0,0.0,,
