hour,committed_units,startups,expected_thermal_mw,expected_wind_used_mw,expected_wind_curtailed_mw,total_load_shed_mw,max_abs_line_loading_percent
1,23,0,1983.6788031064075,153.8211968935904,0.0,0.0,57.96443974205195
2,23,0,1836.7633671107528,158.23663288924556,0.0,0.0,53.44013742680229
3,23,0,1693.7494990978857,158.75050090211246,0.0,0.0,51.67316697341525
4,23,0,1548.838783470395,161.16121652960345,0.0,0.0,52.10371758675051
5,23,0,1600.9956802427714,166.00431975722694,0.0,0.0,51.523535911828525
6,23,0,1620.013377968637,175.48662203136175,0.0,0.0,51.97337190879304
7,23,0,1664.172824552888,188.32717544711036,0.0,0.0,52.09470525326689
8,23,0,1728.8738324232625,209.12616757673538,0.0,0.0,52.17323472259949
9,23,0,1775.6966061607964,219.30339383920213,0.0,0.0,54.47096399376529
10,23,0,1819.5037614282548,232.49623857174362,0.0,0.0,56.31071042896878
11,23,0,1897.2576451327761,240.24235486722174,0.0,0.0,58.99555245206212
12,23,0,1990.5224180062248,232.47758199377344,0.0,0.0,61.77927941632543
13,24,1,2050.9218309494804,229.07816905051675,0.0,0.0,63.72219073092998
14,24,0,2212.3822517250796,210.1177482749174,0.0,0.0,53.571428571428584
15,24,0,2238.940936341027,183.55906365897016,0.0,0.0,53.57142857142848
16,25,1,2403.6046860813804,161.39531391861777,0.0,0.0,99.99999999999906
17,25,0,2479.9374521091786,142.06254789081922,0.0,0.0,99.99999999999999
18,26,1,2582.7333348515754,124.76666514842253,0.0,0.0,100.0
19,26,0,2674.3232387019443,118.67676129805356,0.0,0.0,100.0
20,26,0,2731.7227448883605,118.27725511163698,0.0,0.0,100.0
21,26,0,2642.256290739993,122.24370926000368,0.0,0.0,100.0
22,26,0,2520.714580070542,129.78541992945512,0.0,0.0,100.0
23,25,0,2450.5284237341357,142.971576265863,0.0,0.0,100.0
24,25,0,2472.943631106201,149.05636889379696,0.0,0.0,100.0
