constraint_type,component_id,multiplier,benders_coefficient,variable_name,master_value,notes
p_balance_eq,1,-5.028647930950384e-08,,,,
p_balance_eq,2,-5.026245601701659e-08,,,,
p_balance_eq,3,-5.074642264628771e-08,,,,
p_balance_eq,4,-5.042874960546216e-08,,,,
p_balance_eq,5,-5.043805301236282e-08,,,,
p_balance_eq,6,-5.058228284808468e-08,,,,
p_balance_eq,7,1.1707216294654542e-06,,,,
p_balance_eq,8,-5.02459891135686e-08,,,,
p_balance_eq,9,-5.02995688212463e-08,,,,
p_balance_eq,10,-5.030136867243436e-08,,,,
p_balance_eq,11,-4.987685869808192e-08,,,,
p_balance_eq,12,-4.9656163948422315e-08,,,,
p_balance_eq,13,-4.9075215941502936e-08,,,,
p_balance_eq,14,-4.996799236023867e-08,,,,
p_balance_eq,15,-5.071060530754014e-08,,,,
p_balance_eq,16,-5.046210152964143e-08,,,,
p_balance_eq,17,-5.0650602818372555e-08,,,,
p_balance_eq,18,-5.0903226695412324e-08,,,,
p_balance_eq,19,-5.0041901221623197e-08,,,,
p_balance_eq,20,-4.934413250660421e-08,,,,
p_balance_eq,21,-5.0628523833016815e-08,,,,
p_balance_eq,22,-4.994520842238298e-08,,,,
p_balance_eq,23,-4.904352348408287e-08,,,,
p_balance_eq,24,-5.0787526424542666e-08,,,,
q_balance_eq,1,-1.362656920751062e-10,,,,
q_balance_eq,2,-1.322796778093762e-10,,,,
q_balance_eq,3,-3.137605089019275e-10,,,,
q_balance_eq,4,-2.0510224725381314e-10,,,,
q_balance_eq,5,-1.979882515875248e-10,,,,
q_balance_eq,6,-2.370961589378403e-10,,,,
q_balance_eq,7,-3.281788728190308e-10,,,,
q_balance_eq,8,-3.524759501161141e-10,,,,
q_balance_eq,9,-2.0581233748035036e-10,,,,
q_balance_eq,10,-1.9341856116389413e-10,,,,
q_balance_eq,11,-1.0648174267360424e-11,,,,
q_balance_eq,12,-2.4206420051195214e-11,,,,
q_balance_eq,13,2.2544171857251248e-10,,,,
q_balance_eq,14,8.027792545473312e-11,,,,
q_balance_eq,15,-2.867705390134394e-10,,,,
q_balance_eq,16,-2.354705404586944e-10,,,,
q_balance_eq,17,-3.5514864592510993e-10,,,,
q_balance_eq,18,-4.022421358003823e-10,,,,
q_balance_eq,19,-9.575792548877399e-11,,,,
q_balance_eq,20,1.114502713693249e-10,,,,
q_balance_eq,21,-3.3896076844967256e-10,,,,
q_balance_eq,22,-2.9204589166332676e-10,,,,
q_balance_eq,23,2.12312295203542e-10,,,,
q_balance_eq,24,-3.2584761381588965e-10,,,,
line_mva_ineq,1,1.9697409622556043e-08,,,,
line_mva_ineq,2,1.9463121329421925e-08,,,,
line_mva_ineq,3,1.9515536979607806e-08,,,,
line_mva_ineq,4,1.9587252924763053e-08,,,,
line_mva_ineq,5,1.955210880358769e-08,,,,
line_mva_ineq,6,1.9540596961115553e-08,,,,
line_mva_ineq,7,1.958034452746963e-08,,,,
line_mva_ineq,8,1.9681040477994227e-08,,,,
line_mva_ineq,9,1.9664477211357693e-08,,,,
line_mva_ineq,10,1.9089828953782427e-08,,,,
line_mva_ineq,11,3.488191532972366e-05,,,,
line_mva_ineq,12,1.9706878692233193e-08,,,,
line_mva_ineq,13,1.9710941330192297e-08,,,,
line_mva_ineq,14,1.965621450030699e-08,,,,
line_mva_ineq,15,1.9827758380166243e-08,,,,
line_mva_ineq,16,1.9788973003231713e-08,,,,
