cut_id,case_id,scenario_id,hour,variable_name,component_type,component_id,coefficient,xbar,source_constraint,notes
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g1,generator,1,4.995018623139893e-05,20.000000000000256,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g2,generator,2,4.995012228248736e-05,20.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g3,generator,3,1.3108016976222491e-05,76.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g4,generator,4,1.3108016976222147e-05,76.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g5,generator,5,4.995012250653493e-05,20.000000000000018,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g6,generator,6,4.9950118065645417e-05,20.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g7,generator,7,1.3108012759356164e-05,76.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g8,generator,8,1.310801275935609e-05,76.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g9,generator,9,1.1668671393032896e-06,99.99999999999996,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g10,generator,10,1.1166867124227429e-05,100.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g11,generator,11,1.1166867124218892e-05,100.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g12,generator,12,5.0248442826241795e-06,197.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g13,generator,13,5.024844282624175e-06,197.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g14,generator,14,5.024844282624184e-06,197.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g20,generator,20,6.401358647833416e-06,155.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g21,generator,21,6.401115163892258e-06,154.99999999999983,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g23,generator,23,-5.052730333185803e-08,235.82103103818284,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g24,generator,24,1.994886607612131e-05,50.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g25,generator,25,1.994886607612052e-05,50.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g26,generator,26,1.9948866076120146e-05,50.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g27,generator,27,1.99488660761206e-05,50.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g28,generator,28,1.994886607612053e-05,50.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g29,generator,29,1.9948866076120196e-05,50.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g30,generator,30,6.3999920772526145e-06,154.99999999999957,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g31,generator,31,6.399993851759996e-06,155.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,p_s26_t20_g32,generator,32,2.805523879948211e-06,350.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,wind_s26_t20_W14,wind_farm,W14,2.1454595344884917e-05,46.501586675766944,fixed_master_wind_eq,Direct coefficient from explicit master-coupling equality Wind_ac - Wind_master_bar = 0.
BC-002-0001,case_b_ac_uc_benders,26,20,wind_s26_t20_W3,wind_farm,W3,4.404714072593388e-05,22.677382286047727,fixed_master_wind_eq,Direct coefficient from explicit master-coupling equality Wind_ac - Wind_master_bar = 0.
BC-002-0002,case_b_ac_uc_benders,5,20,p_s5_t20_g1,generator,1,4.9949787755850655e-05,20.000000000000327,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
