case_id,scenario_id,hour,coefficient_family,component_type,component_id,bus_id,coefficient,source_constraint,notes
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,1,1,5.000001860189411e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,2,1,5.000001416100152e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,3,1,1.3157908854716265e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,4,1,1.3157908854716265e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,5,2,5.000001111317646e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,6,2,5.000001111317646e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,7,2,1.315790580689121e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,8,2,1.3157905560858414e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,9,7,3.4141390909797447e-11,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,10,7,1.0000034154269484e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,11,7,1.0000034154269493e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,12,13,5.075594522258998e-06,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,13,13,5.075594595493837e-06,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,14,13,5.075594595493836e-06,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,20,15,6.4518785153441615e-06,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,21,16,6.451861387242245e-06,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,24,22,2.0000011655489357e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,25,22,2.0000011655489353e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,26,22,2.0000011655489353e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,27,22,2.0000011655489353e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,28,22,2.000001165548936e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,29,22,2.0000011655489364e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,30,23,6.451322350910247e-06,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,31,23,6.451322469210806e-06,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,32,23,-2.8692753168083506e-10,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_wind_active_power,wind_farm,W14,14,1.2959416988376744e-05,fixed_master_wind_eq,Direct coefficient from explicit master-coupling equality Wind_ac - Wind_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_wind_active_power,wind_farm,W3,3,4.3969598931543154e-05,fixed_master_wind_eq,Direct coefficient from explicit master-coupling equality Wind_ac - Wind_master_bar = 0.
case_b_ac_uc_benders,21,17,fixed_dispatch_active_power,generator,1,1,4.999986951471939e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,21,17,fixed_dispatch_active_power,generator,2,1,4.9999865073826795e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,21,17,fixed_dispatch_active_power,generator,3,1,1.3157759767541544e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,21,17,fixed_dispatch_active_power,generator,4,1,1.3157759767541544e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,21,17,fixed_dispatch_active_power,generator,5,2,4.999991192110396e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,21,17,fixed_dispatch_active_power,generator,6,2,4.999986218306188e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,21,17,fixed_dispatch_active_power,generator,7,2,1.315775687677668e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,21,17,fixed_dispatch_active_power,generator,8,2,1.315775687677668e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,21,17,fixed_dispatch_active_power,generator,9,7,-1.0753094918996984e-10,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,21,17,fixed_dispatch_active_power,generator,10,7,9.999892481929384e-06,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,21,17,fixed_dispatch_active_power,generator,11,7,9.999892481929443e-06,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,21,17,fixed_dispatch_active_power,generator,12,13,5.076089471352879e-06,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
