component_type,component_id,value,unit
bus_voltage,1,0.988876347101007,p.u.
bus_voltage,2,0.9886134119060783,p.u.
bus_voltage,3,0.9731996562692314,p.u.
bus_voltage,4,0.9667905824086745,p.u.
bus_voltage,5,0.9674595126379147,p.u.
bus_voltage,6,0.9504065771726289,p.u.
bus_voltage,7,0.9025885861208864,p.u.
bus_voltage,8,0.9104059798448619,p.u.
bus_voltage,9,0.9669004569115593,p.u.
bus_voltage,10,0.9593608698859979,p.u.
bus_voltage,11,0.9982596465023272,p.u.
bus_voltage,12,1.0032300542191277,p.u.
bus_voltage,13,1.037997844873964,p.u.
bus_voltage,14,1.0082458282969018,p.u.
bus_voltage,15,1.0329258892276025,p.u.
bus_voltage,16,1.0330818065162248,p.u.
bus_voltage,17,1.036234579197206,p.u.
bus_voltage,18,1.036959999633077,p.u.
bus_voltage,19,1.0358119328531985,p.u.
bus_voltage,20,1.047476157868796,p.u.
bus_voltage,21,1.0465668271536093,p.u.
bus_voltage,22,1.052152399394316,p.u.
bus_voltage,23,1.0585320677583365,p.u.
bus_voltage,24,1.008034660302731,p.u.
bus_angle,13,0.0,rad
bus_angle,1,-0.17299090196823394,rad
bus_angle,2,-0.17255203724794776,rad
bus_angle,3,-0.23253087843592335,rad
bus_angle,4,-0.22927191989055565,rad
bus_angle,5,-0.2259858513405804,rad
bus_angle,6,-0.2731549419745762,rad
bus_angle,7,-0.07010985632224384,rad
bus_angle,8,-0.2012473697854416,rad
bus_angle,9,-0.19461434554574272,rad
bus_angle,10,-0.21549413187537836,rad
bus_angle,11,-0.10719806967038117,rad
bus_angle,12,-0.07382951612886249,rad
bus_angle,14,-0.11097565283642226,rad
bus_angle,15,-0.09992556693241081,rad
bus_angle,16,-0.08020424158260432,rad
bus_angle,17,-0.07870318974444762,rad
bus_angle,18,-0.09437564928450733,rad
bus_angle,19,-0.04936972200535424,rad
bus_angle,20,0.009757759094875277,rad
bus_angle,21,-0.06859132344279362,rad
bus_angle,22,0.04051656034168434,rad
bus_angle,23,0.05378038517337153,rad
bus_angle,24,-0.1487293932214272,rad
reactive_generation,1,5.911149868800942,Mvar
reactive_generation,2,5.911149868802322,Mvar
reactive_generation,3,23.42470825690252,Mvar
reactive_generation,4,23.424708140245247,Mvar
reactive_generation,5,5.832316807727204,Mvar
reactive_generation,6,5.832316807727975,Mvar
reactive_generation,7,23.427066165196347,Mvar
reactive_generation,8,23.42706556022865,Mvar
reactive_generation,9,0.199179280537876,Mvar
reactive_generation,10,12.400072438807642,Mvar
reactive_generation,11,12.400074565578546,Mvar
reactive_generation,12,70.7208240651556,Mvar
reactive_generation,13,70.6928150563905,Mvar
reactive_generation,14,70.71006965152448,Mvar
reactive_generation,20,60.8517733884962,Mvar
reactive_generation,21,66.77732080565202,Mvar
reactive_generation,23,141.89565054096494,Mvar
reactive_generation,24,6.870752088980298,Mvar
reactive_generation,25,6.9210802982743544,Mvar
reactive_generation,26,7.012901019157344,Mvar
reactive_generation,27,6.989801180775675,Mvar
reactive_generation,28,6.897169238650492,Mvar
reactive_generation,29,6.8883584642232,Mvar
reactive_generation,30,43.20256292211204,Mvar
reactive_generation,31,43.03337474804286,Mvar
reactive_generation,32,128.57522051930079,Mvar
fixed_master_dispatch_variable,1,19.999999999999886,MW
fixed_master_dispatch_variable,2,20.0,MW
fixed_master_dispatch_variable,3,76.0,MW
fixed_master_dispatch_variable,4,76.0,MW
fixed_master_dispatch_variable,5,20.00000000000007,MW
fixed_master_dispatch_variable,6,20.0,MW
fixed_master_dispatch_variable,7,76.0,MW
fixed_master_dispatch_variable,8,76.0,MW
fixed_master_dispatch_variable,9,99.99999999999996,MW
fixed_master_dispatch_variable,10,100.0,MW
fixed_master_dispatch_variable,11,100.0,MW
fixed_master_dispatch_variable,12,196.99999999999991,MW
fixed_master_dispatch_variable,13,197.0,MW
fixed_master_dispatch_variable,14,197.0,MW
fixed_master_dispatch_variable,20,155.0,MW
fixed_master_dispatch_variable,21,155.00000000000006,MW
fixed_master_dispatch_variable,23,177.43929274987417,MW
fixed_master_dispatch_variable,24,50.0,MW
fixed_master_dispatch_variable,25,50.0,MW
fixed_master_dispatch_variable,26,50.0,MW
fixed_master_dispatch_variable,27,50.0,MW
fixed_master_dispatch_variable,28,50.0,MW
fixed_master_dispatch_variable,29,50.0,MW
fixed_master_dispatch_variable,30,154.99999999999994,MW
fixed_master_dispatch_variable,31,155.0,MW
fixed_master_dispatch_variable,32,350.0,MW
fixed_master_wind_variable,W14,102.52244137967892,MW
fixed_master_wind_variable,W3,25.03826587044396,MW
p_balance_slack,1,9.993308156395835e-06,MW
p_balance_slack,2,9.99330700572247e-06,MW
p_balance_slack,3,9.993394748252285e-06,MW
p_balance_slack,4,9.993395422731189e-06,MW
p_balance_slack,5,9.993391881019594e-06,MW
p_balance_slack,6,9.99343566979933e-06,MW
p_balance_slack,7,1.1553416943207091e-05,MW
p_balance_slack,8,9.993351941846386e-06,MW
p_balance_slack,9,9.99334681858827e-06,MW
p_balance_slack,10,9.993374532479999e-06,MW
p_balance_slack,11,9.993182244273055e-06,MW
p_balance_slack,12,9.993104556110427e-06,MW
p_balance_slack,13,9.99291992952975e-06,MW
p_balance_slack,14,9.993186535196644e-06,MW
p_balance_slack,15,9.993156989715685e-06,MW
p_balance_slack,16,9.993113175081647e-06,MW
p_balance_slack,17,9.99310921313867e-06,MW
p_balance_slack,18,9.993144312832594e-06,MW
p_balance_slack,19,9.9930387389954e-06,MW
p_balance_slack,20,9.992879003987295e-06,MW
p_balance_slack,21,9.993085532281902e-06,MW
p_balance_slack,22,9.99279262103626e-06,MW
p_balance_slack,23,9.992742290012052e-06,MW
p_balance_slack,24,9.99325744162576e-06,MW
q_balance_slack,1,9.988635670896607e-06,Mvar
q_balance_slack,2,9.988987413092198e-06,Mvar
q_balance_slack,3,9.98888925332948e-06,Mvar
q_balance_slack,4,9.988871203917484e-06,Mvar
q_balance_slack,5,9.988870334842881e-06,Mvar
q_balance_slack,6,9.988751201744845e-06,Mvar
q_balance_slack,7,9.988349341154393e-06,Mvar
q_balance_slack,8,9.988420666134908e-06,Mvar
q_balance_slack,9,9.988808097514211e-06,Mvar
q_balance_slack,10,9.988764346574887e-06,Mvar
q_balance_slack,11,9.988944629926076e-06,Mvar
q_balance_slack,12,9.988943112247452e-06,Mvar
q_balance_slack,13,9.98908802443156e-06,Mvar
q_balance_slack,14,9.989015082341379e-06,Mvar
q_balance_slack,15,9.989127643743477e-06,Mvar
q_balance_slack,16,9.989120634903009e-06,Mvar
q_balance_slack,17,9.989139923554208e-06,Mvar
q_balance_slack,18,9.989144314742569e-06,Mvar
q_balance_slack,19,9.989112278612821e-06,Mvar
q_balance_slack,20,9.989137469010525e-06,Mvar
q_balance_slack,21,9.989175582508567e-06,Mvar
q_balance_slack,22,9.989189737187667e-06,Mvar
q_balance_slack,23,9.989168990661253e-06,Mvar
q_balance_slack,24,9.989042730014731e-06,Mvar
line_mva_slack_sq_pu,1,6.586932862285603e-08,p.u.^2
line_mva_slack_sq_pu,2,6.586911541020519e-08,p.u.^2
line_mva_slack_sq_pu,3,6.58692839986187e-08,p.u.^2
line_mva_slack_sq_pu,4,6.586912577971791e-08,p.u.^2
line_mva_slack_sq_pu,5,6.588243403955247e-08,p.u.^2
line_mva_slack_sq_pu,6,6.587296491923513e-08,p.u.^2
line_mva_slack_sq_pu,7,6.586932837634737e-08,p.u.^2
line_mva_slack_sq_pu,8,6.586929618227029e-08,p.u.^2
line_mva_slack_sq_pu,9,6.586932685296456e-08,p.u.^2
line_mva_slack_sq_pu,10,6.58691226763264e-08,p.u.^2
line_mva_slack_sq_pu,11,7.566018671645492e-08,p.u.^2
line_mva_slack_sq_pu,12,6.586932849150118e-08,p.u.^2
line_mva_slack_sq_pu,13,6.586932814320853e-08,p.u.^2
line_mva_slack_sq_pu,14,6.58693299287703e-08,p.u.^2
line_mva_slack_sq_pu,15,6.586932792640201e-08,p.u.^2
