constraint_type,component_id,multiplier,benders_coefficient,variable_name,master_value,notes
p_balance_eq,1,-4.9877523258917016e-08,,,,
p_balance_eq,2,-4.988174010638843e-08,,,,
p_balance_eq,3,-4.965888060784569e-08,,,,
p_balance_eq,4,-4.97157815091747e-08,,,,
p_balance_eq,5,-4.96783355912636e-08,,,,
p_balance_eq,6,-4.947116542090136e-08,,,,
p_balance_eq,7,1.1668671989716465e-06,,,,
p_balance_eq,8,-4.98491492771896e-08,,,,
p_balance_eq,9,-4.9876343279254384e-08,,,,
p_balance_eq,10,-4.9825916128460354e-08,,,,
p_balance_eq,11,-5.0244427240801074e-08,,,,
p_balance_eq,12,-5.069413931545232e-08,,,,
p_balance_eq,13,-5.129780006605621e-08,,,,
p_balance_eq,14,-5.004704605905189e-08,,,,
p_balance_eq,15,-5.025415957148143e-08,,,,
p_balance_eq,16,-5.0496933709450094e-08,,,,
p_balance_eq,17,-5.049304145897165e-08,,,,
p_balance_eq,18,-5.012102147785376e-08,,,,
p_balance_eq,19,-5.087003399620646e-08,,,,
p_balance_eq,20,-5.140899880962904e-08,,,,
p_balance_eq,21,-5.0527321835961505e-08,,,,
p_balance_eq,22,-5.113377372532947e-08,,,,
p_balance_eq,23,-5.161895562595602e-08,,,,
p_balance_eq,24,-4.990113981590874e-08,,,,
q_balance_eq,1,1.7467949321213308e-10,,,,
q_balance_eq,2,1.8847466376627947e-10,,,,
q_balance_eq,3,2.3620377467403406e-10,,,,
q_balance_eq,4,2.663360386591816e-10,,,,
q_balance_eq,5,2.7656103457081277e-10,,,,
q_balance_eq,6,3.4558045118841664e-10,,,,
q_balance_eq,7,4.780184191338674e-10,,,,
q_balance_eq,8,4.5596530951886825e-10,,,,
q_balance_eq,9,2.671416070180632e-10,,,,
q_balance_eq,10,3.0036996522796557e-10,,,,
q_balance_eq,11,1.5463852141988687e-10,,,,
q_balance_eq,12,7.322471925085895e-11,,,,
q_balance_eq,13,-1.615736322772213e-10,,,,
q_balance_eq,14,1.1584758206755052e-10,,,,
q_balance_eq,15,-1.0986011794391365e-10,,,,
q_balance_eq,16,-1.1507402146476467e-10,,,,
q_balance_eq,17,-9.029287232303826e-11,,,,
q_balance_eq,18,-5.785319355521692e-11,,,,
q_balance_eq,19,-1.943537578619541e-10,,,,
q_balance_eq,20,-2.981223235049475e-10,,,,
q_balance_eq,21,-1.7256242354455125e-10,,,,
q_balance_eq,22,-1.4945084487456657e-10,,,,
q_balance_eq,23,-3.368450897615523e-10,,,,
q_balance_eq,24,9.907181118453354e-11,,,,
line_mva_ineq,1,-2.2810807915115563e-08,,,,
line_mva_ineq,2,-1.6421519669806472e-08,,,,
line_mva_ineq,3,-2.116065706514495e-08,,,,
line_mva_ineq,4,-1.8381967864391695e-08,,,,
line_mva_ineq,5,-2.107684798790883e-08,,,,
line_mva_ineq,6,-1.975773584631103e-09,,,,
line_mva_ineq,7,-1.8952753834896486e-08,,,,
line_mva_ineq,8,-1.9907798096163902e-08,,,,
line_mva_ineq,9,-2.2559404174367466e-08,,,,
line_mva_ineq,10,-2.1102299821580066e-08,,,,
line_mva_ineq,11,3.476668139820066e-05,,,,
line_mva_ineq,12,-2.1117358864985342e-08,,,,
line_mva_ineq,13,-1.922092698007966e-08,,,,
line_mva_ineq,14,-1.6613938236987036e-08,,,,
line_mva_ineq,15,-2.380933640175258e-08,,,,
line_mva_ineq,16,-2.0756114167951513e-08,,,,
line_mva_ineq,17,-2.1031559906376288e-08,,,,
line_mva_ineq,18,-2.094896385654829e-08,,,,
line_mva_ineq,19,-1.7137054692507113e-08,,,,
line_mva_ineq,20,-2.1236865439656402e-08,,,,
line_mva_ineq,21,-2.0959280466520567e-08,,,,
line_mva_ineq,22,-2.108555092357391e-08,,,,
line_mva_ineq,23,-2.2725981966371993e-08,,,,
line_mva_ineq,24,-1.9504125882352e-08,,,,
line_mva_ineq,25,-9.137576977552966e-09,,,,
line_mva_ineq,26,-9.137577847571e-09,,,,
line_mva_ineq,27,-2.121869756693879e-08,,,,
line_mva_ineq,28,-2.1243758236035515e-08,,,,
line_mva_ineq,29,-1.8298976364332147e-08,,,,
line_mva_ineq,30,-1.4640066405307224e-08,,,,
line_mva_ineq,31,-2.1094115190374163e-08,,,,
line_mva_ineq,32,-2.1102884514308036e-08,,,,
line_mva_ineq,33,-2.1102867937073656e-08,,,,
line_mva_ineq,34,-2.109492507858097e-08,,,,
line_mva_ineq,35,-2.109492075551454e-08,,,,
line_mva_ineq,36,-4.175855498728131e-09,,,,
line_mva_ineq,37,-8.798633909641527e-09,,,,
line_mva_ineq,38,-2.1085758441094068e-08,,,,
fixed_master_dispatch_eq,1,-4.995018623139893e-05,4.995018623139893e-05,p_s26_t20_g1,20.000000000000256,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,2,-4.995012228248736e-05,4.995012228248736e-05,p_s26_t20_g2,20.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,3,-1.3108016976222491e-05,1.3108016976222491e-05,p_s26_t20_g3,76.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,4,-1.3108016976222149e-05,1.3108016976222149e-05,p_s26_t20_g4,76.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,5,-4.995012250653493e-05,4.995012250653493e-05,p_s26_t20_g5,20.000000000000018,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,6,-4.9950118065645417e-05,4.9950118065645417e-05,p_s26_t20_g6,20.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,7,-1.3108012759356164e-05,1.3108012759356164e-05,p_s26_t20_g7,76.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,8,-1.310801275935609e-05,1.310801275935609e-05,p_s26_t20_g8,76.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,9,-1.1668671393032896e-06,1.1668671393032896e-06,p_s26_t20_g9,99.99999999999996,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,10,-1.1166867124227429e-05,1.1166867124227429e-05,p_s26_t20_g10,100.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,11,-1.1166867124218892e-05,1.1166867124218892e-05,p_s26_t20_g11,100.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,12,-5.0248442826241795e-06,5.0248442826241795e-06,p_s26_t20_g12,197.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,13,-5.024844282624175e-06,5.024844282624175e-06,p_s26_t20_g13,197.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,14,-5.024844282624184e-06,5.024844282624184e-06,p_s26_t20_g14,197.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,20,-6.401358647833416e-06,6.401358647833416e-06,p_s26_t20_g20,155.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,21,-6.401115163892258e-06,6.401115163892258e-06,p_s26_t20_g21,154.99999999999983,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,23,5.052730333185803e-08,-5.052730333185803e-08,p_s26_t20_g23,235.82103103818284,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,24,-1.9948866076121314e-05,1.9948866076121314e-05,p_s26_t20_g24,50.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,25,-1.994886607612052e-05,1.994886607612052e-05,p_s26_t20_g25,50.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,26,-1.9948866076120142e-05,1.9948866076120142e-05,p_s26_t20_g26,50.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,27,-1.99488660761206e-05,1.99488660761206e-05,p_s26_t20_g27,50.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,28,-1.994886607612053e-05,1.994886607612053e-05,p_s26_t20_g28,50.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,29,-1.9948866076120196e-05,1.9948866076120196e-05,p_s26_t20_g29,50.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,30,-6.3999920772526145e-06,6.3999920772526145e-06,p_s26_t20_g30,154.99999999999957,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,31,-6.399993851759996e-06,6.399993851759996e-06,p_s26_t20_g31,155.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,32,-2.805523879948211e-06,2.805523879948211e-06,p_s26_t20_g32,350.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_wind_eq,W14,-2.1454595344884917e-05,2.1454595344884917e-05,wind_s26_t20_W14,46.501586675766944,Coefficient is -multiplier for constraint wind_ac - wind_master_bar = 0.
fixed_master_wind_eq,W3,-4.4047140725933877e-05,4.4047140725933877e-05,wind_s26_t20_W3,22.677382286047727,Coefficient is -multiplier for constraint wind_ac - wind_master_bar = 0.
