constraint_type,component_id,value,lower,upper,variable_name,master_value
p_balance_eq,1,-1.9448609406567995e-13,0.0,0.0,,
p_balance_eq,2,-4.516903886510326e-13,0.0,0.0,,
p_balance_eq,3,5.027062953736304e-13,0.0,0.0,,
p_balance_eq,4,2.4223175480969465e-13,0.0,0.0,,
p_balance_eq,5,2.3503155124155947e-13,0.0,0.0,,
p_balance_eq,6,5.701803682046686e-13,0.0,0.0,,
p_balance_eq,7,-3.5460105480471325e-13,0.0,0.0,,
p_balance_eq,8,3.799935736689274e-13,0.0,0.0,,
p_balance_eq,9,3.297395654590883e-13,0.0,0.0,,
p_balance_eq,10,2.8288411431978125e-13,0.0,0.0,,
p_balance_eq,11,-4.2183831077622627e-13,0.0,0.0,,
p_balance_eq,12,-5.743490408545806e-13,0.0,0.0,,
p_balance_eq,13,-2.89384000364489e-13,0.0,0.0,,
p_balance_eq,14,2.516987828690741e-13,0.0,0.0,,
p_balance_eq,15,1.0020245606021973e-13,0.0,0.0,,
p_balance_eq,16,-1.589774141255956e-13,0.0,0.0,,
p_balance_eq,17,-1.3211362444298918e-13,0.0,0.0,,
p_balance_eq,18,3.119986831485121e-13,0.0,0.0,,
p_balance_eq,19,-3.075983376701636e-14,0.0,0.0,,
p_balance_eq,20,-5.528891799209544e-13,0.0,0.0,,
p_balance_eq,21,-2.2586109821613395e-13,0.0,0.0,,
p_balance_eq,22,-3.2691609293776513e-14,0.0,0.0,,
p_balance_eq,23,4.104627336805333e-13,0.0,0.0,,
p_balance_eq,24,-1.326796567510907e-13,0.0,0.0,,
q_balance_eq,1,9.87275686618644e-11,0.0,0.0,,
q_balance_eq,2,9.470776358217381e-11,0.0,0.0,,
q_balance_eq,3,3.036021378943825e-11,0.0,0.0,,
q_balance_eq,4,2.133876938131352e-11,0.0,0.0,,
q_balance_eq,5,2.8006319135915898e-11,0.0,0.0,,
q_balance_eq,6,2.829199260511692e-11,0.0,0.0,,
q_balance_eq,7,1.66766777745178e-11,0.0,0.0,,
q_balance_eq,8,3.1720795191857404e-11,0.0,0.0,,
q_balance_eq,9,5.62601452555104e-11,0.0,0.0,,
q_balance_eq,10,7.070689684318958e-11,0.0,0.0,,
q_balance_eq,11,7.39219105951028e-11,0.0,0.0,,
q_balance_eq,12,5.463789185781461e-11,0.0,0.0,,
q_balance_eq,13,5.04187297169101e-11,0.0,0.0,,
q_balance_eq,14,5.374965927120454e-11,0.0,0.0,,
q_balance_eq,15,1.2071174818977626e-10,0.0,0.0,,
q_balance_eq,16,1.6500286547572232e-10,0.0,0.0,,
q_balance_eq,17,1.1657322655768897e-10,0.0,0.0,,
q_balance_eq,18,1.4416285164769841e-10,0.0,0.0,,
q_balance_eq,19,9.127624545100311e-11,0.0,0.0,,
q_balance_eq,20,1.175738072278128e-10,0.0,0.0,,
q_balance_eq,21,1.3090323430814166e-10,0.0,0.0,,
q_balance_eq,22,1.9510501908359256e-11,0.0,0.0,,
q_balance_eq,23,9.486926301318293e-11,0.0,0.0,,
q_balance_eq,24,3.416419055599448e-11,0.0,0.0,,
line_mva_ineq,1,-3.0616309799219747,-1e+19,0.0,,
line_mva_ineq,2,-5.213316660352091,-1e+19,0.0,,
line_mva_ineq,3,-2.611745578267982,-1e+19,0.0,,
line_mva_ineq,4,-2.837555163651858,-1e+19,0.0,,
line_mva_ineq,5,-2.76033648602108,-1e+19,0.0,,
line_mva_ineq,6,-2.483150458906686,-1e+19,0.0,,
line_mva_ineq,7,-14.870190334707587,-1e+19,0.0,,
line_mva_ineq,8,-2.965740805170303,-1e+19,0.0,,
line_mva_ineq,9,-3.039863967587352,-1e+19,0.0,,
line_mva_ineq,10,-5.493312754137206,-1e+19,0.0,,
line_mva_ineq,11,-2.787274788926663e-07,-1e+19,0.0,,
line_mva_ineq,12,-2.9648183479055468,-1e+19,0.0,,
line_mva_ineq,13,-2.982868255123268,-1e+19,0.0,,
line_mva_ineq,14,-14.960861460996515,-1e+19,0.0,,
line_mva_ineq,15,-13.941803128821219,-1e+19,0.0,,
line_mva_ineq,16,-7.408129294059755,-1e+19,0.0,,
line_mva_ineq,17,-13.201031622163919,-1e+19,0.0,,
line_mva_ineq,18,-18.950196653556183,-1e+19,0.0,,
line_mva_ineq,19,-5.205150770967234,-1e+19,0.0,,
line_mva_ineq,20,-22.075066403170307,-1e+19,0.0,,
line_mva_ineq,21,-22.6669540118054,-1e+19,0.0,,
line_mva_ineq,22,-24.377831678634042,-1e+19,0.0,,
line_mva_ineq,23,-2.7645180555391855,-1e+19,0.0,,
line_mva_ineq,24,-23.924512430489774,-1e+19,0.0,,
line_mva_ineq,25,-24.309448229620585,-1e+19,0.0,,
line_mva_ineq,26,-24.309448229619534,-1e+19,0.0,,
line_mva_ineq,27,-23.73341896543408,-1e+19,0.0,,
line_mva_ineq,28,-24.943578719679394,-1e+19,0.0,,
line_mva_ineq,29,-23.024723252404236,-1e+19,0.0,,
line_mva_ineq,30,-23.949149913234297,-1e+19,0.0,,
line_mva_ineq,31,-23.421761602669843,-1e+19,0.0,,
line_mva_ineq,32,-23.54953669798892,-1e+19,0.0,,
line_mva_ineq,33,-23.54953669799788,-1e+19,0.0,,
line_mva_ineq,34,-22.340313891715976,-1e+19,0.0,,
line_mva_ineq,35,-22.340313891718647,-1e+19,0.0,,
line_mva_ineq,36,-19.68098971783084,-1e+19,0.0,,
line_mva_ineq,37,-19.68098971783081,-1e+19,0.0,,
line_mva_ineq,38,-21.954203586953902,-1e+19,0.0,,
fixed_master_dispatch_eq,1,0.0,0.0,0.0,p_s5_t20_g1,20.000000000000327
fixed_master_dispatch_eq,2,0.0,0.0,0.0,p_s5_t20_g2,20.0
fixed_master_dispatch_eq,3,0.0,0.0,0.0,p_s5_t20_g3,76.0
fixed_master_dispatch_eq,4,0.0,0.0,0.0,p_s5_t20_g4,76.0
fixed_master_dispatch_eq,5,0.0,0.0,0.0,p_s5_t20_g5,19.999999999999957
fixed_master_dispatch_eq,6,0.0,0.0,0.0,p_s5_t20_g6,20.0
fixed_master_dispatch_eq,7,0.0,0.0,0.0,p_s5_t20_g7,76.0
fixed_master_dispatch_eq,8,0.0,0.0,0.0,p_s5_t20_g8,76.0
fixed_master_dispatch_eq,9,0.0,0.0,0.0,p_s5_t20_g9,99.99999999999991
fixed_master_dispatch_eq,10,0.0,0.0,0.0,p_s5_t20_g10,100.0
fixed_master_dispatch_eq,11,0.0,0.0,0.0,p_s5_t20_g11,100.0
fixed_master_dispatch_eq,12,0.0,0.0,0.0,p_s5_t20_g12,196.99999999999991
fixed_master_dispatch_eq,13,0.0,0.0,0.0,p_s5_t20_g13,197.0
fixed_master_dispatch_eq,14,0.0,0.0,0.0,p_s5_t20_g14,197.0
fixed_master_dispatch_eq,20,0.0,0.0,0.0,p_s5_t20_g20,155.0
fixed_master_dispatch_eq,21,0.0,0.0,0.0,p_s5_t20_g21,154.99999999999596
fixed_master_dispatch_eq,23,0.0,0.0,0.0,p_s5_t20_g23,215.21799736410117
fixed_master_dispatch_eq,24,0.0,0.0,0.0,p_s5_t20_g24,50.0
fixed_master_dispatch_eq,25,0.0,0.0,0.0,p_s5_t20_g25,50.0
fixed_master_dispatch_eq,26,0.0,0.0,0.0,p_s5_t20_g26,50.0
fixed_master_dispatch_eq,27,0.0,0.0,0.0,p_s5_t20_g27,50.0
fixed_master_dispatch_eq,28,0.0,0.0,0.0,p_s5_t20_g28,50.0
fixed_master_dispatch_eq,29,0.0,0.0,0.0,p_s5_t20_g29,50.0
fixed_master_dispatch_eq,30,0.0,0.0,0.0,p_s5_t20_g30,155.0000000000001
fixed_master_dispatch_eq,31,0.0,0.0,0.0,p_s5_t20_g31,155.0
fixed_master_dispatch_eq,32,0.0,0.0,0.0,p_s5_t20_g32,350.0
fixed_master_wind_eq,W14,0.0,0.0,0.0,wind_s5_t20_W14,63.49039154074286
fixed_master_wind_eq,W3,0.0,0.0,0.0,wind_s5_t20_W3,26.291611095154508
