scenario_id,hour,bus_id,theta_rad
1,1,1,-0.09477649061244871
1,1,2,-0.09443312854856242
1,1,3,-0.17063756803643534
1,1,4,-0.16760646864005335
1,1,5,-0.16030722074945172
1,1,6,-0.2077640875651621
1,1,7,-0.2744010544765767
1,1,8,-0.27752476662989983
1,1,9,-0.1699430662524261
1,1,10,-0.18176514496362192
1,1,11,-0.09707261545616323
1,1,12,-0.07942504158385816
1,1,13,0.0
1,1,14,-0.10381726274694678
1,1,15,-0.10392022883656504
1,1,16,-0.0901749713667329
1,1,17,-0.0907387523210616
1,1,18,-0.10794480171725566
1,1,19,-0.08169743917711603
1,1,20,-0.04755248301458731
1,1,21,-0.0910756725284163
1,1,22,0.03278835514378851
1,1,23,-0.01855996147138984
1,1,24,-0.12941823991516055
1,2,1,-0.08336723600261846
1,2,2,-0.08314104763079179
1,2,3,-0.15978384951141958
1,2,4,-0.16035437704118277
1,2,5,-0.1525263842075336
1,2,6,-0.2012803587669057
1,2,7,-0.3569561139566838
1,2,8,-0.32165111395668383
1,2,9,-0.16983447996034268
1,2,10,-0.18091054795302497
1,2,11,-0.09244983911876996
1,2,12,-0.08204805258892185
1,2,13,0.0
1,2,14,-0.09100861242916036
1,2,15,-0.09024791733933374
1,2,16,-0.07964339785209758
1,2,17,-0.07702927520380037
1,2,18,-0.09255463960377466
1,2,19,-0.08070111155960086
1,2,20,-0.056521123308889414
1,2,21,-0.07633023606069597
1,2,22,0.047128025904049985
1,2,23,-0.03365523880850137
1,2,24,-0.11682313736680985
1,3,1,-0.058633792478612175
1,3,2,-0.058372296635002666
1,3,3,-0.14042193075158801
1,3,4,-0.13918524549965852
1,3,5,-0.13042146105790875
1,3,6,-0.1798810776449361
1,3,7,-0.32559641277406454
1,3,8,-0.29412891277406455
1,3,9,-0.15544842472037534
1,3,10,-0.1646870008277537
1,3,11,-0.08918788993997796
1,3,12,-0.07955076654854858
1,3,13,0.0
1,3,14,-0.09688196902178071
1,3,15,-0.0855658522606103
1,3,16,-0.07990894156385045
1,3,17,-0.07348466674564383
1,3,18,-0.08702578821483725
1,3,19,-0.08879615438699778
1,3,20,-0.07311906537826696
1,3,21,-0.07117311898053551
1,3,22,0.05165355381857287
1,3,23,-0.05558232591895924
1,3,24,-0.10653073056459958
1,4,1,-0.04346735018311041
1,4,2,-0.042764581144021166
1,4,3,-0.1434490974716115
1,4,4,-0.12600470910187841
1,4,5,-0.11522141234979531
1,4,6,-0.16381195313448765
1,4,7,-0.2998127215766817
1,4,8,-0.2721827215766817
1,4,9,-0.14809135874062987
1,4,10,-0.15258648441273365
1,4,11,-0.08779566373537859
1,4,12,-0.07837421012726305
1,4,13,0.0
1,4,14,-0.10257391368026071
1,4,15,-0.1131749912217803
1,4,16,-0.10819335546706661
1,4,17,-0.09945387595546422
1,4,18,-0.11172851518441905
1,4,19,-0.1103632418432911
1,4,20,-0.09072034445148357
1,4,21,-0.09689306643545828
1,4,22,0.025835975243014286
1,4,23,-0.07171163678322491
1,4,24,-0.12474513933935202
1,5,1,-0.05862512194966925
1,5,2,-0.05783682277719475
1,5,3,-0.15960571896485554
1,5,4,-0.1393493019503693
1,5,5,-0.128674299009656
1,5,6,-0.17659603422061357
1,5,7,-0.31664132074826495
1,5,8,-0.28747632074826496
1,5,9,-0.15848716492004739
1,5,10,-0.16300395657648253
1,5,11,-0.09611960535012933
1,5,12,-0.07896906001329934
1,5,13,0.0
1,5,14,-0.1161322846306567
1,5,15,-0.13949968465423207
1,5,16,-0.12476640566036595
1,5,17,-0.1202707249290776
1,5,18,-0.13464487373695513
1,5,19,-0.11145851001702885
1,5,20,-0.07783218232273993
1,5,21,-0.12083505561626165
1,5,22,0.003118044444923111
1,5,23,-0.05091966903494599
1,5,24,-0.1471838023325926
1,6,1,-0.05976743510137955
1,6,2,-0.05912255615487598
1,6,3,-0.1553669518792439
1,6,4,-0.14030891926676567
1,6,5,-0.13018508267040646
1,6,6,-0.1784946171990718
1,6,7,-0.320449408712482
1,6,8,-0.290516908712482
1,6,9,-0.15841248640727845
1,6,10,-0.1642728510176856
1,6,11,-0.09481450794409259
1,6,12,-0.07917248930412747
1,6,13,0.0
1,6,14,-0.11178571061002977
1,6,15,-0.12531520071254035
1,6,16,-0.11534298860586127
1,6,17,-0.10959712945767303
1,6,18,-0.12340201637825231
1,6,19,-0.10626159628273417
1,6,20,-0.07589960572005382
1,6,21,-0.10864902287974548
1,6,22,0.01471168407586697
1,6,23,-0.050629399958591816
1,6,24,-0.1368003692364867
1,7,1,-0.06967077552559808
1,7,2,-0.0690461645697043
1,7,3,-0.16292759770678455
1,7,4,-0.14881042683718326
1,7,5,-0.1390773108940137
1,7,6,-0.18712842472261634
1,7,7,-0.33306366283909355
1,7,8,-0.3015961628390935
1,7,9,-0.16421528877197078
1,7,10,-0.17085463690621625
1,7,11,-0.09643919433281793
1,7,12,-0.08011275656967318
1,7,13,0.0
1,7,14,-0.11028584198907795
1,7,15,-0.14068570107053216
1,7,16,-0.12367280550744086
1,7,17,-0.12122214359532482
1,7,18,-0.13667109339175448
1,7,19,-0.1076264751201452
1,7,20,-0.07057777764532037
1,7,21,-0.12253414477118253
1,7,22,0.0017118036963111455
1,7,23,-0.04138379720450684
1,7,24,-0.14918610192046958
1,8,1,-0.06649780283429199
1,8,2,-0.06650686369121873
1,8,3,-0.137186815535246
1,8,4,-0.1458802348199447
1,8,5,-0.13834362153082486
1,8,6,-0.18834715347425518
1,8,7,-0.3398877204984258
1,8,8,-0.30611772049842584
1,8,9,-0.15866302454408754
1,8,10,-0.17078913645276408
1,8,11,-0.08752329993289523
1,8,12,-0.08051241689200203
1,8,13,0.0
1,8,14,-0.08745526837757538
1,8,15,-0.0850275132403372
1,8,16,-0.07758999903779083
1,8,17,-0.07303613160940645
1,8,18,-0.08756821886753742
1,8,19,-0.08595924421107626
1,8,20,-0.06876304293103523
1,8,21,-0.0713130256725927
1,8,22,0.051744128674513196
1,8,23,-0.04998297677828558
1,8,24,-0.10496173849148423
1,9,1,-0.07793793488684594
1,9,2,-0.07793478451410524
1,9,3,-0.14731008171139068
1,9,4,-0.1557922539021228
1,9,5,-0.14855965837145976
1,9,6,-0.1981787845764625
1,9,7,-0.35371946766201817
1,9,8,-0.3184144676620182
1,9,9,-0.16579956531125806
1,9,10,-0.17847217001277826
1,9,11,-0.09103299828009287
1,9,12,-0.08136569439775915
1,9,13,0.0
1,9,14,-0.09016086942636367
1,9,15,-0.08847599605957725
1,9,16,-0.07897653775011268
1,9,17,-0.07597573922916337
1,9,18,-0.09131545112580153
1,9,19,-0.08196208240264706
1,9,20,-0.05943452067624798
1,9,21,-0.07492408925506985
1,9,22,0.048396061708283485
1,9,23,-0.037469959734575765
1,9,24,-0.11096118785139697
1,10,1,-0.09227179128049381
1,10,2,-0.09218061122407241
1,10,3,-0.16272173401512718
1,10,4,-0.1683032130562652
1,10,5,-0.1611722388169949
1,10,6,-0.21011286383558575
1,10,7,-0.3696995787375296
1,10,8,-0.33285957873752964
1,10,9,-0.1753558294571997
1,10,10,-0.18803220801785953
1,10,11,-0.09738232671041143
1,10,12,-0.08218916152656341
1,10,13,0.0
1,10,14,-0.09888851971601881
1,10,15,-0.10509727016303262
1,10,16,-0.09435000295517701
1,10,17,-0.09261739640584564
1,10,18,-0.1086279565863805
1,10,19,-0.08373865438073387
1,10,20,-0.04883985274549692
1,10,21,-0.09197742230429204
1,10,22,0.03150397432144261
1,10,23,-0.019850862762640413
1,10,24,-0.12712016908736037
1,11,1,-0.10144444728917336
1,11,2,-0.10152195945904413
1,11,3,-0.16401256777257567
1,11,4,-0.1759107961055027
1,11,5,-0.16973506700857002
1,11,6,-0.21882448091235823
1,11,7,-0.3805725062621015
1,11,8,-0.3430191170461261
1,11,9,-0.17924223975378817
1,11,10,-0.1940769941828036
1,11,11,-0.09518613055522045
1,11,12,-0.08338489110179305
1,11,13,0.0
1,11,14,-0.0876275450760669
1,11,15,-0.09387116086961342
1,11,16,-0.07977233784624983
1,11,17,-0.08045983617632346
1,11,18,-0.09772528529755257
1,11,19,-0.07414890726545398
1,11,20,-0.04245032391048613
1,11,21,-0.08090957461143569
1,11,22,0.04299864182935352
1,11,23,-0.01479218753504914
1,11,24,-0.1206777810335585
1,12,1,-0.09781907452314126
1,12,2,-0.09771577959290778
1,12,3,-0.16354401357463252
1,12,4,-0.16936148722680425
1,12,5,-0.16320801895032344
1,12,6,-0.2110905338358225
1,12,7,-0.25817175574915513
1,12,8,-0.26982676924228494
1,12,9,-0.16814562529811505
1,12,10,-0.18263699129257432
1,12,11,-0.09300948747125404
1,12,12,-0.07934687717285238
1,12,13,0.0
1,12,14,-0.09259863677787253
1,12,15,-0.10381224381027658
1,12,16,-0.08872923901834764
1,12,17,-0.09100846598594123
1,12,18,-0.10913108044034978
1,12,19,-0.082045914479345
1,12,20,-0.048363710588771355
1,12,21,-0.0917925183003908
1,12,22,0.032246642571473354
1,12,23,-0.019208879375731194
1,12,24,-0.12664051222537284
1,13,1,-0.11199293915965128
1,13,2,-0.11187929070610893
1,13,3,-0.1763423382495736
1,13,4,-0.18201446170720312
1,13,5,-0.17616997031435147
1,13,6,-0.22367528539816844
1,13,7,-0.2842312501007288
1,13,8,-0.29030950494227914
1,13,9,-0.17802751263706487
1,13,10,-0.19307866914228097
1,13,11,-0.09905679999841326
1,13,12,-0.08044153406645173
1,13,13,0.0
1,13,14,-0.09985664640655022
1,13,15,-0.10823690487140766
1,13,16,-0.09091653142185024
1,13,17,-0.09481021072305923
1,13,18,-0.11376992149377986
1,13,19,-0.07633267509979985
1,13,20,-0.03516182682375668
1,13,21,-0.0963216947216154
1,13,22,0.02800238739913625
1,13,23,-0.0016458004913695173
1,13,24,-0.1342654173333135
1,14,1,-0.11805957652736668
1,14,2,-0.11773958852832396
1,14,3,-0.1846696676483589
1,14,4,-0.18357725673265493
1,14,5,-0.17802348309073684
1,14,6,-0.2238858211837035
1,14,7,-0.16484878848586168
1,14,8,-0.2224112884858617
1,14,9,-0.17223603560234035
1,14,10,-0.18739494136938303
1,14,11,-0.09930311175791257
1,14,12,-0.07692779320245002
1,14,13,0.0
1,14,14,-0.10628177471729368
1,14,15,-0.12162442819962593
1,14,16,-0.10139478207480843
1,14,17,-0.10838537213272388
1,14,18,-0.12898688126188643
1,14,19,-0.08141604738523019
1,14,20,-0.033829117651306015
1,14,21,-0.1108589578745708
1,14,22,0.013841961324142227
1,14,23,0.0038777894762889635
1,14,24,-0.14571903738511371
1,15,1,-0.12061738492889676
1,15,2,-0.12022194399485435
1,15,3,-0.189610593227289
1,15,4,-0.18584170201320024
1,15,5,-0.18008650765290554
1,15,6,-0.22565616812524183
1,15,7,-0.1666648298236102
1,15,8,-0.22422732982361018
1,15,9,-0.17432212818922618
1,15,10,-0.1889409314579942
1,15,11,-0.1014047100446353
1,15,12,-0.07697853782320463
1,15,13,0.0
1,15,14,-0.11051343007575358
1,15,15,-0.12331177528056055
1,15,16,-0.10274616813442244
1,15,17,-0.1098543155038328
1,15,18,-0.1305122667611654
1,15,19,-0.08050359839942965
1,15,20,-0.03097623862657872
1,15,21,-0.11243510209328049
1,15,22,0.012307805652326424
1,15,23,0.007789084885885406
1,15,24,-0.14864983604223364
1,16,1,-0.13521782807648972
1,16,2,-0.13448397829905012
1,16,3,-0.21064302555199907
1,16,4,-0.19542481369557577
1,16,5,-0.18960777965610295
1,16,6,-0.23302217388248014
1,16,7,-0.06905757873119843
1,16,8,-0.17190257873119844
1,16,9,-0.176238787575763
1,16,10,-0.19001996988663392
1,16,11,-0.10877496965929967
1,16,12,-0.0739844984390395
1,16,13,0.0
1,16,14,-0.13020730527548086
1,16,15,-0.14086045335749858
1,16,16,-0.11650333462362521
1,16,17,-0.1270171000939426
1,16,18,-0.14946506762374415
1,16,19,-0.08148026979902792
1,16,20,-0.019206299949373142
1,16,21,-0.13084149953422541
1,16,22,-0.005611492127806119
1,16,23,0.027202919968620353
1,16,24,-0.1675299341888283
1,17,1,-0.1460556879638001
1,17,2,-0.14522340464494563
1,17,3,-0.22288727840235076
1,17,4,-0.20439932585361237
1,17,5,-0.19865614013025037
