constraint_type,component_id,value,lower,upper,variable_name,master_value
p_balance_eq,1,1.6823683101217421e-07,0.0,0.0,,
p_balance_eq,2,1.9998292423066495e-07,0.0,0.0,,
p_balance_eq,3,-1.0879167247209804e-07,0.0,0.0,,
p_balance_eq,4,-1.14970975677119e-07,0.0,0.0,,
p_balance_eq,5,-1.323106350158837e-07,0.0,0.0,,
p_balance_eq,6,-1.862013299106164e-07,0.0,0.0,,
p_balance_eq,7,1.643377681292556e-07,0.0,0.0,,
p_balance_eq,8,-1.470340910042408e-07,0.0,0.0,,
p_balance_eq,9,-9.352312598426326e-08,0.0,0.0,,
p_balance_eq,10,-1.0547069152540837e-07,0.0,0.0,,
p_balance_eq,11,5.6351101157364714e-08,0.0,0.0,,
p_balance_eq,12,7.831850760747007e-08,0.0,0.0,,
p_balance_eq,13,1.3971697500195153e-07,0.0,0.0,,
p_balance_eq,14,-3.3277443865534456e-08,0.0,0.0,,
p_balance_eq,15,-8.32960534421568e-09,0.0,0.0,,
p_balance_eq,16,-3.1373131380665366e-09,0.0,0.0,,
p_balance_eq,17,1.5146517792099623e-09,0.0,0.0,,
p_balance_eq,18,-1.6362760502858025e-08,0.0,0.0,,
p_balance_eq,19,-6.840647292611854e-08,0.0,0.0,,
p_balance_eq,20,-6.677217758674662e-08,0.0,0.0,,
p_balance_eq,21,8.186593411847905e-09,0.0,0.0,,
p_balance_eq,22,5.014088788557415e-09,0.0,0.0,,
p_balance_eq,23,2.382606263367964e-07,0.0,0.0,,
p_balance_eq,24,2.466770703504664e-08,0.0,0.0,,
q_balance_eq,1,-5.465222008137503e-07,0.0,0.0,,
q_balance_eq,2,-5.438631494759843e-07,0.0,0.0,,
q_balance_eq,3,-5.81664763106744e-08,0.0,0.0,,
q_balance_eq,4,-5.1893829813769794e-08,0.0,0.0,,
q_balance_eq,5,-7.088476146518003e-08,0.0,0.0,,
q_balance_eq,6,-6.845575404862273e-08,0.0,0.0,,
q_balance_eq,7,7.842146392600987e-09,0.0,0.0,,
q_balance_eq,8,-6.575671241937614e-08,0.0,0.0,,
q_balance_eq,9,-1.0344830430391926e-07,0.0,0.0,,
q_balance_eq,10,-1.4357839267574272e-07,0.0,0.0,,
q_balance_eq,11,-1.0316677016666863e-07,0.0,0.0,,
q_balance_eq,12,-8.205921206858117e-08,0.0,0.0,,
q_balance_eq,13,8.160377265750923e-08,0.0,0.0,,
q_balance_eq,14,-6.443026041488674e-08,0.0,0.0,,
q_balance_eq,15,-8.458591579113962e-08,0.0,0.0,,
q_balance_eq,16,-1.306732905170761e-07,0.0,0.0,,
q_balance_eq,17,-8.426849483442617e-08,0.0,0.0,,
q_balance_eq,18,-1.0341932243652366e-07,0.0,0.0,,
q_balance_eq,19,-1.0569226447623199e-07,0.0,0.0,,
q_balance_eq,20,-1.709212470101009e-07,0.0,0.0,,
q_balance_eq,21,-8.931900700174166e-08,0.0,0.0,,
q_balance_eq,22,-6.03138995975883e-08,0.0,0.0,,
q_balance_eq,23,-2.3227443256324968e-07,0.0,0.0,,
q_balance_eq,24,-4.210895703227722e-08,0.0,0.0,,
line_mva_ineq,1,-3.0585467491663696,-1e+19,0.0,,
line_mva_ineq,2,-5.135359576264133,-1e+19,0.0,,
line_mva_ineq,3,-2.6171611714443315,-1e+19,0.0,,
line_mva_ineq,4,-2.8119566640907503,-1e+19,0.0,,
line_mva_ineq,5,-2.769881957136513,-1e+19,0.0,,
line_mva_ineq,6,-2.434804772051254,-1e+19,0.0,,
line_mva_ineq,7,-15.584078796473747,-1e+19,0.0,,
line_mva_ineq,8,-3.01580512426714,-1e+19,0.0,,
line_mva_ineq,9,-3.054676066519836,-1e+19,0.0,,
line_mva_ineq,10,-5.673667114953846,-1e+19,0.0,,
line_mva_ineq,11,-2.354406346736549e-06,-1e+19,0.0,,
line_mva_ineq,12,-2.977708405403066,-1e+19,0.0,,
line_mva_ineq,13,-2.977485327641699,-1e+19,0.0,,
line_mva_ineq,14,-15.24770625110428,-1e+19,0.0,,
line_mva_ineq,15,-14.149207789413296,-1e+19,0.0,,
line_mva_ineq,16,-7.935797106871529,-1e+19,0.0,,
line_mva_ineq,17,-13.681684006228341,-1e+19,0.0,,
line_mva_ineq,18,-18.480948182597086,-1e+19,0.0,,
line_mva_ineq,19,-4.89610965646019,-1e+19,0.0,,
line_mva_ineq,20,-22.192440842787576,-1e+19,0.0,,
line_mva_ineq,21,-23.233706016317623,-1e+19,0.0,,
line_mva_ineq,22,-24.663148001227487,-1e+19,0.0,,
line_mva_ineq,23,-3.9840911001105512,-1e+19,0.0,,
line_mva_ineq,24,-22.436449955433886,-1e+19,0.0,,
line_mva_ineq,25,-24.951239581725506,-1e+19,0.0,,
line_mva_ineq,26,-24.951239581725506,-1e+19,0.0,,
line_mva_ineq,27,-24.552625700059295,-1e+19,0.0,,
line_mva_ineq,28,-24.661551754675365,-1e+19,0.0,,
line_mva_ineq,29,-20.824238338725323,-1e+19,0.0,,
line_mva_ineq,30,-22.212173285363065,-1e+19,0.0,,
line_mva_ineq,31,-23.674041172939216,-1e+19,0.0,,
