case_id,scenario_id,hour,coefficient_family,component_type,component_id,bus_id,coefficient,source_constraint,notes
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,1,1,0.0047578905839699,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,2,1,0.0047578773606811,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,3,1,0.0012927645573686,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,4,1,0.001292764557369,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,5,2,0.004993934265716,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,6,2,0.0047578773610869,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,7,2,0.0012927645577788,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,8,2,0.0012927645577788,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,9,7,8.788084102056531e-06,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,10,7,0.0009989461464364,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,11,7,0.0009989461464355,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,12,13,0.0004989965278797,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,13,13,0.0004989965278797,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,14,13,0.0004989965278832,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,20,15,0.0006349793610356,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,21,16,0.0006390887375346,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,23,21,-6.072072009692436e-06,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,24,22,0.0039185349411248,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,25,22,0.0039185349411248,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,26,22,0.0039185349411248,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,27,22,0.0039185349411248,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,28,22,0.0039185349411248,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,29,22,0.0039185349411248,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,30,23,0.0006349794088032,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,31,23,0.0006349793854436,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_dispatch_active_power,generator,32,23,0.0002788329445582,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_wind_active_power,wind_farm,W14,14,-3.038145095205007e-06,fixed_master_wind_eq,Direct coefficient from explicit master-coupling equality Wind_ac - Wind_master_bar = 0.
case_b_ac_uc_benders,26,20,fixed_wind_active_power,wind_farm,W3,3,-3.037051989366334e-06,fixed_master_wind_eq,Direct coefficient from explicit master-coupling equality Wind_ac - Wind_master_bar = 0.
case_b_ac_uc_benders,5,20,fixed_dispatch_active_power,generator,1,1,0.0049939099878324,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,5,20,fixed_dispatch_active_power,generator,2,1,0.0047578526367699,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,5,20,fixed_dispatch_active_power,generator,3,1,0.0012927398334649,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,5,20,fixed_dispatch_active_power,generator,4,1,0.0012927398334649,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,5,20,fixed_dispatch_active_power,generator,5,2,0.0049939155811042,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,5,20,fixed_dispatch_active_power,generator,6,2,0.0047578530327045,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,5,20,fixed_dispatch_active_power,generator,7,2,0.001292740229391,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,5,20,fixed_dispatch_active_power,generator,8,2,0.001292740229391,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,5,20,fixed_dispatch_active_power,generator,9,7,8.756249914353535e-06,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,5,20,fixed_dispatch_active_power,generator,10,7,0.0009988818767781,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,5,20,fixed_dispatch_active_power,generator,11,7,0.0009988818767781,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
