constraint_type,component_id,multiplier,benders_coefficient,variable_name,master_value,notes
p_balance_eq,1,-2.062577833455191e-05,,,,
p_balance_eq,2,-2.0617032582754494e-05,,,,
p_balance_eq,3,-2.071226813262507e-05,,,,
p_balance_eq,4,-2.0646071192619652e-05,,,,
p_balance_eq,5,-2.0536154283198265e-05,,,,
p_balance_eq,6,-2.0626066891557254e-05,,,,
p_balance_eq,7,-2.0276678945730136e-05,,,,
p_balance_eq,8,-2.057295100347756e-05,,,,
p_balance_eq,9,-2.06112105997311e-05,,,,
p_balance_eq,10,-2.0543601645146158e-05,,,,
p_balance_eq,11,-2.0543458432495703e-05,,,,
p_balance_eq,12,-2.0413765078433555e-05,,,,
p_balance_eq,13,-2.0323964552882134e-05,,,,
p_balance_eq,14,-2.063183016302669e-05,,,,
p_balance_eq,15,-2.071490326771185e-05,,,,
p_balance_eq,16,-2.0605460051078643e-05,,,,
p_balance_eq,17,-2.0635708585344922e-05,,,,
p_balance_eq,18,-2.0763554089771797e-05,,,,
p_balance_eq,19,-2.049921110208067e-05,,,,
p_balance_eq,20,-2.0396475512244925e-05,,,,
p_balance_eq,21,-2.0704466944460935e-05,,,,
p_balance_eq,22,-2.056050989890972e-05,,,,
p_balance_eq,23,-2.0246533235346566e-05,,,,
p_balance_eq,24,-2.071920884388383e-05,,,,
q_balance_eq,1,-3.130817420233218e-08,,,,
q_balance_eq,2,-2.8295810934966845e-08,,,,
q_balance_eq,3,-5.000774539142986e-08,,,,
q_balance_eq,4,-4.191788566604027e-08,,,,
q_balance_eq,5,2.7580319895445085e-10,,,,
q_balance_eq,6,-3.4880127148074795e-08,,,,
q_balance_eq,7,6.519051678432585e-08,,,,
q_balance_eq,8,-2.9321450541385452e-08,,,,
q_balance_eq,9,-3.885106731270412e-08,,,,
q_balance_eq,10,-2.2056161258428155e-08,,,,
q_balance_eq,11,-2.4537177979967082e-08,,,,
q_balance_eq,12,-2.4973289325212722e-09,,,,
q_balance_eq,13,2.679014602565294e-08,,,,
q_balance_eq,14,-3.5681977595060125e-08,,,,
q_balance_eq,15,-2.7653884686767504e-08,,,,
q_balance_eq,16,-1.0963352103694668e-08,,,,
q_balance_eq,17,-2.5574236695212072e-08,,,,
q_balance_eq,18,-5.2345371066907204e-08,,,,
q_balance_eq,19,1.1645337582981703e-09,,,,
q_balance_eq,20,1.720696286061854e-08,,,,
q_balance_eq,21,-3.814669219505723e-08,,,,
q_balance_eq,22,-2.1441221238928424e-08,,,,
q_balance_eq,23,5.1037260587187524e-08,,,,
q_balance_eq,24,-3.7864518630247365e-08,,,,
line_mva_ineq,1,3.5638866072719375e-06,,,,
line_mva_ineq,2,4.80033179399469e-06,,,,
