cut_id,case_id,scenario_id,hour,variable_name,component_type,component_id,coefficient,xbar,source_constraint,notes
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g1,generator,1,-1.0287727949786836e-05,20.000000000000018,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g2,generator,2,-1.028772795072659e-05,20.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g3,generator,3,-1.031734714819204e-05,76.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g4,generator,4,-1.0317347148194788e-05,76.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g5,generator,5,-1.0287355919001804e-05,20.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g6,generator,6,-1.02873559190018e-05,20.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g7,generator,7,-1.0316975084920463e-05,76.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g8,generator,8,-1.0319687382679296e-05,75.99999999999999,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g9,generator,9,-2.0575120837663753e-05,79.99999999999999,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g10,generator,10,-1.0349310475904996e-05,100.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g11,generator,11,-1.0349310481771066e-05,100.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g12,generator,12,-1.039060147314878e-05,196.99999999999997,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g13,generator,13,-1.0391397243304072e-05,197.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g14,generator,14,-1.0391397237426288e-05,197.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g20,generator,20,-1.0368113450331669e-05,155.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g21,generator,21,-1.0369014614925576e-05,155.00000000000227,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g24,generator,24,-1.0312774685351882e-05,50.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g25,generator,25,-1.0312774685351882e-05,50.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g26,generator,26,-1.0312774685347391e-05,50.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g27,generator,27,-1.031277468534021e-05,50.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g28,generator,28,-1.0312774685329915e-05,50.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g29,generator,29,-1.031277468534098e-05,50.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g30,generator,30,-1.0367116355369996e-05,154.99999999999997,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
BC-001-0001,case_b_ac_uc_benders,26,17,p_s26_t17_g31,generator,31,-1.0367262597506408e-05,155.0,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
