hour,committed_units,startups,expected_thermal_mw,expected_wind_used_mw,expected_wind_curtailed_mw,total_load_shed_mw,max_abs_line_loading_percent
1,23,0,1983.678803106407,153.8211968935904,0.0,0.0,57.94886745600266
2,23,0,1836.763367110753,158.23663288924556,0.0,0.0,53.44013742680229
3,23,0,1693.7494990978855,158.75050090211246,0.0,0.0,51.67316697341522
4,23,0,1548.8387834703951,161.16121652960345,0.0,0.0,52.10371758675051
5,23,0,1600.9956802427712,166.00431975722694,0.0,0.0,51.518446144572955
6,23,0,1620.0133779686366,175.48662203136175,0.0,0.0,52.020281535877075
7,23,0,1664.1728245528877,188.32717544711036,0.0,0.0,52.09470525326687
8,23,0,1728.8738324232627,209.12616757673538,0.0,0.0,53.07570165942783
9,23,0,1775.6966061607964,219.30339383920213,0.0,0.0,54.47096399376534
10,23,0,1819.5037614282544,232.49623857174362,0.0,0.0,56.31071042896876
11,23,0,1897.2576451327761,240.24235486722174,0.0,0.0,59.2038191178466
12,23,0,1990.522418006225,232.47758199377344,0.0,0.0,61.779279416325465
13,24,1,2050.9218309494813,229.07816905051675,0.0,0.0,63.680732715841295
14,24,0,2212.382251725081,210.1177482749174,0.0,0.0,53.571428571428584
15,24,0,2238.9409363410277,183.55906365897016,0.0,0.0,53.571428571428584
16,25,1,2403.60468608138,161.39531391861777,0.0,0.0,100.0
17,25,0,2479.9374521091786,142.06254789081922,0.0,0.0,99.99999999999999
18,26,1,2582.7333348515745,124.76666514842253,0.0,0.0,100.0
19,26,0,2674.3232387019443,118.67676129805356,0.0,0.0,100.0
20,26,0,2731.7227448883605,118.27725511163698,0.0,0.0,100.0
21,26,0,2642.2562907399933,122.24370926000368,0.0,0.0,99.99999999999999
22,26,0,2520.714580070542,129.78541992945512,0.0,0.0,100.0
23,25,0,2450.5284237341352,142.971576265863,0.0,0.0,100.0
24,25,0,2472.9436311062013,149.05636889379696,0.0,0.0,99.99999999999999
