constraint_type,component_id,value,lower,upper,variable_name,master_value
p_balance_eq,1,-5.905164120818991e-13,0.0,0.0,,
p_balance_eq,2,-7.897942655508538e-13,0.0,0.0,,
p_balance_eq,3,1.3041903203280057e-12,0.0,0.0,,
p_balance_eq,4,4.812886912196768e-13,0.0,0.0,,
p_balance_eq,5,4.562166074605079e-13,0.0,0.0,,
p_balance_eq,6,1.4106128849093562e-12,0.0,0.0,,
p_balance_eq,7,4.557808655909464e-12,0.0,0.0,,
p_balance_eq,8,-4.405889868030035e-12,0.0,0.0,,
p_balance_eq,9,-2.380680559372489e-13,0.0,0.0,,
p_balance_eq,10,-4.500201785924505e-13,0.0,0.0,,
p_balance_eq,11,-2.2964670462022156e-12,0.0,0.0,,
p_balance_eq,12,-2.806086173970032e-12,0.0,0.0,,
p_balance_eq,13,2.085715369133049e-12,0.0,0.0,,
p_balance_eq,14,3.0050297984023956e-13,0.0,0.0,,
p_balance_eq,15,4.992369161843126e-13,0.0,0.0,,
p_balance_eq,16,-8.862447315729702e-13,0.0,0.0,,
p_balance_eq,17,-1.0996340455229642e-12,0.0,0.0,,
p_balance_eq,18,1.6819143598472905e-12,0.0,0.0,,
p_balance_eq,19,-2.331338464292565e-12,0.0,0.0,,
p_balance_eq,20,-3.3021182969526948e-12,0.0,0.0,,
p_balance_eq,21,-1.6444052337253462e-12,0.0,0.0,,
p_balance_eq,22,1.0969403079559743e-12,0.0,0.0,,
p_balance_eq,23,7.244121196458252e-12,0.0,0.0,,
p_balance_eq,24,-2.555314019734266e-13,0.0,0.0,,
q_balance_eq,1,8.173806583292552e-10,0.0,0.0,,
q_balance_eq,2,7.81619720986379e-10,0.0,0.0,,
q_balance_eq,3,2.504182805400119e-10,0.0,0.0,,
q_balance_eq,4,1.7606826549699433e-10,0.0,0.0,,
q_balance_eq,5,2.3232348672213047e-10,0.0,0.0,,
q_balance_eq,6,2.3309728230052435e-10,0.0,0.0,,
q_balance_eq,7,2.19052535272823e-10,0.0,0.0,,
q_balance_eq,8,3.4902629070465924e-10,0.0,0.0,,
q_balance_eq,9,4.791816715082474e-10,0.0,0.0,,
q_balance_eq,10,5.958888536821078e-10,0.0,0.0,,
q_balance_eq,11,5.979777480336545e-10,0.0,0.0,,
q_balance_eq,12,4.522396120917394e-10,0.0,0.0,,
q_balance_eq,13,3.8308067966565237e-10,0.0,0.0,,
q_balance_eq,14,4.268106250506854e-10,0.0,0.0,,
q_balance_eq,15,1.001214528906886e-09,0.0,0.0,,
q_balance_eq,16,1.3629532565293e-09,0.0,0.0,,
q_balance_eq,17,9.788395258114482e-10,0.0,0.0,,
q_balance_eq,18,1.2421566884752771e-09,0.0,0.0,,
q_balance_eq,19,7.003893299475841e-10,0.0,0.0,,
q_balance_eq,20,9.42660929532707e-10,0.0,0.0,,
q_balance_eq,21,1.108219100288846e-09,0.0,0.0,,
q_balance_eq,22,1.772955754580116e-10,0.0,0.0,,
q_balance_eq,23,7.205681590142544e-10,0.0,0.0,,
q_balance_eq,24,2.8766756061645096e-10,0.0,0.0,,
line_mva_ineq,1,-3.0588905446197456,-1e+19,0.0,,
line_mva_ineq,2,-5.1319984529270135,-1e+19,0.0,,
line_mva_ineq,3,-2.60773570073707,-1e+19,0.0,,
line_mva_ineq,4,-2.8056054527482748,-1e+19,0.0,,
line_mva_ineq,5,-2.764774580977106,-1e+19,0.0,,
line_mva_ineq,6,-2.445182802379348,-1e+19,0.0,,
line_mva_ineq,7,-15.625270425162364,-1e+19,0.0,,
line_mva_ineq,8,-3.0159796511415298,-1e+19,0.0,,
line_mva_ineq,9,-3.053421518790218,-1e+19,0.0,,
line_mva_ineq,10,-5.679529116318192,-1e+19,0.0,,
line_mva_ineq,11,-0.05930101808687859,-1e+19,0.0,,
line_mva_ineq,12,-3.06244284994481,-1e+19,0.0,,
line_mva_ineq,13,-3.055493079028859,-1e+19,0.0,,
line_mva_ineq,14,-15.279354797903874,-1e+19,0.0,,
line_mva_ineq,15,-14.192331541537387,-1e+19,0.0,,
line_mva_ineq,16,-7.9712454651406945,-1e+19,0.0,,
line_mva_ineq,17,-13.72474640684521,-1e+19,0.0,,
line_mva_ineq,18,-18.676181339912603,-1e+19,0.0,,
line_mva_ineq,19,-4.903657699953,-1e+19,0.0,,
line_mva_ineq,20,-22.30609241270733,-1e+19,0.0,,
line_mva_ineq,21,-23.345280462863162,-1e+19,0.0,,
line_mva_ineq,22,-24.694325626823225,-1e+19,0.0,,
line_mva_ineq,23,-4.025613598581106,-1e+19,0.0,,
line_mva_ineq,24,-22.549722731317978,-1e+19,0.0,,
line_mva_ineq,25,-24.953500616395264,-1e+19,0.0,,
line_mva_ineq,26,-24.953500616395264,-1e+19,0.0,,
line_mva_ineq,27,-24.605801857299834,-1e+19,0.0,,
line_mva_ineq,28,-24.714051554862102,-1e+19,0.0,,
line_mva_ineq,29,-21.145738013256484,-1e+19,0.0,,
line_mva_ineq,30,-22.247499543018336,-1e+19,0.0,,
line_mva_ineq,31,-23.666578888360142,-1e+19,0.0,,
line_mva_ineq,32,-24.455408259605555,-1e+19,0.0,,
line_mva_ineq,33,-24.455408259605555,-1e+19,0.0,,
line_mva_ineq,34,-21.622387873078875,-1e+19,0.0,,
line_mva_ineq,35,-21.622387873078875,-1e+19,0.0,,
line_mva_ineq,36,-18.91828227679062,-1e+19,0.0,,
line_mva_ineq,37,-18.91828227679062,-1e+19,0.0,,
line_mva_ineq,38,-21.538563214942222,-1e+19,0.0,,
fixed_master_dispatch_eq,1,-1.2336594419626312e-15,0.0,0.0,p_s21_t17_g1,20.000000000000018
fixed_master_dispatch_eq,2,5.833549789058257e-16,0.0,0.0,p_s21_t17_g2,20.0
fixed_master_dispatch_eq,3,4.701222592641552e-15,0.0,0.0,p_s21_t17_g3,76.0
fixed_master_dispatch_eq,4,4.7001519429962224e-15,0.0,0.0,p_s21_t17_g4,76.0
fixed_master_dispatch_eq,5,1.463876220762772e-15,0.0,0.0,p_s21_t17_g5,20.0000000000002
fixed_master_dispatch_eq,6,1.6538555464365445e-15,0.0,0.0,p_s21_t17_g6,20.0
fixed_master_dispatch_eq,7,7.003891824147734e-15,0.0,0.0,p_s21_t17_g7,76.0
fixed_master_dispatch_eq,8,6.959547955293077e-15,0.0,0.0,p_s21_t17_g8,76.0
fixed_master_dispatch_eq,9,5.952007075560923e-15,0.0,0.0,p_s21_t17_g9,80.00000000000001
fixed_master_dispatch_eq,10,2.2226822162310644e-15,0.0,0.0,p_s21_t17_g10,100.0
fixed_master_dispatch_eq,11,2.2355164594478616e-15,0.0,0.0,p_s21_t17_g11,100.0
fixed_master_dispatch_eq,12,1.1768648664096937e-14,0.0,0.0,p_s21_t17_g12,196.99999999999997
fixed_master_dispatch_eq,13,9.73410262984642e-16,0.0,0.0,p_s21_t17_g13,197.0
fixed_master_dispatch_eq,14,-1.408972222748106e-14,0.0,0.0,p_s21_t17_g14,197.0
fixed_master_dispatch_eq,20,9.197205714031598e-15,0.0,0.0,p_s21_t17_g20,155.0
fixed_master_dispatch_eq,21,1.2091415650845871e-14,0.0,0.0,p_s21_t17_g21,154.99999999999977
fixed_master_dispatch_eq,24,3.204467940998157e-15,0.0,0.0,p_s21_t17_g24,50.0
fixed_master_dispatch_eq,25,3.204467940998157e-15,0.0,0.0,p_s21_t17_g25,50.0
fixed_master_dispatch_eq,26,3.1498648090863557e-15,0.0,0.0,p_s21_t17_g26,50.0
fixed_master_dispatch_eq,27,2.919891975775024e-15,0.0,0.0,p_s21_t17_g27,50.0
fixed_master_dispatch_eq,28,3.0510939911729262e-15,0.0,0.0,p_s21_t17_g28,50.0
fixed_master_dispatch_eq,29,2.625558190999522e-15,0.0,0.0,p_s21_t17_g29,50.0
fixed_master_dispatch_eq,30,-3.6083603553033194e-15,0.0,0.0,p_s21_t17_g30,155.00000000000006
fixed_master_dispatch_eq,31,-3.1947507790272556e-15,0.0,0.0,p_s21_t17_g31,155.0
fixed_master_dispatch_eq,32,-2.1981426553095706e-14,0.0,0.0,p_s21_t17_g32,348.57466395847825
fixed_master_wind_eq,W14,-7.105427357601002e-15,0.0,0.0,wind_s21_t17_W14,61.57788155202987
fixed_master_wind_eq,W3,0.0,0.0,0.0,wind_s21_t17_W3,36.84745448949086
