constraint_type,component_id,multiplier,benders_coefficient,variable_name,master_value,notes
p_balance_eq,1,-2.0555417920435497e-05,,,,
p_balance_eq,2,-2.055467388110106e-05,,,,
p_balance_eq,3,-2.0551136493897497e-05,,,,
p_balance_eq,4,-2.0540728745462446e-05,,,,
p_balance_eq,5,-2.0561357459576294e-05,,,,
p_balance_eq,6,-2.056460731950379e-05,,,,
p_balance_eq,7,-2.0594310274625254e-05,,,,
p_balance_eq,8,-2.0548776220415364e-05,,,,
p_balance_eq,9,-2.052972788825807e-05,,,,
p_balance_eq,10,-2.056783313605916e-05,,,,
p_balance_eq,11,-2.059121279115068e-05,,,,
p_balance_eq,12,-2.0564118589420935e-05,,,,
p_balance_eq,13,-2.057568237956174e-05,,,,
p_balance_eq,14,-2.058305801874771e-05,,,,
p_balance_eq,15,-2.0573457359266773e-05,,,,
p_balance_eq,16,-2.0575263890621112e-05,,,,
p_balance_eq,17,-2.0574630225281782e-05,,,,
p_balance_eq,18,-2.057465858809149e-05,,,,
p_balance_eq,19,-2.0573903177667483e-05,,,,
p_balance_eq,20,-2.0572702132632064e-05,,,,
p_balance_eq,21,-2.0574127072218155e-05,,,,
p_balance_eq,22,-2.0573753989435748e-05,,,,
p_balance_eq,23,-2.057178038804695e-05,,,,
p_balance_eq,24,-2.0565248551028186e-05,,,,
q_balance_eq,1,2.6055047936545904e-09,,,,
q_balance_eq,2,2.7632023307844985e-09,,,,
q_balance_eq,3,3.739764673971509e-09,,,,
q_balance_eq,4,5.38100688492761e-09,,,,
q_balance_eq,5,1.4746303251302235e-09,,,,
q_balance_eq,6,9.792061132715153e-10,,,,
q_balance_eq,7,-1.2225628755875743e-08,,,,
q_balance_eq,8,3.718923466433862e-09,,,,
q_balance_eq,9,6.9917609596278725e-09,,,,
q_balance_eq,10,5.508776395671861e-10,,,,
q_balance_eq,11,-5.67333166538985e-09,,,,
q_balance_eq,12,2.047216026828692e-09,,,,
q_balance_eq,13,-1.6007098723398026e-09,,,,
q_balance_eq,14,-3.370385469289048e-09,,,,
q_balance_eq,15,-5.533087820863273e-10,,,,
q_balance_eq,16,-1.163941556574501e-09,,,,
q_balance_eq,17,-9.98312580983003e-10,,,,
q_balance_eq,18,-9.700487965830406e-10,,,,
q_balance_eq,19,-9.168861030514756e-10,,,,
q_balance_eq,20,-5.948915171230803e-10,,,,
q_balance_eq,21,-8.215402205055681e-10,,,,
q_balance_eq,22,-8.564218758597593e-10,,,,
q_balance_eq,23,-2.867723745424338e-10,,,,
q_balance_eq,24,1.4993280284076297e-09,,,,
line_mva_ineq,1,7.3131902535195775e-09,,,,
line_mva_ineq,2,7.79003465361118e-09,,,,
line_mva_ineq,3,5.5689610803500194e-09,,,,
line_mva_ineq,4,6.201480182469894e-09,,,,
line_mva_ineq,5,5.954840095491566e-09,,,,
line_mva_ineq,6,6.100177002707256e-09,,,,
line_mva_ineq,7,3.103269656144001e-10,,,,
line_mva_ineq,8,6.56216547281334e-09,,,,
line_mva_ineq,9,6.463680973592187e-09,,,,
line_mva_ineq,10,8.290606293307429e-09,,,,
line_mva_ineq,11,-1.3580601401110932e-06,,,,
line_mva_ineq,12,6.471563391642041e-09,,,,
line_mva_ineq,13,6.485094226874404e-09,,,,
line_mva_ineq,14,-7.4720511423490335e-06,,,,
line_mva_ineq,15,-7.798113824372777e-09,,,,
line_mva_ineq,16,9.535831885735257e-09,,,,
line_mva_ineq,17,6.35441235013464e-09,,,,
line_mva_ineq,18,1.1429544563076498e-08,,,,
line_mva_ineq,19,-1.1267451937508369e-08,,,,
line_mva_ineq,20,1.1809074937689139e-08,,,,
line_mva_ineq,21,1.1564220048187455e-08,,,,
line_mva_ineq,22,1.1226114874716185e-08,,,,
line_mva_ineq,23,8.011353351793191e-09,,,,
line_mva_ineq,24,1.1620616111024913e-08,,,,
line_mva_ineq,25,1.1214924297441408e-08,,,,
line_mva_ineq,26,1.1214924297695518e-08,,,,
line_mva_ineq,27,1.1835485826252407e-08,,,,
line_mva_ineq,28,1.1022781044348438e-08,,,,
line_mva_ineq,29,1.0842903849844692e-08,,,,
line_mva_ineq,30,1.0984361712811276e-08,,,,
line_mva_ineq,31,1.1268149617868142e-08,,,,
line_mva_ineq,32,1.1096861150837771e-08,,,,
line_mva_ineq,33,1.1096861153294169e-08,,,,
line_mva_ineq,34,1.0822778029251916e-08,,,,
line_mva_ineq,35,1.082277802959073e-08,,,,
line_mva_ineq,36,1.0655819219020277e-08,,,,
line_mva_ineq,37,1.0655819218766167e-08,,,,
line_mva_ineq,38,1.1515277838924666e-08,,,,
fixed_master_dispatch_eq,1,1.0287727949786836e-05,-1.0287727949786836e-05,p_s26_t17_g1,20.000000000000018,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,2,1.028772795072659e-05,-1.028772795072659e-05,p_s26_t17_g2,20.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,3,1.031734714819204e-05,-1.031734714819204e-05,p_s26_t17_g3,76.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,4,1.0317347148194788e-05,-1.0317347148194788e-05,p_s26_t17_g4,76.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,5,1.0287355919001804e-05,-1.0287355919001804e-05,p_s26_t17_g5,20.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,6,1.02873559190018e-05,-1.02873559190018e-05,p_s26_t17_g6,20.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,7,1.0316975084920465e-05,-1.0316975084920465e-05,p_s26_t17_g7,76.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,8,1.0319687382679296e-05,-1.0319687382679296e-05,p_s26_t17_g8,75.99999999999999,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,9,2.0575120837663753e-05,-2.0575120837663753e-05,p_s26_t17_g9,79.99999999999999,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,10,1.0349310475904997e-05,-1.0349310475904997e-05,p_s26_t17_g10,100.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,11,1.0349310481771066e-05,-1.0349310481771066e-05,p_s26_t17_g11,100.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,12,1.039060147314878e-05,-1.039060147314878e-05,p_s26_t17_g12,196.99999999999997,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,13,1.0391397243304073e-05,-1.0391397243304073e-05,p_s26_t17_g13,197.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,14,1.0391397237426288e-05,-1.0391397237426288e-05,p_s26_t17_g14,197.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,20,1.0368113450331667e-05,-1.0368113450331667e-05,p_s26_t17_g20,155.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,21,1.0369014614925576e-05,-1.0369014614925576e-05,p_s26_t17_g21,155.00000000000227,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,24,1.0312774685351882e-05,-1.0312774685351882e-05,p_s26_t17_g24,50.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,25,1.0312774685351882e-05,-1.0312774685351882e-05,p_s26_t17_g25,50.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,26,1.0312774685347391e-05,-1.0312774685347391e-05,p_s26_t17_g26,50.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,27,1.031277468534021e-05,-1.031277468534021e-05,p_s26_t17_g27,50.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,28,1.0312774685329917e-05,-1.0312774685329917e-05,p_s26_t17_g28,50.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,29,1.031277468534098e-05,-1.031277468534098e-05,p_s26_t17_g29,50.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,30,1.0367116355369995e-05,-1.0367116355369995e-05,p_s26_t17_g30,154.99999999999997,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,31,1.0367262597506408e-05,-1.0367262597506408e-05,p_s26_t17_g31,155.0,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_dispatch_eq,32,2.0569402770497038e-05,-2.0569402770497038e-05,p_s26_t17_g32,347.09258153202967,Coefficient is -multiplier for constraint p_ac - p_master_bar = 0.
fixed_master_wind_eq,W14,1.0331785157767168e-05,-1.0331785157767168e-05,wind_s26_t17_W14,77.16439805044682,Coefficient is -multiplier for constraint wind_ac - wind_master_bar = 0.
fixed_master_wind_eq,W3,1.0287062363708224e-05,-1.0287062363708224e-05,wind_s26_t17_W3,22.74302041751854,Coefficient is -multiplier for constraint wind_ac - wind_master_bar = 0.
