component_type,component_id,value,unit
bus_voltage,1,1.01259113764327,p.u.
bus_voltage,2,1.0128293924446763,p.u.
bus_voltage,3,0.9848633817158459,p.u.
bus_voltage,4,0.9942426510392548,p.u.
bus_voltage,5,0.9963954809394674,p.u.
bus_voltage,6,0.9832136640343415,p.u.
bus_voltage,7,1.0301496786148887,p.u.
bus_voltage,8,1.0003833402068996,p.u.
bus_voltage,9,0.9950913274302073,p.u.
bus_voltage,10,0.9922761575738213,p.u.
bus_voltage,11,1.0119398691784847,p.u.
bus_voltage,12,1.0213779710252326,p.u.
bus_voltage,13,1.0492948082526015,p.u.
bus_voltage,14,1.0061816489313256,p.u.
bus_voltage,15,1.0097618883359216,p.u.
bus_voltage,16,1.0150909211719397,p.u.
bus_voltage,17,1.0065109102588563,p.u.
bus_voltage,18,1.001201104453921,p.u.
bus_voltage,19,1.0243426090242638,p.u.
bus_voltage,20,1.0419566892525527,p.u.
bus_voltage,21,1.0049343043625145,p.u.
bus_voltage,22,1.0198393161406603,p.u.
bus_voltage,23,1.0564379014078134,p.u.
bus_voltage,24,0.9993182416796139,p.u.
bus_angle,13,0.0,rad
bus_angle,1,-0.14738080770662085,rad
bus_angle,2,-0.14641893757674052,rad
bus_angle,3,-0.22944203763604765,rad
bus_angle,4,-0.20473247258963417,rad
bus_angle,5,-0.19851785233982008,rad
bus_angle,6,-0.2416966744660514,rad
bus_angle,7,-0.0834527027557022,rad
bus_angle,8,-0.18191893306468296,rad
bus_angle,9,-0.1819236115773601,rad
bus_angle,10,-0.19468808970963594,rad
bus_angle,11,-0.10928245631021564,rad
bus_angle,12,-0.07044315999791016,rad
bus_angle,14,-0.13149234842502686,rad
bus_angle,15,-0.14052004606059784,rad
bus_angle,16,-0.11350722267804172,rad
bus_angle,17,-0.1256767916221344,rad
bus_angle,18,-0.1489431210713543,rad
bus_angle,19,-0.07078384391064184,rad
bus_angle,20,-0.004178313978781031,rad
bus_angle,21,-0.13046509950552362,rad
bus_angle,22,-0.007637807182315588,rad
