case_id,scenario_id,hour,coefficient_family,component_type,component_id,bus_id,coefficient,source_constraint,notes
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,1,1,-1.0287727949786836e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,2,1,-1.028772795072659e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,3,1,-1.031734714819204e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,4,1,-1.0317347148194788e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,5,2,-1.0287355919001804e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,6,2,-1.02873559190018e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,7,2,-1.0316975084920463e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,8,2,-1.0319687382679296e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,9,7,-2.0575120837663753e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,10,7,-1.0349310475904996e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,11,7,-1.0349310481771066e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,12,13,-1.039060147314878e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,13,13,-1.0391397243304072e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,14,13,-1.0391397237426288e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,20,15,-1.0368113450331669e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,21,16,-1.0369014614925576e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,24,22,-1.0312774685351882e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,25,22,-1.0312774685351882e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,26,22,-1.0312774685347391e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,27,22,-1.031277468534021e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,28,22,-1.0312774685329915e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,29,22,-1.031277468534098e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,30,23,-1.0367116355369996e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,31,23,-1.0367262597506408e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,32,23,-2.056940277049704e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_wind_active_power,wind_farm,W14,14,-1.0331785157767168e-05,fixed_master_wind_eq,Direct coefficient from explicit master-coupling equality Wind_ac - Wind_master_bar = 0.
case_b_ac_uc_benders,26,17,fixed_wind_active_power,wind_farm,W3,3,-1.0287062363708224e-05,fixed_master_wind_eq,Direct coefficient from explicit master-coupling equality Wind_ac - Wind_master_bar = 0.
case_b_ac_uc_benders,21,17,fixed_dispatch_active_power,generator,1,1,-1.032289287231427e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,21,17,fixed_dispatch_active_power,generator,2,1,-1.0322892873251602e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,21,17,fixed_dispatch_active_power,generator,3,1,-1.035247169497771e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,21,17,fixed_dispatch_active_power,generator,4,1,-1.035247169497771e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,21,17,fixed_dispatch_active_power,generator,5,2,-1.0318519971760903e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,21,17,fixed_dispatch_active_power,generator,6,2,-1.031851998226348e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,21,17,fixed_dispatch_active_power,generator,7,2,-1.0348098817385654e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,21,17,fixed_dispatch_active_power,generator,8,2,-1.0348098817385787e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
case_b_ac_uc_benders,21,17,fixed_dispatch_active_power,generator,9,7,-2.046041350432675e-05,fixed_master_dispatch_eq,Direct coefficient from explicit master-coupling equality Pg_ac - Pg_master_bar = 0.
