constraint_type,component_id,multiplier
p_balance_eq,1,2.1259159410537112e-10
p_balance_eq,2,1.9204979712607567e-10
p_balance_eq,3,6.212335067145996e-10
p_balance_eq,4,3.963728023913719e-10
p_balance_eq,5,4.153453260976158e-10
p_balance_eq,6,6.048802078087055e-10
p_balance_eq,7,-5.222377118156824e-10
p_balance_eq,8,2.5884495621134826e-10
p_balance_eq,9,2.6541093366234844e-10
p_balance_eq,10,2.9237445299126937e-10
p_balance_eq,11,-1.1402987100466849e-10
p_balance_eq,12,-5.047317556231422e-10
p_balance_eq,13,-1.1600661611605112e-09
p_balance_eq,14,2.6363322314279144e-10
p_balance_eq,15,3.554036418565551e-10
p_balance_eq,16,5.4435624977142424e-11
p_balance_eq,17,2.77487590777222e-10
p_balance_eq,18,5.661671132567133e-10
p_balance_eq,19,-3.275167906392348e-10
p_balance_eq,20,-1.0510739230682284e-09
p_balance_eq,21,2.5529469086154915e-10
p_balance_eq,22,-5.178439503169113e-10
p_balance_eq,23,-1.3562762575074665e-09
p_balance_eq,24,5.225368625722448e-10
q_balance_eq,1,1.360991847355263e-10
q_balance_eq,2,1.3083159964854434e-10
q_balance_eq,3,2.745928949746366e-10
q_balance_eq,4,2.027411983932556e-10
q_balance_eq,5,2.0126279370246038e-10
q_balance_eq,6,2.504723029068496e-10
q_balance_eq,7,-3.7328863541851224e-11
q_balance_eq,8,1.9595345305668478e-10
q_balance_eq,9,1.9164460740145626e-10
q_balance_eq,10,1.900277849909626e-10
q_balance_eq,11,9.611598833212549e-11
q_balance_eq,12,1.8033054497755892e-11
q_balance_eq,13,-2.067945024312858e-10
q_balance_eq,14,1.9066076220578452e-10
q_balance_eq,15,1.821629101187971e-10
q_balance_eq,16,1.0010251712026924e-10
q_balance_eq,17,2.840778300418225e-10
q_balance_eq,18,3.3774021278922813e-10
q_balance_eq,19,-1.9980517069171747e-11
q_balance_eq,20,-2.179260465940459e-10
q_balance_eq,21,2.6732331584390946e-10
q_balance_eq,22,2.6809836725240985e-10
q_balance_eq,23,-3.058690224206604e-10
q_balance_eq,24,2.434481165104301e-10
line_mva_ineq,1,-2.277655258205335e-08
line_mva_ineq,2,-2.9424543761423152e-08
line_mva_ineq,3,-2.2609238483908388e-08
line_mva_ineq,4,-2.2714774171253035e-08
line_mva_ineq,5,-2.253762259953854e-08
line_mva_ineq,6,-2.2979112254849238e-08
line_mva_ineq,7,-2.2746180447387392e-08
line_mva_ineq,8,-2.2379264423522776e-08
line_mva_ineq,9,-2.2768363872164063e-08
line_mva_ineq,10,-2.267520642575985e-08
line_mva_ineq,11,-2.2485746831931967e-08
line_mva_ineq,12,-2.2776913674130697e-08
line_mva_ineq,13,-2.279279086080104e-08
line_mva_ineq,14,-2.2740278610812614e-08
line_mva_ineq,15,-2.2744543070997553e-08
line_mva_ineq,16,-2.2726709611416256e-08
line_mva_ineq,17,-2.2748296391528487e-08
line_mva_ineq,18,-2.208947662823478e-08
line_mva_ineq,19,-2.6067129976997073e-08
line_mva_ineq,20,-2.268004884764689e-08
line_mva_ineq,21,-2.2708255224364598e-08
line_mva_ineq,22,-2.2704585992403773e-08
line_mva_ineq,23,-2.2515788689643677e-08
line_mva_ineq,24,-1.0832141288668163e-08
line_mva_ineq,25,-2.267787209626384e-08
line_mva_ineq,26,-2.2677876427502442e-08
line_mva_ineq,27,-2.2689700942042234e-08
line_mva_ineq,28,-2.272852929473825e-08
line_mva_ineq,29,-1.1850466219774755e-08
line_mva_ineq,30,-7.487199364722982e-09
line_mva_ineq,31,-2.26938039954539e-08
line_mva_ineq,32,-2.2680602594264894e-08
line_mva_ineq,33,-2.2680603208980418e-08
line_mva_ineq,34,-2.2666583685274142e-08
line_mva_ineq,35,-2.2666583753727957e-08
line_mva_ineq,36,-7.689866478201687e-09
line_mva_ineq,37,-7.689816979120184e-09
line_mva_ineq,38,-2.2703163914031785e-08
