constraint_type,component_id,value,lower,upper
p_balance_eq,1,2.2586007500033367e-13,0.0,0.0
p_balance_eq,2,-2.3617495762892626e-13,0.0,0.0
p_balance_eq,3,5.013838736550591e-15,0.0,0.0
p_balance_eq,4,6.62630215454707e-14,0.0,0.0
p_balance_eq,5,-6.852553463901345e-14,0.0,0.0
p_balance_eq,6,3.0623832462939315e-15,0.0,0.0
p_balance_eq,7,-1.427699104772362e-14,0.0,0.0
p_balance_eq,8,3.677288508419085e-15,0.0,0.0
p_balance_eq,9,-7.92510046303263e-14,0.0,0.0
p_balance_eq,10,1.0208473606374002e-13,0.0,0.0
p_balance_eq,11,7.981148294339269e-14,0.0,0.0
p_balance_eq,12,-1.4091917736880344e-13,0.0,0.0
p_balance_eq,13,4.727918360633576e-14,0.0,0.0
p_balance_eq,14,-9.075607019376486e-14,0.0,0.0
p_balance_eq,15,6.514477542476915e-14,0.0,0.0
p_balance_eq,16,-1.387515861754618e-13,0.0,0.0
p_balance_eq,17,-1.6962321304492267e-13,0.0,0.0
p_balance_eq,18,3.2026134131821204e-13,0.0,0.0
p_balance_eq,19,2.0087425646464485e-13,0.0,0.0
p_balance_eq,20,-1.189422367021964e-13,0.0,0.0
p_balance_eq,21,-6.915236612503595e-14,0.0,0.0
p_balance_eq,22,-9.204464447576388e-14,0.0,0.0
p_balance_eq,23,-5.975959744414228e-14,0.0,0.0
p_balance_eq,24,3.1598150745243414e-14,0.0,0.0
q_balance_eq,1,-6.436287050201606e-13,0.0,0.0
q_balance_eq,2,-8.745136776192042e-14,0.0,0.0
q_balance_eq,3,3.2556325257199203e-13,0.0,0.0
q_balance_eq,4,2.4818634560691555e-13,0.0,0.0
q_balance_eq,5,2.341004994022011e-13,0.0,0.0
q_balance_eq,6,1.7882033744379133e-13,0.0,0.0
q_balance_eq,7,-2.3806911303436706e-15,0.0,0.0
q_balance_eq,8,-1.415964242558465e-13,0.0,0.0
q_balance_eq,9,2.753024045711039e-13,0.0,0.0
q_balance_eq,10,3.666239946180372e-13,0.0,0.0
q_balance_eq,11,-7.344618619883891e-14,0.0,0.0
q_balance_eq,12,-1.247815923938883e-12,0.0,0.0
q_balance_eq,13,-9.595027138271928e-13,0.0,0.0
q_balance_eq,14,9.692455171794734e-13,0.0,0.0
q_balance_eq,15,-1.4688298862787497e-12,0.0,0.0
q_balance_eq,16,4.302592895681634e-13,0.0,0.0
q_balance_eq,17,-2.1347987939034085e-12,0.0,0.0
q_balance_eq,18,1.6944654772192702e-12,0.0,0.0
q_balance_eq,19,1.4673022454177176e-12,0.0,0.0
q_balance_eq,20,2.070492648859057e-12,0.0,0.0
q_balance_eq,21,1.648568434542419e-13,0.0,0.0
q_balance_eq,22,-5.789262298716569e-13,0.0,0.0
q_balance_eq,23,-6.076739046852186e-13,0.0,0.0
q_balance_eq,24,-2.2729198080953528e-13,0.0,0.0
line_mva_ineq,1,-3.0585074225362527,-1e+19,0.0
line_mva_ineq,2,-5.134564031022882,-1e+19,0.0
line_mva_ineq,3,-2.619071863308364,-1e+19,0.0
line_mva_ineq,4,-2.812524843886887,-1e+19,0.0
line_mva_ineq,5,-2.771253917624005,-1e+19,0.0
line_mva_ineq,6,-2.433806392264075,-1e+19,0.0
line_mva_ineq,7,-15.589630347188807,-1e+19,0.0
line_mva_ineq,8,-3.015822342250611,-1e+19,0.0
line_mva_ineq,9,-3.054946928983966,-1e+19,0.0
line_mva_ineq,10,-5.673163049054918,-1e+19,0.0
line_mva_ineq,11,-1.8984889503391686e-05,-1e+19,0.0
line_mva_ineq,12,-2.98061830321124,-1e+19,0.0
line_mva_ineq,13,-2.9796324550488693,-1e+19,0.0
line_mva_ineq,14,-15.248296897304133,-1e+19,0.0
line_mva_ineq,15,-14.14617067637775,-1e+19,0.0
line_mva_ineq,16,-7.938204404313877,-1e+19,0.0
line_mva_ineq,17,-13.680105626992841,-1e+19,0.0
line_mva_ineq,18,-18.461460679507557,-1e+19,0.0
line_mva_ineq,19,-4.892890451669116,-1e+19,0.0
line_mva_ineq,20,-22.18499949916425,-1e+19,0.0
line_mva_ineq,21,-23.24777516911946,-1e+19,0.0
line_mva_ineq,22,-24.672464179853343,-1e+19,0.0
line_mva_ineq,23,-3.998365936154469,-1e+19,0.0
line_mva_ineq,24,-22.43616372723962,-1e+19,0.0
line_mva_ineq,25,-24.949760548097903,-1e+19,0.0
line_mva_ineq,26,-24.949760548097903,-1e+19,0.0
line_mva_ineq,27,-24.56060995251618,-1e+19,0.0
line_mva_ineq,28,-24.65000742211009,-1e+19,0.0
line_mva_ineq,29,-20.83833870027939,-1e+19,0.0
line_mva_ineq,30,-22.21140243701045,-1e+19,0.0
line_mva_ineq,31,-23.675595377642793,-1e+19,0.0
line_mva_ineq,32,-24.462243489892533,-1e+19,0.0
line_mva_ineq,33,-24.462243489892533,-1e+19,0.0
line_mva_ineq,34,-21.466628531828363,-1e+19,0.0
line_mva_ineq,35,-21.466628531828363,-1e+19,0.0
line_mva_ineq,36,-18.671328766287765,-1e+19,0.0
line_mva_ineq,37,-18.671328766287772,-1e+19,0.0
line_mva_ineq,38,-21.564745034325508,-1e+19,0.0
