cut_id,case_id,scenario_id,hour,variable_name,component_type,component_id,coefficient,xbar,source_constraint,notes
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g1,generator,1,6.3904704119683876e-12,20.000000000000043,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g2,generator,2,6.3904704119683876e-12,20.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g3,generator,3,6.3904704119683876e-12,76.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g4,generator,4,6.3904704119683876e-12,76.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g5,generator,5,6.424317290107827e-12,19.999999999999854,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g6,generator,6,6.424317290107827e-12,20.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g7,generator,7,6.424317290107827e-12,76.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g8,generator,8,6.424317290107827e-12,76.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g9,generator,9,-2.864366580164434e-11,79.99999999999872,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g10,generator,10,-2.864366580164434e-11,100.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g11,generator,11,-2.864366580164434e-11,100.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g12,generator,12,-6.399664823625296e-11,196.99999999999991,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g13,generator,13,-6.399664823625296e-11,197.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g14,generator,14,-6.399664823625296e-11,197.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g15,generator,15,2.0460370537579643e-11,9.379164112033322e-13,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g16,generator,16,2.0460370537579643e-11,0.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g17,generator,17,2.0460370537579643e-11,0.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g18,generator,18,2.0460370537579643e-11,0.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g19,generator,19,2.0460370537579643e-11,0.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g20,generator,20,2.0460370537579643e-11,155.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g21,generator,21,3.379259765426003e-12,154.99999999999977,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g22,generator,22,3.2613468036375936e-11,-4.547473508864641e-13,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g23,generator,23,1.4734984976268178e-11,2.131628207280301e-14,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g24,generator,24,-2.9840300840432055e-11,50.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g25,generator,25,-2.9840300840432055e-11,50.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g26,generator,26,-2.9840300840432055e-11,50.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g27,generator,27,-2.9840300840432055e-11,50.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g28,generator,28,-2.9840300840432055e-11,50.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g29,generator,29,-2.9840300840432055e-11,50.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g30,generator,30,-7.584393190669669e-11,155.0000000000001,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g31,generator,31,-7.584393190669669e-11,155.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,p_s21_t24_g32,generator,32,-7.584393190669669e-11,348.24478534145385,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,wind_s21_t24_W3,wind_farm,W3,3.112195614460279e-11,48.11969052768912,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0001,case_b_ac_uc_benders,21,24,wind_s21_t24_W14,wind_farm,W14,1.6489667523184623e-11,50.635524130854584,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0002,case_b_ac_uc_benders,33,17,p_s33_t17_g1,generator,1,2.8580347030276825e-10,20.00000000000071,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0002,case_b_ac_uc_benders,33,17,p_s33_t17_g2,generator,2,2.8580347030276825e-10,20.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0002,case_b_ac_uc_benders,33,17,p_s33_t17_g3,generator,3,2.8580347030276825e-10,76.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0002,case_b_ac_uc_benders,33,17,p_s33_t17_g4,generator,4,2.8580347030276825e-10,76.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0002,case_b_ac_uc_benders,33,17,p_s33_t17_g5,generator,5,3.0175187283098576e-10,20.00000000000024,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0002,case_b_ac_uc_benders,33,17,p_s33_t17_g6,generator,6,3.0175187283098576e-10,20.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0002,case_b_ac_uc_benders,33,17,p_s33_t17_g7,generator,7,3.0175187283098576e-10,76.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
BC-002-0002,case_b_ac_uc_benders,33,17,p_s33_t17_g8,generator,8,3.0175187283098576e-10,76.0,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
