case_id,scenario_id,hour,coefficient_family,component_type,component_id,bus_id,coefficient,source_constraint,notes
case_b_ac_uc_benders,21,24,fixed_dispatch_active_power,generator,1,1,6.3904704119683876e-12,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,21,24,fixed_dispatch_active_power,generator,2,1,6.3904704119683876e-12,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,21,24,fixed_dispatch_active_power,generator,3,1,6.3904704119683876e-12,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,21,24,fixed_dispatch_active_power,generator,4,1,6.3904704119683876e-12,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,21,24,fixed_dispatch_active_power,generator,5,2,6.424317290107827e-12,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,21,24,fixed_dispatch_active_power,generator,6,2,6.424317290107827e-12,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,21,24,fixed_dispatch_active_power,generator,7,2,6.424317290107827e-12,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,21,24,fixed_dispatch_active_power,generator,8,2,6.424317290107827e-12,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,21,24,fixed_dispatch_active_power,generator,9,7,-2.864366580164434e-11,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,21,24,fixed_dispatch_active_power,generator,10,7,-2.864366580164434e-11,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,21,24,fixed_dispatch_active_power,generator,11,7,-2.864366580164434e-11,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,21,24,fixed_dispatch_active_power,generator,12,13,-6.399664823625296e-11,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
case_b_ac_uc_benders,21,24,fixed_dispatch_active_power,generator,13,13,-6.399664823625296e-11,p_balance_eq,Coefficient from constrained Ipopt P-balance multiplier.
