scenario_id,hour,line_id,from_bus,to_bus,flow_mw,rate_mw,loading_percent
1,1,1,1,2,-2.470230675440899,175.0,-1.411560385966228
1,1,2,1,3,35.91907074999367,229.99999999999997,15.616987282605946
1,1,3,1,5,77.55115992544735,175.0,44.31494852882706
1,1,4,2,4,57.75322817007966,175.0,33.00184466861695
1,1,5,2,6,59.026541154479,175.0,33.72945208827372
1,1,6,3,9,-0.5836149445455737,160.0,-0.36475934034098356
1,1,7,3,24,-49.12911575837281,400.0,-12.282278939593203
1,1,8,4,9,2.2532281700798067,175.0,1.287558954331318
1,1,9,5,10,24.30115992544756,175.0,13.886377100255748
1,1,10,6,10,-42.97345884552095,250.0,-17.189383538208382
1,1,11,7,8,5.087479077073506,175.0,2.9071309011848605
1,1,12,8,9,-65.16153869017185,175.0,-37.23516496581249
1,1,13,8,10,-58.000982232754644,175.0,-33.14341841871694
1,1,14,9,11,-86.85393420293549,400.0,-21.713483550733873
1,1,15,9,12,-107.88799126170197,400.0,-26.971997815425492
1,1,16,10,11,-100.94461204703062,300.0,-33.648204015676875
1,1,17,10,12,-121.9786691057971,400.0,-30.494667276449274
1,1,18,11,13,-203.93406608437652,500.0,-40.78681321687531
1,1,19,11,14,16.135519834410392,229.99999999999997,7.015443406265389
1,1,20,12,13,-166.85933105852553,500.0,-33.371866211705104
1,1,21,12,23,-63.007329308973404,500.0,-12.601465861794681
1,1,22,13,23,21.456602857098083,500.0,4.291320571419616
1,1,23,14,16,-35.0701577897529,210.0,-16.70007513797757
1,1,24,15,16,-79.4523553169488,500.0,-15.890471063389759
1,1,25,15,21,-26.21338022071173,500.0,-5.242676044142346
1,1,26,15,21,-26.21338022071173,500.0,-5.242676044142346
1,1,27,15,24,49.12911575837284,500.0,9.825823151674568
1,1,28,16,17,2.176760441423549,500.0,0.4353520882847098
1,1,29,16,19,-36.699273548125,500.0,-7.3398547096249995
1,1,30,17,18,119.48645414023657,500.0,23.897290828047318
1,1,31,17,22,-117.309693698813,500.0,-23.4619387397626
1,1,32,18,21,-65.13177292988175,500.0,-13.02635458597635
1,1,33,18,21,-65.13177292988175,500.0,-13.02635458597635
1,1,34,19,20,-86.2246367740624,500.0,-17.24492735481248
1,1,35,19,20,-86.2246367740624,500.0,-17.24492735481248
1,1,36,20,23,-134.22463677406236,500.0,-26.844927354812473
1,1,37,20,23,-134.22463677406236,500.0,-26.844927354812473
1,1,38,21,22,-182.69030630118704,500.0,-36.53806126023741
1,2,1,1,2,-1.6272544735731573,175.0,-0.9298596991846614
1,2,2,1,3,36.182108668939925,229.99999999999997,15.731351595191274
1,2,3,1,5,81.84514580463328,175.0,46.768654745504726
1,2,4,2,4,60.94185430970085,175.0,34.823916748400485
1,2,5,2,6,61.53089121672599,175.0,35.16050926670057
1,2,6,3,9,8.44590794027151,160.0,5.278692462669694
1,2,7,3,24,-51.20466286604258,400.0,-12.801165716510646
1,2,8,4,9,9.14185430970097,175.0,5.223916748400554
1,2,9,5,10,32.1451458046335,175.0,18.36865474550486
1,2,10,6,10,-33.669108783273934,250.0,-13.467643513309573
1,2,11,7,8,-57.49999999999995,175.0,-32.85714285714283
1,2,12,8,9,-91.95435130002492,175.0,-52.54534360001424
1,2,13,8,10,-85.24564869997508,175.0,-48.71179925712862
1,2,14,9,11,-92.23437525813196,400.0,-23.05859381453299
1,2,15,9,12,-104.63221379191992,400.0,-26.15805344797998
1,2,16,10,11,-105.4358865724136,300.0,-35.145295524137865
1,2,17,10,12,-117.83372510620156,400.0,-29.458431276550392
1,2,18,11,13,-194.22235108985285,500.0,-38.844470217970574
1,2,19,11,14,-3.4479107406928122,229.99999999999997,-1.4990916263881793
1,2,20,12,13,-172.3698583800879,500.0,-34.47397167601758
1,2,21,12,23,-50.09608051803363,500.0,-10.019216103606727
1,2,22,13,23,38.90779053005939,500.0,7.781558106011878
1,2,23,14,16,-29.2164899153285,210.0,-13.912614245394522
1,2,24,15,16,-61.29780050425527,500.0,-12.259560100851054
1,2,25,15,21,-28.403431180893403,500.0,-5.680686236178681
1,2,26,15,21,-28.403431180893403,500.0,-5.680686236178681
1,2,27,15,24,51.20466286604261,500.0,10.240932573208521
1,2,28,16,17,-10.093137638213143,500.0,-2.0186275276426286
1,2,29,16,19,4.578847218628918,500.0,0.9157694437257836
1,2,30,17,18,107.81503055537702,500.0,21.563006111075403
1,2,31,17,22,-117.90816819359009,500.0,-23.581633638718017
1,2,32,18,21,-62.64248472231155,500.0,-12.52849694446231
1,2,33,18,21,-62.64248472231155,500.0,-12.52849694446231
1,2,34,19,20,-61.06057639068546,500.0,-12.212115278137093
1,2,35,19,20,-61.06057639068546,500.0,-12.212115278137093
1,2,36,20,23,-105.8605763906854,500.0,-21.17211527813708
1,2,37,20,23,-105.8605763906854,500.0,-21.17211527813708
1,2,38,21,22,-182.09183180641,500.0,-36.418366361282004
1,3,1,1,2,-2.900108298769258,175.0,-1.6572047421538618
1,3,2,1,3,40.84330554850868,229.99999999999997,17.757958934134212
1,3,3,1,5,83.85680275026078,175.0,47.91817300014902
1,3,4,2,4,63.4601015206448,175.0,36.26291515465417
1,3,5,2,6,62.58979018058601,175.0,35.76559438890629
