case_id,scenario_id,hour,coefficient_family,component_type,component_id,bus_id,coefficient,source_constraint,notes
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,1,1,-1.1165565056103324e-10,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,2,1,-1.1165565056103324e-10,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,3,1,-1.1165565056103324e-10,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,4,1,-1.1165565056103324e-10,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,5,2,-1.0363760832288953e-10,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,6,2,-1.0363760832288953e-10,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,7,2,-1.0363760832288953e-10,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,8,2,-1.0363760832288953e-10,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,9,7,-4.6959549161525726e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,10,7,-4.6959549161525726e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,11,7,-4.6959549161525726e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,12,13,-3.6827102112988895e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,13,13,-3.6827102112988895e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,14,13,-3.6827102112988895e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,15,15,6.038199386092211e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,16,15,6.038199386092211e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,17,15,6.038199386092211e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,18,15,6.038199386092211e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,19,15,6.038199386092211e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,20,15,6.038199386092211e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,21,16,3.6976411726241786e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,22,18,5.886771239386892e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,23,21,5.256928246615888e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,24,22,2.6530137057914643e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,25,22,2.6530137057914643e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,26,22,2.6530137057914643e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,27,22,2.6530137057914643e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,28,22,2.6530137057914643e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,29,22,2.6530137057914643e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,30,23,-2.5192612914973325e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,31,23,-2.5192612914973325e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_dispatch_active_power,generator,32,23,-2.5192612914973325e-11,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows p_gen injection term.
case_b_ac_uc_benders,26,17,fixed_wind_active_power,wind_farm,W3,3,2.2795651324584214e-10,p_balance_eq,First-pass coefficient from Ipopt P-balance multiplier; sign convention follows wind injection term.
