iteration,lower_bound,upper_bound,relative_gap_percent,paper_case_b_expected_cost,scenario_count,source
1,598518.479190,720360.439500,16.914027,651909.900000,40,paper_aligned_proxy_for_visualization
2,602104.837109,714501.565287,15.730788,651909.900000,40,paper_aligned_proxy_for_visualization
3,605591.239243,708928.469059,14.576538,651909.900000,40,paper_aligned_proxy_for_visualization
4,608976.117607,703639.251124,13.453362,651909.900000,40,paper_aligned_proxy_for_visualization
5,612257.804839,698631.936870,12.363324,651909.900000,40,paper_aligned_proxy_for_visualization
6,615434.522696,693904.470018,11.308465,651909.900000,40,paper_aligned_proxy_for_visualization
7,618504.368544,689454.704886,10.290790,651909.900000,40,paper_aligned_proxy_for_visualization
8,621465.299373,685280.397474,9.312261,651909.900000,40,paper_aligned_proxy_for_visualization
9,624315.112711,681379.195080,8.374791,651909.900000,40,paper_aligned_proxy_for_visualization
10,627051.423608,677748.624147,7.480237,651909.900000,40,paper_aligned_proxy_for_visualization
11,629671.636575,674386.075855,6.630392,651909.900000,40,paper_aligned_proxy_for_visualization
12,632172.910929,671288.788905,5.826982,651909.900000,40,paper_aligned_proxy_for_visualization
13,634552.117378,668453.828651,5.071661,651909.900000,40,paper_aligned_proxy_for_visualization
14,636805.782751,665878.061489,4.366006,651909.900000,40,paper_aligned_proxy_for_visualization
15,638930.018258,663558.122889,3.711522,651909.900000,40,paper_aligned_proxy_for_visualization
16,640920.424296,661490.376746,3.109637,651909.900000,40,paper_aligned_proxy_for_visualization
17,642771.960729,659670.862509,2.561717,651909.900000,40,paper_aligned_proxy_for_visualization
18,644478.764333,658095.224525,2.069071,651909.900000,40,paper_aligned_proxy_for_visualization
19,646033.881502,656758.614391,1.632979,651909.900000,40,paper_aligned_proxy_for_visualization
20,647428.856524,655655.550120,1.254728,651909.900000,40,paper_aligned_proxy_for_visualization
21,648653.053676,654779.701316,0.935681,651909.900000,40,paper_aligned_proxy_for_visualization
22,649692.432623,654123.535075,0.677411,651909.900000,40,paper_aligned_proxy_for_visualization
23,650527.006055,653677.660994,0.481989,651909.900000,40,paper_aligned_proxy_for_visualization
24,651124.122535,653429.357406,0.352790,651909.900000,40,paper_aligned_proxy_for_visualization
25,651403.366008,653357.139978,0.299036,651909.900000,40,paper_aligned_proxy_for_visualization
